Order,Color,P4_R,P60_R,P80_W,P40_W,P40_A,P2_B,P80_WR,P80_A,P100_blank,BG_rbru0,P2_W,P2_A,BG_rbru1,P4_blank,P6_R,P10_WR,P6_A,P10_NoR,P2_R,P6_W,P4_B,P2_blank,P80_R,P4_W,P60_W,P6_B,P2_NoR,P40_R,P80_blank,P60_A,P4_A,P60_NoR,P20_WR,P8_blank,P20_blank,P20_A,P100_WR,P20_W,P20_R,P8_NoR,P60_WR,P80_NoR,P40_blank,P20_NoR,P6_blank,P4_NoR,P2_WR,BG_1,BG_0,P10_blank,P8_WR,P10_R,P8_A,P60_blank,P4_WR,P8_W,P8_B,P100_A,P100_W,P40_WR,P100_R,P10_B,P100_NoR,P6_WR,P40_NoR,P10_W,P6_NoR,P8_R,P10_A
1,Black,5.75,6.75,5.75,6.5,5.25,8.0,6.25,5.5,8.25,4.75,7.0,12.25,5.0,6.75,11.75,13.25,12.75,15.0,7.25,23.25,6.75,7.25,5.5,7.25,7.0,6.25,9.0,3.75,7.5,6.75,11.75,9.25,7.75,15.75,6.25,5.5,5.5,8.25,5.25,14.5,5.25,6.75,6.0,8.5,16.25,7.75,7.0,5.5,5.25,16.0,15.0,10.5,12.0,6.5,6.75,16.75,5.75,5.25,7.75,6.25,5.5,5.0,7.0,16.5,6.25,14.75,16.75,11.25,9.75
1,Blue,128.0,126.5,333.75,271.25,98.0,145.0,297.75,71.25,240.75,236.25,274.5,154.25,240.0,185.0,150.5,263.5,105.5,290.0,155.5,307.5,88.0,199.0,102.75,219.5,285.75,81.25,263.0,142.25,240.5,96.0,100.25,308.25,265.5,235.5,196.75,90.0,311.5,282.75,124.5,268.75,244.0,278.0,234.75,291.75,238.75,253.0,229.25,239.5,238.75,233.0,261.0,108.5,81.75,220.5,225.75,278.0,56.25,68.25,315.75,248.5,93.0,54.25,294.75,283.25,291.75,273.75,300.25,108.0,79.0
1,Green,142.75,123.25,532.75,349.75,82.5,161.33333333333334,453.0,51.0,329.0,368.5,372.25,159.0,378.0,284.5,166.0,364.75,93.75,416.25,187.25,453.75,83.75,298.5,92.0,327.75,393.75,64.25,382.5,152.5,362.75,79.75,91.75,447.0,414.0,332.5,305.5,79.75,441.25,440.25,122.75,369.0,341.75,387.5,325.5,454.75,348.75,364.5,327.75,370.5,373.0,313.25,355.0,117.5,68.25,324.75,324.75,376.25,46.25,50.0,455.25,319.0,81.0,44.25,386.25,420.0,441.75,372.5,408.0,119.0,64.75
1,Red,78.5,54.0,353.5,284.75,30.25,90.33333333333331,308.25,24.25,291.0,304.5,315.25,97.25,305.75,252.75,100.5,313.5,39.5,365.5,128.75,366.75,35.0,248.5,41.0,293.75,317.75,25.75,314.25,69.0,282.25,30.25,45.0,345.5,308.75,289.5,270.5,31.25,328.75,327.5,66.0,327.75,288.75,320.5,276.0,330.5,286.75,311.25,264.0,311.0,311.75,294.0,312.5,75.25,30.75,273.25,259.75,333.75,22.5,20.75,320.25,270.0,36.0,16.5,326.75,321.25,327.75,346.0,333.25,74.25,29.5
1,White,362.25,312.5,962.5,841.25,198.25,369.0,948.25,132.75,812.5,857.0,897.75,376.25,869.0,679.5,429.5,863.25,204.75,941.25,470.0,953.25,196.5,709.75,236.75,791.75,921.25,156.0,898.75,371.5,826.5,189.0,210.25,953.5,913.75,790.5,735.75,184.0,953.5,945.75,313.0,865.0,833.75,918.5,780.5,952.5,798.25,864.75,776.25,869.0,863.5,763.5,852.0,337.25,153.75,777.5,764.75,904.75,108.5,128.75,954.75,794.0,213.25,106.5,925.0,929.0,951.25,902.25,923.25,337.0,149.75
2,Black,5.5,6.5,5.75,6.5,5.0,7.0,5.75,6.0,7.25,4.75,7.5,12.0,5.25,7.0,12.25,12.25,14.75,15.25,8.0,24.5,6.75,7.25,6.75,7.5,6.75,7.25,8.75,4.25,7.75,6.0,12.0,8.75,8.75,16.5,6.25,6.25,5.0,9.25,6.25,15.0,5.75,6.5,6.5,9.0,16.25,7.5,6.75,5.25,5.0,15.0,15.25,11.0,11.25,6.5,7.5,16.0,5.5,5.0,7.25,6.25,4.5,5.5,6.25,17.25,7.75,14.0,17.25,11.5,11.5
2,Blue,130.25,127.25,332.5,269.5,97.75,145.0,298.75,72.5,242.0,237.75,271.0,156.0,240.25,185.75,149.0,266.75,107.0,292.0,154.25,308.0,87.5,200.5,102.5,221.5,286.75,82.0,266.0,139.0,239.75,95.75,99.5,308.0,266.25,239.5,196.75,90.25,311.25,285.75,121.75,269.75,243.75,277.0,232.5,293.25,236.25,252.25,225.0,237.0,237.5,235.0,257.75,108.5,82.25,218.0,226.75,276.75,56.75,70.25,317.75,250.0,96.0,54.5,290.75,281.25,294.5,272.0,302.0,108.75,77.5
2,Green,142.25,122.25,536.25,349.25,82.25,157.66666666666666,455.0,51.5,328.25,368.25,371.5,161.0,376.0,280.0,166.0,365.0,93.75,418.0,187.5,453.25,85.5,300.25,94.0,324.0,395.25,63.75,387.5,151.25,364.0,78.0,91.0,449.25,410.5,335.0,307.25,81.75,437.5,439.75,122.75,368.75,341.5,388.25,326.25,455.5,349.25,362.5,325.75,370.75,371.5,315.0,357.5,116.75,65.25,326.75,325.5,380.0,44.5,49.75,453.25,314.5,84.0,44.5,387.25,419.0,443.25,374.5,409.0,113.5,61.25
2,Red,79.25,56.25,353.0,288.0,29.75,91.66666666666669,307.25,23.25,290.0,303.5,315.5,99.0,304.0,252.0,103.25,311.5,39.0,368.25,129.0,367.5,35.75,249.75,44.0,298.25,318.25,24.5,311.25,69.25,282.75,28.75,43.75,344.0,309.0,287.25,272.25,30.0,328.75,325.75,67.0,329.0,287.5,319.0,274.75,333.75,288.25,311.75,263.25,311.0,312.25,293.0,311.5,72.25,30.25,272.5,261.75,330.75,20.5,22.75,320.5,271.25,35.75,17.25,324.5,322.25,326.25,346.25,336.25,73.75,32.0
2,White,361.0,310.75,964.25,825.75,196.75,367.6666666666667,952.0,132.5,811.25,857.75,900.0,374.0,865.5,678.5,428.0,852.25,205.0,946.75,469.0,954.25,194.75,709.75,239.0,796.5,921.25,153.25,893.75,370.0,832.0,191.25,208.5,955.25,915.0,788.0,735.5,187.75,953.5,949.75,311.5,858.75,834.5,915.5,787.0,949.75,805.25,865.75,775.75,868.25,869.25,768.5,852.25,327.0,155.0,776.0,768.25,897.5,107.75,128.5,953.75,792.75,212.0,108.5,925.5,929.0,951.75,897.25,936.0,337.25,147.5
