No.,Order,Color,Intensity
1,1,White,44
2,2,White,42
3,3,White,43
4,4,White,41
5,5,White,41
6,6,White,43
7,7,White,42
8,8,White,46
9,9,White,43
10,10,White,45
11,11,White,41
12,12,White,43
13,13,White,43
14,14,White,42
15,15,White,41
16,16,White,45
17,17,White,43
18,18,White,41
19,19,White,42
20,20,White,42
21,21,White,41
22,22,White,43
23,23,White,44
24,24,White,43
30,1,Red,23
31,2,Red,26
32,3,Red,27
33,4,Red,26
34,5,Red,24
35,6,Red,26
36,7,Red,24
37,8,Red,24
38,9,Red,24
39,10,Red,28
40,11,Red,24
41,12,Red,26
42,13,Red,24
43,14,Red,24
44,15,Red,24
45,16,Red,27
46,17,Red,24
47,18,Red,25
48,19,Red,27
49,20,Red,25
50,21,Red,24
51,22,Red,23
52,23,Red,23
53,24,Red,25
59,1,Green,14
60,2,Green,15
61,3,Green,15
62,4,Green,14
63,5,Green,16
64,6,Green,15
65,7,Green,14
66,8,Green,16
67,9,Green,17
68,10,Green,17
69,11,Green,15
70,12,Green,17
71,13,Green,16
72,14,Green,14
73,15,Green,15
74,16,Green,16
75,17,Green,17
76,18,Green,14
77,19,Green,15
78,20,Green,16
79,21,Green,14
80,22,Green,16
81,23,Green,14
82,24,Green,17
89,1,Blue,9
90,2,Blue,10
91,3,Blue,11
92,4,Blue,10
93,5,Blue,9
94,6,Blue,9
95,7,Blue,10
96,8,Blue,9
97,9,Blue,10
98,10,Blue,10
99,11,Blue,11
100,12,Blue,10
101,13,Blue,11
102,14,Blue,9
103,15,Blue,10
104,16,Blue,10
105,17,Blue,9
106,18,Blue,9
107,19,Blue,9
108,20,Blue,9
109,21,Blue,9
110,22,Blue,9
111,23,Blue,9
112,24,Blue,10
118,1,Black,4
119,2,Black,4
120,3,Black,4
121,4,Black,5
122,5,Black,4
123,6,Black,4
124,7,Black,3
125,8,Black,4
126,9,Black,4
127,10,Black,4
128,11,Black,3
129,12,Black,4
130,13,Black,4
