No.,Order,Color,Intensity
1,1,White,48
2,2,White,44
3,3,White,46
4,4,White,46
5,5,White,49
6,6,White,46
7,7,White,47
8,8,White,48
9,9,White,46
10,10,White,46
11,11,White,46
12,12,White,48
13,13,White,45
14,14,White,46
15,15,White,45
16,16,White,45
17,17,White,46
18,18,White,44
19,19,White,48
20,20,White,46
21,21,White,45
22,22,White,48
23,23,White,46
24,24,White,48
30,1,Red,30
31,2,Red,31
32,3,Red,33
33,4,Red,30
34,5,Red,28
35,6,Red,30
36,7,Red,28
37,8,Red,30
38,9,Red,30
39,10,Red,32
40,11,Red,29
41,12,Red,32
42,13,Red,29
43,14,Red,30
44,15,Red,29
45,16,Red,30
46,17,Red,29
47,18,Red,30
48,19,Red,30
49,20,Red,30
50,21,Red,33
51,22,Red,28
52,23,Red,30
53,24,Red,28
60,1,Green,16
61,2,Green,16
62,3,Green,16
63,4,Green,14
64,5,Green,14
65,6,Green,16
66,7,Green,13
67,8,Green,15
68,9,Green,15
69,10,Green,16
70,11,Green,14
71,12,Green,13
72,13,Green,13
73,14,Green,15
74,15,Green,15
75,16,Green,15
76,17,Green,13
77,18,Green,17
78,19,Green,15
79,20,Green,15
80,21,Green,15
81,22,Green,15
82,23,Green,14
83,24,Green,13
90,1,Blue,9
91,2,Blue,9
92,3,Blue,9
93,4,Blue,9
94,5,Blue,8
95,6,Blue,9
96,7,Blue,9
97,8,Blue,8
98,9,Blue,10
99,10,Blue,9
100,11,Blue,9
101,12,Blue,8
102,13,Blue,9
103,14,Blue,9
104,15,Blue,8
105,16,Blue,9
106,17,Blue,8
107,18,Blue,9
108,19,Blue,10
109,20,Blue,10
110,21,Blue,9
111,22,Blue,8
112,23,Blue,9
113,24,Blue,10
119,1,Black,4
120,2,Black,3
121,3,Black,4
122,4,Black,4
123,5,Black,4
124,6,Black,3
125,7,Black,4
126,8,Black,4
127,9,Black,4
128,10,Black,4
129,11,Black,3
130,12,Black,4
131,13,Black,4
132,14,Black,4
133,15,Black,4
134,16,Black,4
135,17,Black,4
136,18,Black,4
137,19,Black,4
138,20,Black,5
139,21,Black,4
140,22,Black,4
141,23,Black,4
142,24,Black,3
179,1,White,45
180,2,White,47
181,3,White,46
182,4,White,48
183,5,White,47
184,6,White,44
185,7,White,45
186,8,White,47
187,9,White,49
188,10,White,46
189,11,White,46
190,12,White,44
191,13,White,47
192,14,White,46
193,15,White,44
194,16,White,44
195,17,White,49
196,18,White,46
197,19,White,47
198,20,White,44
199,21,White,47
200,22,White,46
201,23,White,45
202,24,White,44
208,1,Red,29
209,2,Red,30
210,3,Red,29
211,4,Red,32
212,5,Red,30
213,6,Red,28
214,7,Red,29
215,8,Red,29
216,9,Red,31
217,10,Red,31
218,11,Red,28
219,12,Red,29
220,13,Red,32
221,14,Red,30
222,15,Red,30
223,16,Red,30
224,17,Red,32
225,18,Red,29
226,19,Red,31
227,20,Red,31
228,21,Red,31
229,22,Red,29
230,23,Red,32
231,24,Red,30
238,1,Green,15
239,2,Green,16
240,3,Green,15
241,4,Green,15
242,5,Green,16
243,6,Green,14
244,7,Green,16
245,8,Green,16
246,9,Green,13
247,10,Green,14
248,11,Green,14
249,12,Green,15
250,13,Green,15
251,14,Green,16
252,15,Green,16
253,16,Green,15
254,17,Green,16
255,18,Green,14
256,19,Green,14
257,20,Green,14
258,21,Green,14
259,22,Green,17
260,23,Green,14
261,24,Green,14
268,1,Blue,9
269,2,Blue,9
270,3,Blue,10
271,4,Blue,8
272,5,Blue,8
273,6,Blue,10
274,7,Blue,8
275,8,Blue,8
276,9,Blue,9
277,10,Blue,9
278,11,Blue,9
279,12,Blue,10
280,13,Blue,8
281,14,Blue,9
282,15,Blue,10
283,16,Blue,9
284,17,Blue,8
285,18,Blue,9
286,19,Blue,10
287,20,Blue,9
288,21,Blue,9
289,22,Blue,9
290,23,Blue,9
291,24,Blue,8
297,1,Black,4
298,2,Black,4
299,3,Black,5
300,4,Black,4
301,5,Black,4
302,6,Black,4
303,7,Black,4
304,8,Black,4
305,9,Black,5
306,10,Black,4
307,11,Black,4
308,12,Black,4
309,13,Black,4
310,14,Black,5
311,15,Black,3
312,16,Black,4
313,17,Black,4
314,18,Black,3
315,19,Black,4
316,20,Black,3
317,21,Black,3
318,22,Black,4
319,23,Black,3
320,24,Black,4
357,1,White,44
358,2,White,48
359,3,White,48
360,4,White,48
361,5,White,45
362,6,White,47
363,7,White,45
364,8,White,47
365,9,White,47
366,10,White,45
367,11,White,48
368,12,White,49
369,13,White,45
370,14,White,47
371,15,White,45
372,16,White,45
373,17,White,44
374,18,White,47
375,19,White,47
