No.,Order,Color,Intensity
1,1,White,53
2,2,White,49
3,3,White,50
4,4,White,53
5,5,White,52
6,6,White,47
7,7,White,47
8,8,White,52
9,9,White,48
10,10,White,50
11,11,White,50
12,12,White,46
13,13,White,46
14,14,White,47
15,15,White,50
16,16,White,47
17,17,White,47
18,18,White,48
19,19,White,46
20,20,White,49
21,21,White,48
22,22,White,49
23,23,White,52
24,24,White,47
30,1,Red,27
31,2,Red,27
32,3,Red,27
33,4,Red,28
34,5,Red,27
35,6,Red,28
36,7,Red,29
37,8,Red,26
38,9,Red,28
39,10,Red,26
40,11,Red,28
41,12,Red,27
42,13,Red,26
43,14,Red,25
44,15,Red,26
45,16,Red,26
46,17,Red,24
47,18,Red,26
48,19,Red,25
49,20,Red,25
50,21,Red,27
51,22,Red,27
52,23,Red,24
53,24,Red,24
60,1,Green,17
61,2,Green,18
62,3,Green,17
63,4,Green,17
64,5,Green,18
65,6,Green,19
66,7,Green,18
67,8,Green,17
68,9,Green,19
69,10,Green,16
70,11,Green,18
71,12,Green,17
72,13,Green,17
73,14,Green,17
74,15,Green,19
75,16,Green,18
76,17,Green,18
77,18,Green,17
78,19,Green,17
79,20,Green,16
80,21,Green,16
81,22,Green,19
82,23,Green,16
83,24,Green,16
89,1,Blue,11
90,2,Blue,11
91,3,Blue,10
92,4,Blue,10
93,5,Blue,12
94,6,Blue,11
95,7,Blue,11
96,8,Blue,11
97,9,Blue,13
98,10,Blue,10
99,11,Blue,11
100,12,Blue,11
101,13,Blue,11
102,14,Blue,12
103,15,Blue,11
104,16,Blue,11
105,17,Blue,11
106,18,Blue,11
107,19,Blue,12
108,20,Blue,10
109,21,Blue,11
110,22,Blue,11
111,23,Blue,11
112,24,Blue,11
119,1,Black,5
120,2,Black,4
121,3,Black,4
122,4,Black,4
123,5,Black,5
124,6,Black,4
125,7,Black,3
126,8,Black,4
127,9,Black,4
128,10,Black,4
129,11,Black,4
130,12,Black,4
131,13,Black,4
132,14,Black,4
133,15,Black,4
134,16,Black,5
135,17,Black,4
136,18,Black,4
137,19,Black,4
138,20,Black,4
139,21,Black,5
140,22,Black,5
141,23,Black,4
142,24,Black,4
178,1,White,51
179,2,White,49
180,3,White,49
181,4,White,51
182,5,White,51
183,6,White,55
184,7,White,51
185,8,White,53
186,9,White,54
187,10,White,56
188,11,White,52
189,12,White,53
190,13,White,55
191,14,White,52
192,15,White,55
193,16,White,55
194,17,White,56
195,18,White,53
196,19,White,56
197,20,White,54
198,21,White,58
199,22,White,56
200,23,White,54
201,24,White,55
207,1,Red,28
208,2,Red,33
209,3,Red,32
210,4,Red,34
211,5,Red,34
212,6,Red,30
213,7,Red,32
214,8,Red,35
215,9,Red,32
216,10,Red,31
217,11,Red,31
218,12,Red,30
219,13,Red,31
220,14,Red,30
221,15,Red,32
222,16,Red,31
223,17,Red,34
224,18,Red,33
225,19,Red,32
226,20,Red,31
227,21,Red,33
228,22,Red,31
229,23,Red,33
230,24,Red,34
237,1,Green,21
238,2,Green,21
239,3,Green,23
240,4,Green,22
241,5,Green,24
242,6,Green,24
243,7,Green,24
244,8,Green,23
245,9,Green,24
246,10,Green,22
247,11,Green,23
248,12,Green,24
249,13,Green,21
250,14,Green,22
251,15,Green,22
252,16,Green,23
253,17,Green,22
254,18,Green,21
255,19,Green,23
256,20,Green,23
257,21,Green,24
258,22,Green,21
259,23,Green,25
260,24,Green,22
266,1,Blue,17
267,2,Blue,15
268,3,Blue,14
269,4,Blue,15
270,5,Blue,15
271,6,Blue,17
272,7,Blue,15
273,8,Blue,15
274,9,Blue,17
275,10,Blue,17
276,11,Blue,15
277,12,Blue,15
278,13,Blue,15
279,14,Blue,15
280,15,Blue,17
281,16,Blue,16
282,17,Blue,15
283,18,Blue,15
284,19,Blue,16
285,20,Blue,16
286,21,Blue,18
287,22,Blue,16
288,23,Blue,16
289,24,Blue,15
296,1,Black,4
297,2,Black,4
298,3,Black,4
299,4,Black,5
300,5,Black,4
301,6,Black,4
302,7,Black,4
303,8,Black,4
304,9,Black,4
305,10,Black,4
306,11,Black,4
307,12,Black,4
308,13,Black,4
309,14,Black,4
310,15,Black,4
311,16,Black,4
312,17,Black,4
313,18,Black,5
314,19,Black,3
315,20,Black,4
316,21,Black,4
317,22,Black,4
318,23,Black,4
319,24,Black,4
355,1,White,75
356,2,White,76
357,3,White,77
358,4,White,80
359,5,White,76
360,6,White,81
361,7,White,76
362,8,White,78
363,9,White,78
364,10,White,80
365,11,White,80
366,12,White,77
367,13,White,81
368,14,White,75
369,15,White,76
370,16,White,79
371,17,White,78
372,18,White,77
373,19,White,80
374,20,White,75
375,21,White,77
376,22,White,78
377,23,White,75
378,24,White,77
384,1,Red,41
385,2,Red,39
386,3,Red,40
387,4,Red,40
388,5,Red,41
389,6,Red,41
390,7,Red,41
391,8,Red,39
392,9,Red,41
393,10,Red,41
394,11,Red,40
395,12,Red,41
396,13,Red,44
397,14,Red,41
398,15,Red,44
399,16,Red,42
400,17,Red,43
401,18,Red,41
402,19,Red,44
403,20,Red,46
404,21,Red,40
405,22,Red,45
406,23,Red,45
407,24,Red,44
414,1,Green,32
415,2,Green,28
416,3,Green,27
417,4,Green,29
418,5,Green,31
419,6,Green,30
420,7,Green,29
421,8,Green,29
422,9,Green,30
423,10,Green,30
424,11,Green,30
425,12,Green,32
426,13,Green,29
427,14,Green,28
428,15,Green,29
429,16,Green,30
430,17,Green,30
431,18,Green,29
432,19,Green,33
433,20,Green,29
434,21,Green,32
435,22,Green,29
436,23,Green,29
437,24,Green,30
443,1,Blue,18
444,2,Blue,18
445,3,Blue,17
446,4,Blue,20
447,5,Blue,20
448,6,Blue,20
449,7,Blue,18
450,8,Blue,18
451,9,Blue,17
452,10,Blue,19
453,11,Blue,17
454,12,Blue,20
455,13,Blue,20
456,14,Blue,19
457,15,Blue,19
458,16,Blue,18
459,17,Blue,19
460,18,Blue,18
461,19,Blue,17
462,20,Blue,19
463,21,Blue,19
464,22,Blue,17
465,23,Blue,20
466,24,Blue,21
473,1,Black,4
474,2,Black,4
475,3,Black,4
476,4,Black,5
477,5,Black,4
478,6,Black,4
479,7,Black,5
480,8,Black,4
481,9,Black,4
482,10,Black,4
483,11,Black,4
484,12,Black,4
485,13,Black,4
486,14,Black,4
487,15,Black,4
488,16,Black,3
489,17,Black,4
490,18,Black,5
491,19,Black,5
492,20,Black,4
493,21,Black,5
494,22,Black,4
495,23,Black,4
496,24,Black,4
532,1,White,93
533,2,White,95
534,3,White,93
535,4,White,92
536,5,White,94
537,6,White,93
538,7,White,95
539,8,White,93
540,9,White,93
541,10,White,94
542,11,White,93
543,12,White,93
544,13,White,96
545,14,White,95
546,15,White,97
547,16,White,97
548,17,White,97
549,18,White,99
550,19,White,96
551,20,White,99
552,21,White,99
553,22,White,99
554,23,White,97
555,24,White,94
561,1,Red,47
562,2,Red,50
563,3,Red,46
564,4,Red,48
565,5,Red,46
566,6,Red,49
567,7,Red,45
568,8,Red,51
569,9,Red,46
570,10,Red,48
571,11,Red,50
572,12,Red,48
573,13,Red,50
574,14,Red,50
575,15,Red,47
576,16,Red,49
577,17,Red,47
578,18,Red,49
579,19,Red,50
580,20,Red,46
581,21,Red,48
582,22,Red,48
583,23,Red,49
584,24,Red,47
591,1,Green,37
592,2,Green,35
593,3,Green,39
594,4,Green,40
595,5,Green,36
596,6,Green,39
597,7,Green,37
598,8,Green,41
599,9,Green,36
600,10,Green,36
601,11,Green,38
602,12,Green,40
603,13,Green,37
604,14,Green,39
605,15,Green,38
606,16,Green,37
607,17,Green,38
608,18,Green,39
609,19,Green,37
610,20,Green,39
611,21,Green,36
612,22,Green,38
613,23,Green,41
614,24,Green,37
620,1,Blue,24
621,2,Blue,21
622,3,Blue,24
623,4,Blue,21
624,5,Blue,23
625,6,Blue,21
626,7,Blue,21
627,8,Blue,23
628,9,Blue,21
629,10,Blue,23
630,11,Blue,22
631,12,Blue,22
632,13,Blue,22
633,14,Blue,22
634,15,Blue,23
635,16,Blue,23
636,17,Blue,21
637,18,Blue,23
638,19,Blue,22
639,20,Blue,23
640,21,Blue,23
641,22,Blue,23
642,23,Blue,22
643,24,Blue,22
650,1,Black,4
651,2,Black,4
652,3,Black,4
653,4,Black,5
654,5,Black,4
655,6,Black,4
656,7,Black,4
657,8,Black,4
658,9,Black,5
659,10,Black,4
660,11,Black,3
661,12,Black,4
662,13,Black,5
663,14,Black,4
664,15,Black,4
665,16,Black,4
666,17,Black,4
667,18,Black,4
668,19,Black,4
669,20,Black,4
670,21,Black,4
671,22,Black,4
672,23,Black,4
673,24,Black,4
