No.,Order,Color,Intensity
1,1,White,749
2,2,White,748
3,3,White,748
4,4,White,750
5,5,White,748
6,6,White,738
7,7,White,746
8,8,White,745
9,9,White,740
10,10,White,744
11,11,White,741
12,12,White,745
13,13,White,747
14,14,White,744
15,15,White,743
16,16,White,740
17,17,White,742
18,18,White,747
19,19,White,745
20,20,White,750
21,21,White,750
22,22,White,745
23,23,White,747
24,24,White,741
29,1,Red,270
30,2,Red,269
31,3,Red,269
32,4,Red,272
33,5,Red,275
34,6,Red,267
35,7,Red,268
36,8,Red,272
37,9,Red,271
38,10,Red,267
39,11,Red,273
40,12,Red,270
41,13,Red,270
42,14,Red,272
43,15,Red,269
44,16,Red,275
45,17,Red,269
46,18,Red,272
47,19,Red,271
48,20,Red,269
49,21,Red,270
50,22,Red,271
51,23,Red,271
52,24,Red,269
58,1,Green,316
59,2,Green,315
60,3,Green,320
61,4,Green,321
62,5,Green,318
63,6,Green,325
64,7,Green,321
65,8,Green,317
66,9,Green,322
67,10,Green,323
68,11,Green,319
69,12,Green,324
70,13,Green,313
71,14,Green,315
72,15,Green,318
73,16,Green,321
74,17,Green,319
75,18,Green,318
76,19,Green,318
77,20,Green,321
78,21,Green,323
79,22,Green,318
80,23,Green,325
81,24,Green,319
87,1,Blue,195
88,2,Blue,193
89,3,Blue,192
90,4,Blue,188
91,5,Blue,193
92,6,Blue,194
93,7,Blue,187
94,8,Blue,195
95,9,Blue,195
96,10,Blue,190
97,11,Blue,192
98,12,Blue,194
99,13,Blue,192
100,14,Blue,194
101,15,Blue,189
102,16,Blue,193
103,17,Blue,188
104,18,Blue,187
105,19,Blue,189
106,20,Blue,192
107,21,Blue,189
108,22,Blue,196
109,23,Blue,192
110,24,Blue,192
115,1,Black,4
116,2,Black,3
117,3,Black,3
118,4,Black,3
119,5,Black,4
120,6,Black,3
121,7,Black,5
122,8,Black,3
123,9,Black,4
124,10,Black,3
125,11,Black,3
126,12,Black,4
127,13,Black,4
128,14,Black,3
129,15,Black,4
130,16,Black,4
131,17,Black,4
132,18,Black,4
133,19,Black,4
134,20,Black,3
135,21,Black,3
136,22,Black,4
137,23,Black,4
138,24,Black,3
172,1,White,741
173,2,White,744
174,3,White,742
175,4,White,746
176,5,White,746
177,6,White,746
178,7,White,744
179,8,White,747
180,9,White,746
181,10,White,740
182,11,White,744
183,12,White,745
184,13,White,749
185,14,White,751
186,15,White,746
187,16,White,745
188,17,White,747
189,18,White,745
190,19,White,746
191,20,White,744
192,21,White,750
193,22,White,745
194,23,White,752
195,24,White,740
201,1,Red,270
202,2,Red,271
203,3,Red,273
204,4,Red,270
205,5,Red,268
206,6,Red,269
207,7,Red,268
208,8,Red,275
209,9,Red,276
210,10,Red,271
211,11,Red,273
212,12,Red,269
213,13,Red,269
214,14,Red,269
215,15,Red,269
216,16,Red,271
217,17,Red,273
218,18,Red,270
219,19,Red,274
220,20,Red,271
221,21,Red,269
222,22,Red,269
223,23,Red,270
224,24,Red,268
230,1,Green,322
231,2,Green,318
232,3,Green,326
233,4,Green,318
234,5,Green,321
235,6,Green,319
236,7,Green,325
237,8,Green,323
238,9,Green,318
