No.,Order,Color,Intensity
1,1,White,120
2,2,White,114
3,3,White,116
4,4,White,119
5,5,White,119
6,6,White,119
7,7,White,123
8,8,White,117
9,9,White,119
10,10,White,122
11,11,White,120
12,12,White,118
13,13,White,120
14,14,White,119
15,15,White,118
16,16,White,123
17,17,White,119
18,18,White,118
19,19,White,117
20,20,White,117
21,21,White,121
22,22,White,121
23,23,White,123
24,24,White,122
30,1,Red,78
31,2,Red,78
32,3,Red,76
33,4,Red,79
34,5,Red,80
35,6,Red,80
36,7,Red,78
37,8,Red,78
38,9,Red,76
39,10,Red,79
40,11,Red,78
41,12,Red,77
42,13,Red,78
43,14,Red,78
44,15,Red,80
45,16,Red,80
46,17,Red,79
47,18,Red,79
48,19,Red,80
49,20,Red,77
50,21,Red,79
51,22,Red,80
52,23,Red,79
53,24,Red,76
60,1,Green,37
61,2,Green,39
62,3,Green,37
63,4,Green,36
64,5,Green,37
65,6,Green,35
66,7,Green,38
67,8,Green,36
68,9,Green,38
69,10,Green,40
70,11,Green,38
71,12,Green,38
72,13,Green,35
73,14,Green,39
74,15,Green,37
75,16,Green,37
76,17,Green,37
77,18,Green,36
78,19,Green,39
79,20,Green,36
80,21,Green,34
81,22,Green,38
82,23,Green,38
83,24,Green,35
89,1,Blue,17
90,2,Blue,15
91,3,Blue,16
92,4,Blue,17
93,5,Blue,15
94,6,Blue,16
95,7,Blue,16
96,8,Blue,16
97,9,Blue,17
98,10,Blue,17
99,11,Blue,14
100,12,Blue,14
101,13,Blue,14
102,14,Blue,15
103,15,Blue,17
104,16,Blue,16
105,17,Blue,16
106,18,Blue,16
107,19,Blue,15
108,20,Blue,16
109,21,Blue,15
110,22,Blue,16
111,23,Blue,16
112,24,Blue,16
119,1,Black,5
120,2,Black,5
121,3,Black,5
122,4,Black,5
123,5,Black,5
124,6,Black,5
125,7,Black,5
126,8,Black,5
127,9,Black,5
128,10,Black,5
129,11,Black,5
130,12,Black,5
131,13,Black,5
132,14,Black,5
133,15,Black,5
