No.,Order,Color,Intensity
1,1,White,67
2,2,White,61
3,3,White,62
4,4,White,64
5,5,White,61
6,6,White,65
7,7,White,64
8,8,White,64
9,9,White,65
10,10,White,61
11,11,White,62
12,12,White,67
13,13,White,61
14,14,White,64
15,15,White,66
16,16,White,61
17,17,White,65
18,18,White,63
19,19,White,65
20,20,White,62
21,21,White,61
22,22,White,62
23,23,White,65
24,24,White,62
30,1,Red,38
31,2,Red,37
32,3,Red,36
33,4,Red,37
34,5,Red,37
35,6,Red,36
36,7,Red,38
37,8,Red,37
38,9,Red,39
39,10,Red,38
40,11,Red,39
41,12,Red,35
42,13,Red,36
43,14,Red,36
44,15,Red,36
45,16,Red,38
46,17,Red,37
47,18,Red,37
48,19,Red,40
49,20,Red,36
50,21,Red,36
51,22,Red,39
52,23,Red,37
53,24,Red,37
60,1,Green,22
61,2,Green,20
62,3,Green,22
63,4,Green,23
64,5,Green,23
65,6,Green,22
66,7,Green,21
67,8,Green,22
68,9,Green,23
69,10,Green,21
70,11,Green,23
71,12,Green,23
72,13,Green,20
73,14,Green,23
74,15,Green,21
75,16,Green,22
76,17,Green,21
77,18,Green,23
78,19,Green,20
79,20,Green,21
80,21,Green,21
81,22,Green,20
82,23,Green,20
83,24,Green,21
90,1,Blue,11
91,2,Blue,11
92,3,Blue,12
93,4,Blue,10
94,5,Blue,11
95,6,Blue,11
96,7,Blue,11
97,8,Blue,11
98,9,Blue,12
99,10,Blue,11
100,11,Blue,10
101,12,Blue,11
102,13,Blue,13
103,14,Blue,10
104,15,Blue,11
105,16,Blue,11
106,17,Blue,11
107,18,Blue,11
108,19,Blue,10
109,20,Blue,11
110,21,Blue,11
111,22,Blue,11
112,23,Blue,11
113,24,Blue,13
119,1,Black,4
120,2,Black,3
121,3,Black,3
122,4,Black,3
123,5,Black,3
124,6,Black,3
125,7,Black,3
126,8,Black,3
127,9,Black,3
128,10,Black,3
129,11,Black,4
130,12,Black,4
131,13,Black,3
132,14,Black,4
133,15,Black,3
134,16,Black,3
135,17,Black,3
136,18,Black,3
137,19,Black,3
138,20,Black,3
139,21,Black,3
140,22,Black,3
141,23,Black,3
142,24,Black,3
179,1,White,66
180,2,White,65
181,3,White,66
182,4,White,65
183,5,White,65
184,6,White,63
185,7,White,62
186,8,White,66
187,9,White,65
188,10,White,66
189,11,White,68
190,12,White,62
191,13,White,66
192,14,White,64
193,15,White,61
194,16,White,63
195,17,White,65
196,18,White,65
197,19,White,64
198,20,White,61
199,21,White,65
200,22,White,64
201,23,White,64
202,24,White,61
208,1,Red,38
209,2,Red,37
210,3,Red,36
211,4,Red,38
212,5,Red,40
213,6,Red,39
214,7,Red,38
215,8,Red,37
216,9,Red,39
217,10,Red,39
218,11,Red,41
219,12,Red,36
220,13,Red,41
