No.,Order,Color,Intensity
1,1,White,29
2,2,White,29
3,3,White,29
4,4,White,27
5,5,White,30
6,6,White,29
7,7,White,30
8,8,White,30
9,9,White,27
10,10,White,29
11,11,White,29
12,12,White,28
13,13,White,28
14,14,White,29
15,15,White,30
16,16,White,30
17,17,White,32
18,18,White,28
19,19,White,31
20,20,White,28
21,21,White,29
22,22,White,28
23,23,White,31
24,24,White,31
30,1,Red,14
31,2,Red,13
32,3,Red,13
33,4,Red,14
34,5,Red,13
35,6,Red,14
36,7,Red,12
37,8,Red,13
38,9,Red,15
39,10,Red,13
40,11,Red,13
41,12,Red,12
42,13,Red,12
43,14,Red,12
44,15,Red,12
45,16,Red,13
46,17,Red,13
47,18,Red,11
48,19,Red,12
49,20,Red,12
50,21,Red,13
51,22,Red,13
52,23,Red,12
53,24,Red,13
60,1,Green,12
61,2,Green,14
62,3,Green,13
63,4,Green,14
64,5,Green,14
65,6,Green,15
66,7,Green,15
67,8,Green,16
68,9,Green,14
69,10,Green,13
70,11,Green,15
71,12,Green,13
72,13,Green,15
73,14,Green,13
74,15,Green,15
75,16,Green,13
76,17,Green,13
77,18,Green,15
78,19,Green,12
79,20,Green,15
80,21,Green,14
81,22,Green,15
82,23,Green,13
83,24,Green,14
89,1,Blue,9
90,2,Blue,10
91,3,Blue,11
92,4,Blue,10
93,5,Blue,10
94,6,Blue,11
95,7,Blue,9
96,8,Blue,11
97,9,Blue,11
98,10,Blue,12
99,11,Blue,9
100,12,Blue,9
101,13,Blue,9
102,14,Blue,10
103,15,Blue,9
104,16,Blue,11
105,17,Blue,11
106,18,Blue,10
107,19,Blue,10
108,20,Blue,10
109,21,Blue,11
110,22,Blue,9
111,23,Blue,9
112,24,Blue,10
118,1,Black,4
119,2,Black,4
120,3,Black,4
121,4,Black,4
122,5,Black,4
123,6,Black,4
124,7,Black,4
125,8,Black,4
126,9,Black,4
127,10,Black,4
128,11,Black,3
129,12,Black,4
130,13,Black,3
131,14,Black,5
132,15,Black,4
133,16,Black,5
134,17,Black,4
135,18,Black,4
136,19,Black,4
137,20,Black,4
138,21,Black,3
139,22,Black,3
140,23,Black,4
141,24,Black,4
177,1,White,29
178,2,White,27
179,3,White,29
180,4,White,27
181,5,White,28
182,6,White,31
183,7,White,31
184,8,White,29
185,9,White,29
186,10,White,27
187,11,White,30
188,12,White,31
189,13,White,28
190,14,White,32
191,15,White,29
192,16,White,29
193,17,White,29
194,18,White,29
195,19,White,29
196,20,White,30
197,21,White,30
198,22,White,32
199,23,White,29
200,24,White,30
207,1,Red,12
208,2,Red,13
209,3,Red,13
210,4,Red,12
211,5,Red,14
212,6,Red,14
213,7,Red,13
214,8,Red,13
215,9,Red,15
216,10,Red,14
217,11,Red,13
218,12,Red,13
219,13,Red,13
220,14,Red,13
221,15,Red,14
222,16,Red,14
223,17,Red,12
224,18,Red,14
225,19,Red,13
226,20,Red,13
227,21,Red,14
228,22,Red,13
229,23,Red,13
230,24,Red,12
236,1,Green,14
237,2,Green,15
238,3,Green,13
239,4,Green,13
240,5,Green,13
241,6,Green,15
242,7,Green,16
243,8,Green,13
244,9,Green,14
245,10,Green,12
246,11,Green,13
247,12,Green,16
248,13,Green,15
249,14,Green,14
250,15,Green,13
251,16,Green,14
252,17,Green,13
253,18,Green,14
254,19,Green,13
255,20,Green,13
256,21,Green,12
257,22,Green,15
258,23,Green,14
259,24,Green,13
265,1,Blue,10
266,2,Blue,11
267,3,Blue,12
268,4,Blue,10
269,5,Blue,10
270,6,Blue,9
271,7,Blue,10
272,8,Blue,10
273,9,Blue,10
274,10,Blue,10
275,11,Blue,9
276,12,Blue,10
277,13,Blue,9
278,14,Blue,10
279,15,Blue,10
280,16,Blue,10
281,17,Blue,11
282,18,Blue,9
283,19,Blue,9
284,20,Blue,10
285,21,Blue,9
286,22,Blue,9
287,23,Blue,10
288,24,Blue,10
295,1,Black,4
296,2,Black,4
297,3,Black,5
298,4,Black,3
299,5,Black,4
300,6,Black,4
301,7,Black,3
302,8,Black,4
303,9,Black,3
304,10,Black,3
305,11,Black,3
306,12,Black,4
307,13,Black,3
308,14,Black,4
309,15,Black,4
310,16,Black,4
311,17,Black,4
312,18,Black,4
313,19,Black,3
314,20,Black,4
315,21,Black,3
316,22,Black,3
317,23,Black,4
318,24,Black,3
353,1,White,32
354,2,White,32
355,3,White,33
356,4,White,30
357,5,White,32
358,6,White,31
359,7,White,32
360,8,White,32
361,9,White,31
362,10,White,30
363,11,White,32
364,12,White,30
365,13,White,30
366,14,White,33
367,15,White,33
368,16,White,33
369,17,White,34
370,18,White,33
371,19,White,30
372,20,White,34
373,21,White,32
374,22,White,30
375,23,White,32
376,24,White,30
383,1,Red,13
384,2,Red,13
385,3,Red,15
386,4,Red,14
387,5,Red,14
388,6,Red,16
389,7,Red,14
390,8,Red,16
391,9,Red,16
392,10,Red,15
393,11,Red,14
394,12,Red,14
395,13,Red,14
396,14,Red,16
397,15,Red,16
398,16,Red,16
399,17,Red,14
400,18,Red,16
401,19,Red,15
402,20,Red,14
403,21,Red,15
404,22,Red,16
405,23,Red,15
406,24,Red,16
412,1,Green,14
413,2,Green,14
414,3,Green,15
415,4,Green,16
416,5,Green,17
417,6,Green,15
418,7,Green,16
419,8,Green,14
420,9,Green,15
421,10,Green,14
422,11,Green,14
423,12,Green,14
424,13,Green,14
425,14,Green,15
426,15,Green,16
427,16,Green,17
428,17,Green,14
429,18,Green,16
430,19,Green,16
431,20,Green,14
432,21,Green,17
433,22,Green,17
434,23,Green,16
435,24,Green,15
442,1,Blue,11
443,2,Blue,11
444,3,Blue,10
445,4,Blue,12
446,5,Blue,12
447,6,Blue,12
448,7,Blue,11
449,8,Blue,10
450,9,Blue,10
451,10,Blue,12
452,11,Blue,12
453,12,Blue,12
454,13,Blue,11
455,14,Blue,12
456,15,Blue,11
457,16,Blue,10
458,17,Blue,11
459,18,Blue,11
460,19,Blue,12
461,20,Blue,11
462,21,Blue,11
463,22,Blue,11
464,23,Blue,13
465,24,Blue,12
471,1,Black,5
472,2,Black,4
473,3,Black,4
474,4,Black,4
475,5,Black,4
476,6,Black,4
477,7,Black,3
478,8,Black,4
479,9,Black,3
480,10,Black,4
481,11,Black,4
482,12,Black,4
483,13,Black,4
484,14,Black,4
485,15,Black,3
486,16,Black,3
487,17,Black,3
488,18,Black,4
489,19,Black,3
490,20,Black,4
491,21,Black,4
492,22,Black,3
493,23,Black,4
494,24,Black,5
530,1,White,42
531,2,White,41
532,3,White,40
533,4,White,38
534,5,White,41
535,6,White,42
536,7,White,41
537,8,White,41
538,9,White,38
539,10,White,40
540,11,White,42
541,12,White,43
542,13,White,44
543,14,White,41
544,15,White,43
545,16,White,44
546,17,White,40
547,18,White,40
548,19,White,44
549,20,White,42
550,21,White,40
551,22,White,39
552,23,White,42
553,24,White,44
559,1,Red,18
560,2,Red,20
561,3,Red,19
562,4,Red,19
563,5,Red,18
564,6,Red,19
565,7,Red,19
566,8,Red,20
567,9,Red,19
568,10,Red,18
569,11,Red,20
570,12,Red,19
571,13,Red,20
572,14,Red,21
573,15,Red,20
574,16,Red,20
575,17,Red,21
