No.,Order,Color,Intensity
1,1,White,745
2,2,White,744
3,3,White,747
4,4,White,744
5,5,White,752
6,6,White,749
7,7,White,747
8,8,White,753
9,9,White,747
10,10,White,748
11,11,White,751
12,12,White,752
13,13,White,752
14,14,White,748
15,15,White,749
16,16,White,754
17,17,White,749
18,18,White,748
19,19,White,750
20,20,White,747
21,21,White,747
22,22,White,750
23,23,White,750
24,24,White,750
30,1,Red,278
31,2,Red,280
32,3,Red,279
33,4,Red,283
34,5,Red,279
35,6,Red,279
36,7,Red,281
37,8,Red,282
38,9,Red,279
39,10,Red,281
40,11,Red,282
41,12,Red,277
42,13,Red,280
43,14,Red,274
44,15,Red,278
45,16,Red,283
46,17,Red,277
47,18,Red,283
48,19,Red,281
49,20,Red,284
50,21,Red,278
51,22,Red,278
52,23,Red,277
53,24,Red,281
60,1,Green,317
61,2,Green,310
62,3,Green,312
63,4,Green,309
64,5,Green,309
65,6,Green,315
66,7,Green,312
67,8,Green,311
68,9,Green,307
69,10,Green,317
70,11,Green,309
71,12,Green,312
72,13,Green,311
73,14,Green,311
74,15,Green,313
75,16,Green,305
76,17,Green,313
77,18,Green,310
78,19,Green,312
79,20,Green,311
80,21,Green,309
81,22,Green,309
82,23,Green,313
83,24,Green,312
90,1,Blue,193
91,2,Blue,196
92,3,Blue,186
93,4,Blue,188
94,5,Blue,189
95,6,Blue,195
96,7,Blue,188
97,8,Blue,193
98,9,Blue,190
99,10,Blue,193
100,11,Blue,194
101,12,Blue,195
102,13,Blue,195
103,14,Blue,189
104,15,Blue,193
105,16,Blue,188
106,17,Blue,195
107,18,Blue,193
108,19,Blue,190
109,20,Blue,189
110,21,Blue,190
111,22,Blue,189
112,23,Blue,193
113,24,Blue,195
120,1,Black,3
121,2,Black,3
122,3,Black,3
123,4,Black,3
124,5,Black,3
125,6,Black,3
126,7,Black,4
127,8,Black,3
128,9,Black,4
129,10,Black,3
130,11,Black,3
131,12,Black,3
132,13,Black,3
133,14,Black,3
134,15,Black,3
135,16,Black,4
136,17,Black,3
137,18,Black,3
138,19,Black,3
139,20,Black,4
140,21,Black,3
141,22,Black,3
142,23,Black,3
143,24,Black,3
179,1,White,745
180,2,White,746
181,3,White,748
182,4,White,752
183,5,White,745
184,6,White,745
185,7,White,751
186,8,White,743
187,9,White,747
188,10,White,751
189,11,White,751
190,12,White,745
191,13,White,752
192,14,White,748
193,15,White,756
194,16,White,749
195,17,White,751
196,18,White,751
197,19,White,743
198,20,White,753
199,21,White,747
200,22,White,749
201,23,White,749
202,24,White,749
209,1,Red,275
210,2,Red,284
211,3,Red,278
212,4,Red,279
213,5,Red,278
214,6,Red,273
215,7,Red,279
216,8,Red,277
217,9,Red,274
218,10,Red,278
219,11,Red,279
220,12,Red,284
221,13,Red,277
222,14,Red,279
223,15,Red,283
224,16,Red,276
225,17,Red,276
226,18,Red,279
227,19,Red,278
228,20,Red,276
229,21,Red,282
230,22,Red,281
231,23,Red,281
232,24,Red,284
238,1,Green,316
