No.,Order,Color,Intensity
1,1,White,68
2,2,White,70
3,3,White,70
4,4,White,67
5,5,White,66
6,6,White,70
7,7,White,68
8,8,White,70
9,9,White,67
10,10,White,66
11,11,White,72
12,12,White,67
13,13,White,69
14,14,White,68
15,15,White,70
16,16,White,67
17,17,White,71
18,18,White,70
19,19,White,68
20,20,White,67
21,21,White,70
22,22,White,66
23,23,White,69
24,24,White,68
30,1,Red,45
31,2,Red,48
32,3,Red,48
33,4,Red,46
34,5,Red,48
35,6,Red,46
36,7,Red,48
37,8,Red,49
38,9,Red,45
39,10,Red,48
40,11,Red,47
41,12,Red,44
42,13,Red,47
43,14,Red,46
44,15,Red,47
45,16,Red,46
46,17,Red,48
47,18,Red,45
48,19,Red,49
49,20,Red,45
50,21,Red,44
51,22,Red,46
52,23,Red,47
53,24,Red,44
59,1,Green,19
60,2,Green,20
61,3,Green,20
62,4,Green,21
63,5,Green,19
64,6,Green,21
65,7,Green,21
66,8,Green,19
67,9,Green,20
68,10,Green,21
69,11,Green,19
70,12,Green,22
71,13,Green,19
72,14,Green,20
73,15,Green,18
74,16,Green,20
75,17,Green,22
76,18,Green,19
77,19,Green,19
78,20,Green,20
79,21,Green,21
80,22,Green,20
81,23,Green,19
82,24,Green,21
89,1,Blue,10
90,2,Blue,10
91,3,Blue,11
92,4,Blue,11
93,5,Blue,10
94,6,Blue,10
95,7,Blue,10
96,8,Blue,10
97,9,Blue,12
98,10,Blue,10
99,11,Blue,10
100,12,Blue,12
101,13,Blue,10
102,14,Blue,10
103,15,Blue,11
104,16,Blue,10
105,17,Blue,10
106,18,Blue,12
107,19,Blue,9
108,20,Blue,10
109,21,Blue,11
110,22,Blue,10
111,23,Blue,10
112,24,Blue,11
118,1,Black,4
119,2,Black,5
120,3,Black,5
121,4,Black,4
122,5,Black,4
123,6,Black,4
124,7,Black,5
125,8,Black,5
126,9,Black,4
127,10,Black,4
128,11,Black,3
129,12,Black,5
130,13,Black,4
131,14,Black,4
132,15,Black,4
133,16,Black,4
134,17,Black,3
135,18,Black,4
136,19,Black,5
137,20,Black,5
138,21,Black,5
139,22,Black,4
140,23,Black,4
141,24,Black,4
177,1,White,66
178,2,White,67
179,3,White,69
180,4,White,67
181,5,White,72
182,6,White,67
183,7,White,68
184,8,White,66
185,9,White,65
186,10,White,69
187,11,White,71
188,12,White,68
189,13,White,66
190,14,White,66
191,15,White,67
192,16,White,66
193,17,White,72
194,18,White,68
195,19,White,72
196,20,White,67
197,21,White,69
198,22,White,71
199,23,White,66
200,24,White,68
206,1,Red,49
207,2,Red,45
208,3,Red,45
209,4,Red,43
210,5,Red,48
211,6,Red,48
212,7,Red,46
213,8,Red,45
214,9,Red,45
215,10,Red,45
216,11,Red,44
217,12,Red,45
218,13,Red,48
219,14,Red,47
220,15,Red,47
221,16,Red,46
222,17,Red,46
223,18,Red,46
224,19,Red,47
225,20,Red,45
226,21,Red,49
227,22,Red,48
228,23,Red,44
229,24,Red,44
236,1,Green,22
237,2,Green,22
238,3,Green,19
239,4,Green,21
240,5,Green,21
241,6,Green,22
242,7,Green,21
243,8,Green,20
244,9,Green,20
245,10,Green,19
246,11,Green,19
247,12,Green,21
248,13,Green,20
249,14,Green,21
250,15,Green,19
251,16,Green,20
252,17,Green,20
253,18,Green,21
254,19,Green,21
255,20,Green,20
256,21,Green,19
257,22,Green,20
258,23,Green,22
259,24,Green,19
265,1,Blue,11
266,2,Blue,11
267,3,Blue,11
268,4,Blue,11
269,5,Blue,10
270,6,Blue,10
271,7,Blue,11
272,8,Blue,12
273,9,Blue,11
274,10,Blue,10
275,11,Blue,10
276,12,Blue,10
277,13,Blue,10
278,14,Blue,9
279,15,Blue,10
280,16,Blue,11
281,17,Blue,10
282,18,Blue,11
283,19,Blue,11
284,20,Blue,11
285,21,Blue,11
286,22,Blue,10
287,23,Blue,11
288,24,Blue,10
294,1,Black,4
295,2,Black,4
296,3,Black,5
297,4,Black,4
298,5,Black,5
299,6,Black,4
300,7,Black,4
301,8,Black,5
302,9,Black,4
303,10,Black,4
304,11,Black,5
305,12,Black,4
306,13,Black,4
307,14,Black,4
308,15,Black,5
309,16,Black,4
310,17,Black,4
311,18,Black,4
312,19,Black,5
313,20,Black,4
314,21,Black,5
315,22,Black,4
316,23,Black,5
317,24,Black,4
353,1,White,69
354,2,White,71
355,3,White,68
356,4,White,67
357,5,White,70
358,6,White,68
359,7,White,71
360,8,White,68
