No.,Order,Color,Intensity
1,1,White,72
2,2,White,68
3,3,White,73
4,4,White,68
5,5,White,69
6,6,White,72
7,7,White,71
8,8,White,68
9,9,White,68
10,10,White,70
11,11,White,69
12,12,White,72
13,13,White,72
14,14,White,70
15,15,White,72
16,16,White,73
17,17,White,71
18,18,White,69
19,19,White,71
20,20,White,70
21,21,White,67
22,22,White,67
23,23,White,72
24,24,White,67
30,1,Red,38
31,2,Red,36
32,3,Red,37
33,4,Red,38
34,5,Red,37
35,6,Red,36
36,7,Red,39
37,8,Red,37
38,9,Red,36
39,10,Red,36
40,11,Red,38
41,12,Red,38
42,13,Red,35
43,14,Red,35
44,15,Red,37
45,16,Red,35
46,17,Red,35
47,18,Red,37
48,19,Red,38
49,20,Red,40
50,21,Red,38
51,22,Red,35
52,23,Red,40
53,24,Red,36
60,1,Green,26
61,2,Green,21
62,3,Green,23
63,4,Green,23
64,5,Green,24
65,6,Green,25
66,7,Green,26
67,8,Green,26
68,9,Green,24
69,10,Green,25
70,11,Green,23
71,12,Green,26
72,13,Green,23
73,14,Green,23
74,15,Green,25
75,16,Green,24
76,17,Green,24
77,18,Green,27
78,19,Green,23
79,20,Green,26
80,21,Green,26
81,22,Green,26
82,23,Green,24
83,24,Green,24
90,1,Blue,16
91,2,Blue,16
92,3,Blue,18
93,4,Blue,16
94,5,Blue,18
95,6,Blue,16
96,7,Blue,17
97,8,Blue,16
98,9,Blue,15
99,10,Blue,16
100,11,Blue,17
101,12,Blue,16
102,13,Blue,15
103,14,Blue,17
104,15,Blue,16
105,16,Blue,17
106,17,Blue,16
107,18,Blue,16
108,19,Blue,16
109,20,Blue,18
110,21,Blue,15
111,22,Blue,16
112,23,Blue,17
113,24,Blue,18
119,1,Black,4
120,2,Black,3
121,3,Black,5
122,4,Black,4
123,5,Black,4
124,6,Black,5
125,7,Black,4
126,8,Black,4
127,9,Black,4
128,10,Black,4
129,11,Black,4
130,12,Black,3
131,13,Black,4
132,14,Black,5
133,15,Black,4
134,16,Black,4
135,17,Black,4
136,18,Black,4
137,19,Black,4
138,20,Black,4
139,21,Black,5
140,22,Black,4
141,23,Black,4
142,24,Black,4
179,1,White,70
180,2,White,68
181,3,White,66
182,4,White,70
183,5,White,70
184,6,White,68
185,7,White,69
186,8,White,72
187,9,White,69
188,10,White,66
189,11,White,71
190,12,White,72
191,13,White,67
192,14,White,67
193,15,White,71
194,16,White,69
195,17,White,72
196,18,White,68
197,19,White,73
198,20,White,72
199,21,White,70
200,22,White,68
201,23,White,71
202,24,White,70
208,1,Red,40
209,2,Red,39
210,3,Red,40
211,4,Red,40
212,5,Red,40
213,6,Red,36
214,7,Red,36
215,8,Red,35
216,9,Red,39
217,10,Red,36
218,11,Red,38
219,12,Red,39
220,13,Red,35
221,14,Red,39
222,15,Red,37
223,16,Red,38
224,17,Red,40
225,18,Red,38
226,19,Red,36
227,20,Red,38
228,21,Red,36
229,22,Red,38
230,23,Red,36
231,24,Red,38
238,1,Green,25
239,2,Green,26
240,3,Green,26
241,4,Green,23
242,5,Green,25
243,6,Green,24
244,7,Green,25
245,8,Green,26
246,9,Green,22
247,10,Green,24
248,11,Green,25
249,12,Green,25
250,13,Green,24
251,14,Green,26
252,15,Green,24
253,16,Green,25
254,17,Green,24
255,18,Green,22
256,19,Green,22
257,20,Green,25
258,21,Green,22
259,22,Green,25
260,23,Green,26
261,24,Green,25
268,1,Blue,17
269,2,Blue,16
270,3,Blue,18
271,4,Blue,17
272,5,Blue,16
273,6,Blue,15
274,7,Blue,16
275,8,Blue,16
276,9,Blue,16
277,10,Blue,17
278,11,Blue,16
279,12,Blue,18
280,13,Blue,15
281,14,Blue,15
282,15,Blue,15
283,16,Blue,16
284,17,Blue,15
285,18,Blue,17
286,19,Blue,17
287,20,Blue,19
288,21,Blue,18
289,22,Blue,18
290,23,Blue,15
291,24,Blue,16
297,1,Black,4
298,2,Black,3
299,3,Black,4
300,4,Black,4
301,5,Black,4
302,6,Black,3
303,7,Black,4
304,8,Black,4
305,9,Black,3
306,10,Black,4
307,11,Black,3
308,12,Black,4
309,13,Black,4
310,14,Black,4
311,15,Black,4
312,16,Black,3
313,17,Black,3
314,18,Black,4
315,19,Black,4
316,20,Black,4
317,21,Black,5
318,22,Black,4
319,23,Black,4
320,24,Black,4
357,1,White,67
358,2,White,72
359,3,White,69
360,4,White,72
361,5,White,68
362,6,White,71
363,7,White,68
364,8,White,71
365,9,White,67
366,10,White,68
367,11,White,68
368,12,White,69
369,13,White,73
370,14,White,73
371,15,White,74
372,16,White,70
373,17,White,69
374,18,White,70
375,19,White,70
376,20,White,74
377,21,White,73
378,22,White,68
379,23,White,73
380,24,White,70
386,1,Red,39
387,2,Red,40
388,3,Red,39
389,4,Red,36
390,5,Red,36
391,6,Red,39
392,7,Red,40
393,8,Red,36
394,9,Red,36
395,10,Red,35
396,11,Red,39
397,12,Red,39
398,13,Red,38
399,14,Red,39
400,15,Red,37
401,16,Red,39
402,17,Red,39
403,18,Red,38
404,19,Red,38
405,20,Red,36
406,21,Red,35
407,22,Red,39
408,23,Red,36
409,24,Red,38
416,1,Green,23
417,2,Green,20
418,3,Green,22
419,4,Green,21
420,5,Green,19
421,6,Green,21
422,7,Green,23
423,8,Green,23
424,9,Green,20
425,10,Green,23
426,11,Green,24
427,12,Green,22
428,13,Green,24
429,14,Green,21
430,15,Green,24
431,16,Green,24
432,17,Green,21
433,18,Green,23
434,19,Green,23
435,20,Green,24
436,21,Green,24
437,22,Green,24
438,23,Green,24
439,24,Green,24
446,1,Blue,15
447,2,Blue,15
448,3,Blue,16
449,4,Blue,18
450,5,Blue,18
451,6,Blue,16
452,7,Blue,17
453,8,Blue,15
454,9,Blue,17
455,10,Blue,15
456,11,Blue,16
457,12,Blue,15
458,13,Blue,18
459,14,Blue,15
460,15,Blue,17
461,16,Blue,17
462,17,Blue,18
463,18,Blue,16
464,19,Blue,17
465,20,Blue,17
466,21,Blue,18
467,22,Blue,16
468,23,Blue,16
469,24,Blue,15
475,1,Black,4
476,2,Black,4
477,3,Black,4
478,4,Black,3
479,5,Black,4
480,6,Black,4
481,7,Black,4
482,8,Black,4
483,9,Black,3
484,10,Black,4
485,11,Black,4
486,12,Black,4
487,13,Black,5
488,14,Black,4
489,15,Black,3
490,16,Black,3
491,17,Black,3
492,18,Black,4
493,19,Black,4
494,20,Black,4
495,21,Black,4
496,22,Black,4
497,23,Black,4
498,24,Black,4
535,1,White,73
536,2,White,68
537,3,White,70
538,4,White,69
539,5,White,69
540,6,White,72
541,7,White,74
542,8,White,72
543,9,White,71
544,10,White,73
