No.,Order,Color,Intensity
1,1,White,37
2,2,White,34
3,3,White,35
4,4,White,33
5,5,White,35
6,6,White,36
7,7,White,33
8,8,White,37
9,9,White,33
10,10,White,33
11,11,White,36
12,12,White,37
13,13,White,33
14,14,White,34
15,15,White,33
16,16,White,34
17,17,White,34
18,18,White,35
19,19,White,31
20,20,White,34
21,21,White,36
22,22,White,37
23,23,White,37
24,24,White,34
30,1,Red,18
31,2,Red,15
32,3,Red,14
33,4,Red,15
34,5,Red,16
35,6,Red,15
36,7,Red,17
37,8,Red,15
38,9,Red,16
39,10,Red,17
40,11,Red,16
41,12,Red,14
42,13,Red,17
43,14,Red,15
44,15,Red,16
45,16,Red,16
46,17,Red,16
47,18,Red,17
48,19,Red,15
49,20,Red,16
50,21,Red,14
51,22,Red,17
52,23,Red,18
53,24,Red,15
59,1,Green,16
60,2,Green,16
61,3,Green,15
62,4,Green,15
63,5,Green,15
64,6,Green,15
65,7,Green,15
66,8,Green,17
67,9,Green,16
68,10,Green,15
69,11,Green,15
70,12,Green,15
71,13,Green,15
72,14,Green,16
73,15,Green,16
74,16,Green,14
75,17,Green,17
76,18,Green,16
77,19,Green,15
78,20,Green,17
79,21,Green,17
80,22,Green,15
81,23,Green,15
82,24,Green,15
89,1,Blue,10
90,2,Blue,11
91,3,Blue,10
92,4,Blue,12
93,5,Blue,10
94,6,Blue,11
95,7,Blue,10
96,8,Blue,11
97,9,Blue,11
98,10,Blue,10
99,11,Blue,11
100,12,Blue,10
101,13,Blue,12
102,14,Blue,11
103,15,Blue,11
104,16,Blue,12
105,17,Blue,11
106,18,Blue,11
107,19,Blue,11
108,20,Blue,10
109,21,Blue,10
110,22,Blue,9
111,23,Blue,10
112,24,Blue,10
118,1,Black,4
119,2,Black,4
120,3,Black,4
121,4,Black,3
122,5,Black,4
123,6,Black,4
124,7,Black,4
125,8,Black,4
126,9,Black,4
127,10,Black,3
128,11,Black,5
129,12,Black,4
130,13,Black,4
131,14,Black,4
132,15,Black,5
133,16,Black,5
134,17,Black,4
135,18,Black,4
136,19,Black,3
137,20,Black,3
138,21,Black,4
139,22,Black,4
140,23,Black,4
141,24,Black,3
177,1,White,36
178,2,White,36
179,3,White,37
180,4,White,33
181,5,White,33
182,6,White,34
183,7,White,37
184,8,White,35
185,9,White,36
186,10,White,33
187,11,White,35
188,12,White,33
189,13,White,35
190,14,White,37
191,15,White,32
192,16,White,33
193,17,White,35
194,18,White,33
195,19,White,37
196,20,White,34
197,21,White,34
198,22,White,36
199,23,White,35
200,24,White,37
206,1,Red,15
207,2,Red,17
208,3,Red,15
209,4,Red,14
210,5,Red,15
211,6,Red,16
212,7,Red,15
213,8,Red,14
214,9,Red,17
215,10,Red,15
216,11,Red,18
217,12,Red,16
218,13,Red,15
219,14,Red,16
220,15,Red,16
221,16,Red,15
222,17,Red,17
223,18,Red,14
224,19,Red,15
225,20,Red,16
226,21,Red,16
227,22,Red,16
228,23,Red,15
229,24,Red,15
236,1,Green,16
237,2,Green,17
238,3,Green,18
239,4,Green,17
240,5,Green,16
241,6,Green,16
242,7,Green,16
243,8,Green,16
244,9,Green,16
245,10,Green,15
246,11,Green,15
247,12,Green,17
248,13,Green,16
249,14,Green,15
250,15,Green,15
251,16,Green,18
252,17,Green,17
253,18,Green,14
254,19,Green,15
255,20,Green,17
256,21,Green,16
257,22,Green,15
258,23,Green,15
259,24,Green,16
265,1,Blue,12
266,2,Blue,12
267,3,Blue,10
268,4,Blue,11
269,5,Blue,11
270,6,Blue,10
271,7,Blue,12
272,8,Blue,11
273,9,Blue,11
274,10,Blue,12
275,11,Blue,11
276,12,Blue,11
277,13,Blue,12
278,14,Blue,10
279,15,Blue,11
280,16,Blue,10
281,17,Blue,10
282,18,Blue,9
283,19,Blue,11
284,20,Blue,11
285,21,Blue,10
286,22,Blue,10
287,23,Blue,12
288,24,Blue,10
294,1,Black,3
295,2,Black,4
296,3,Black,4
297,4,Black,4
298,5,Black,4
299,6,Black,4
300,7,Black,5
301,8,Black,4
302,9,Black,4
303,10,Black,4
304,11,Black,3
305,12,Black,4
306,13,Black,4
307,14,Black,5
308,15,Black,4
309,16,Black,4
310,17,Black,4
311,18,Black,5
312,19,Black,4
313,20,Black,4
314,21,Black,4
315,22,Black,3
316,23,Black,3
317,24,Black,4
353,1,White,34
354,2,White,35
355,3,White,34
356,4,White,34
357,5,White,35
358,6,White,32
359,7,White,36
360,8,White,36
361,9,White,35
362,10,White,36
363,11,White,33
364,12,White,34
365,13,White,34
366,14,White,33
367,15,White,31
368,16,White,35
369,17,White,35
370,18,White,32
371,19,White,36
372,20,White,32
373,21,White,33
374,22,White,34
375,23,White,35
376,24,White,31
382,1,Red,15
383,2,Red,14
384,3,Red,15
385,4,Red,16
386,5,Red,15
387,6,Red,15
388,7,Red,16
389,8,Red,14
390,9,Red,15
391,10,Red,16
392,11,Red,15
393,12,Red,14
394,13,Red,15
395,14,Red,14
396,15,Red,14
397,16,Red,16
398,17,Red,14
399,18,Red,14
400,19,Red,15
401,20,Red,13
402,21,Red,15
403,22,Red,16
404,23,Red,15
405,24,Red,14
412,1,Green,17
413,2,Green,16
414,3,Green,14
415,4,Green,16
416,5,Green,15
417,6,Green,17
418,7,Green,17
419,8,Green,17
420,9,Green,16
421,10,Green,16
422,11,Green,15
423,12,Green,16
424,13,Green,15
425,14,Green,15
426,15,Green,17
427,16,Green,15
428,17,Green,15
429,18,Green,15
430,19,Green,17
431,20,Green,17
432,21,Green,15
433,22,Green,16
434,23,Green,17
435,24,Green,16
441,1,Blue,11
442,2,Blue,12
443,3,Blue,11
444,4,Blue,13
445,5,Blue,10
446,6,Blue,13
447,7,Blue,13
448,8,Blue,12
449,9,Blue,10
450,10,Blue,11
451,11,Blue,12
452,12,Blue,11
453,13,Blue,12
454,14,Blue,12
455,15,Blue,13
456,16,Blue,11
457,17,Blue,11
458,18,Blue,11
459,19,Blue,11
460,20,Blue,12
461,21,Blue,12
462,22,Blue,10
463,23,Blue,12
464,24,Blue,11
471,1,Black,5
472,2,Black,4
473,3,Black,4
474,4,Black,4
475,5,Black,3
476,6,Black,4
477,7,Black,3
478,8,Black,4
479,9,Black,3
480,10,Black,5
481,11,Black,4
482,12,Black,3
483,13,Black,3
484,14,Black,3
485,15,Black,4
486,16,Black,4
487,17,Black,5
488,18,Black,3
489,19,Black,4
490,20,Black,4
491,21,Black,5
492,22,Black,3
493,23,Black,4
494,24,Black,4
529,1,White,37
530,2,White,38
531,3,White,40
532,4,White,40
533,5,White,39
534,6,White,40
535,7,White,38
536,8,White,39
537,9,White,41
538,10,White,42
539,11,White,39
540,12,White,42
541,13,White,43
542,14,White,41
543,15,White,43
544,16,White,39
545,17,White,39
546,18,White,41
547,19,White,40
548,20,White,44
549,21,White,40
550,22,White,39
551,23,White,44
552,24,White,41
559,1,Red,18
560,2,Red,19
561,3,Red,18
562,4,Red,18
563,5,Red,20
564,6,Red,17
565,7,Red,18
566,8,Red,18
567,9,Red,19
568,10,Red,17
569,11,Red,18
570,12,Red,19
571,13,Red,18
572,14,Red,20
573,15,Red,18
574,16,Red,19
575,17,Red,19
576,18,Red,18
577,19,Red,19
578,20,Red,21
579,21,Red,19
580,22,Red,20
581,23,Red,18
582,24,Red,21
588,1,Green,19
589,2,Green,19
590,3,Green,20
591,4,Green,20
592,5,Green,19
593,6,Green,18
594,7,Green,18
595,8,Green,18
596,9,Green,20
597,10,Green,17
598,11,Green,18
599,12,Green,18
600,13,Green,18
601,14,Green,17
602,15,Green,20
603,16,Green,19
604,17,Green,18
605,18,Green,19
606,19,Green,18
607,20,Green,19
608,21,Green,18
609,22,Green,18
610,23,Green,18
611,24,Green,20
617,1,Blue,15
618,2,Blue,13
619,3,Blue,13
620,4,Blue,14
621,5,Blue,14
622,6,Blue,16
623,7,Blue,14
624,8,Blue,13
625,9,Blue,15
626,10,Blue,14
627,11,Blue,16
628,12,Blue,13
629,13,Blue,14
630,14,Blue,12
631,15,Blue,15
632,16,Blue,15
633,17,Blue,13
634,18,Blue,14
635,19,Blue,14
636,20,Blue,16
637,21,Blue,13
638,22,Blue,14
639,23,Blue,13
640,24,Blue,15
647,1,Black,4
648,2,Black,4
649,3,Black,5
650,4,Black,5
651,5,Black,4
652,6,Black,4
653,7,Black,4
654,8,Black,4
655,9,Black,4
656,10,Black,4
657,11,Black,3
658,12,Black,4
659,13,Black,4
660,14,Black,4
661,15,Black,3
662,16,Black,3
663,17,Black,4
664,18,Black,4
665,19,Black,4
666,20,Black,4
667,21,Black,4
668,22,Black,4
669,23,Black,3
670,24,Black,4
