No.,Order,Color,Intensity
1,1,White,726
2,2,White,732
3,3,White,730
4,4,White,724
5,5,White,726
6,6,White,726
7,7,White,731
8,8,White,725
9,9,White,733
10,10,White,727
11,11,White,724
12,12,White,727
13,13,White,725
14,14,White,733
15,15,White,733
16,16,White,725
17,17,White,730
18,18,White,729
19,19,White,719
20,20,White,723
21,21,White,729
22,22,White,730
23,23,White,730
24,24,White,731
31,1,Red,252
32,2,Red,251
33,3,Red,256
34,4,Red,255
35,5,Red,252
36,6,Red,253
37,7,Red,253
38,8,Red,259
39,9,Red,253
40,10,Red,253
41,11,Red,261
42,12,Red,252
43,13,Red,253
44,14,Red,253
45,15,Red,253
46,16,Red,261
47,17,Red,257
48,18,Red,257
49,19,Red,261
50,20,Red,253
51,21,Red,261
52,22,Red,254
53,23,Red,252
54,24,Red,257
60,1,Green,311
61,2,Green,316
62,3,Green,318
63,4,Green,306
64,5,Green,314
65,6,Green,314
66,7,Green,313
67,8,Green,315
68,9,Green,317
69,10,Green,313
70,11,Green,311
71,12,Green,314
72,13,Green,316
73,14,Green,311
74,15,Green,305
75,16,Green,316
76,17,Green,313
77,18,Green,310
78,19,Green,315
79,20,Green,315
80,21,Green,315
81,22,Green,309
82,23,Green,312
83,24,Green,314
90,1,Blue,190
91,2,Blue,194
92,3,Blue,195
93,4,Blue,192
94,5,Blue,195
95,6,Blue,197
96,7,Blue,194
97,8,Blue,193
98,9,Blue,191
99,10,Blue,197
100,11,Blue,196
101,12,Blue,195
102,13,Blue,190
103,14,Blue,192
104,15,Blue,197
105,16,Blue,199
106,17,Blue,195
107,18,Blue,195
108,19,Blue,194
109,20,Blue,193
110,21,Blue,192
111,22,Blue,192
112,23,Blue,197
113,24,Blue,196
120,1,Black,3
121,2,Black,4
122,3,Black,4
123,4,Black,4
124,5,Black,3
125,6,Black,4
126,7,Black,3
127,8,Black,3
128,9,Black,3
129,10,Black,4
130,11,Black,4
131,12,Black,4
132,13,Black,3
133,14,Black,3
134,15,Black,3
135,16,Black,3
136,17,Black,3
137,18,Black,4
138,19,Black,4
139,20,Black,4
140,21,Black,3
141,22,Black,3
142,23,Black,3
143,24,Black,3
180,1,White,727
181,2,White,730
182,3,White,728
183,4,White,728
184,5,White,731
185,6,White,734
186,7,White,731
187,8,White,736
188,9,White,732
189,10,White,732
190,11,White,731
191,12,White,728
192,13,White,719
193,14,White,734
194,15,White,726
195,16,White,727
196,17,White,732
197,18,White,726
198,19,White,735
199,20,White,733
200,21,White,738
201,22,White,733
202,23,White,729
203,24,White,722
209,1,Red,255
210,2,Red,262
211,3,Red,254
212,4,Red,253
213,5,Red,260
214,6,Red,257
215,7,Red,258
216,8,Red,260
217,9,Red,257
218,10,Red,260
219,11,Red,261
220,12,Red,255
221,13,Red,254
222,14,Red,254
223,15,Red,261
224,16,Red,262
225,17,Red,259
226,18,Red,259
227,19,Red,256
228,20,Red,251
229,21,Red,259
230,22,Red,260
231,23,Red,253
232,24,Red,263
239,1,Green,312
240,2,Green,314
241,3,Green,309
242,4,Green,312
243,5,Green,308
244,6,Green,316
245,7,Green,308
246,8,Green,316
247,9,Green,316
248,10,Green,316
249,11,Green,312
250,12,Green,311
251,13,Green,311
252,14,Green,315
253,15,Green,311
254,16,Green,313
255,17,Green,309
256,18,Green,312
257,19,Green,309
258,20,Green,309
259,21,Green,310
260,22,Green,311
261,23,Green,309
262,24,Green,313
269,1,Blue,188
270,2,Blue,192
271,3,Blue,192
272,4,Blue,190
273,5,Blue,193
274,6,Blue,191
275,7,Blue,192
276,8,Blue,193
277,9,Blue,189
278,10,Blue,192
279,11,Blue,196
280,12,Blue,193
281,13,Blue,198
282,14,Blue,191
283,15,Blue,192
284,16,Blue,196
285,17,Blue,192
286,18,Blue,192
287,19,Blue,192
288,20,Blue,196
289,21,Blue,197
290,22,Blue,196
