No.,Order,Color,Intensity
1,1,White,200
2,2,White,200
3,3,White,198
4,4,White,195
5,5,White,194
6,6,White,197
7,7,White,196
8,8,White,195
9,9,White,195
10,10,White,193
11,11,White,194
12,12,White,195
13,13,White,196
14,14,White,198
15,15,White,196
16,16,White,200
17,17,White,195
18,18,White,195
19,19,White,199
20,20,White,196
21,21,White,193
22,22,White,196
23,23,White,200
24,24,White,197
30,1,Red,131
31,2,Red,131
32,3,Red,132
33,4,Red,129
34,5,Red,127
35,6,Red,128
36,7,Red,129
37,8,Red,134
38,9,Red,132
39,10,Red,128
40,11,Red,131
41,12,Red,126
42,13,Red,130
43,14,Red,128
44,15,Red,131
45,16,Red,126
46,17,Red,129
47,18,Red,134
48,19,Red,128
49,20,Red,130
50,21,Red,130
51,22,Red,131
52,23,Red,127
53,24,Red,130
59,1,Green,62
60,2,Green,59
61,3,Green,58
62,4,Green,58
63,5,Green,57
64,6,Green,62
65,7,Green,59
66,8,Green,58
67,9,Green,59
68,10,Green,58
69,11,Green,61
70,12,Green,61
71,13,Green,61
72,14,Green,62
73,15,Green,60
74,16,Green,60
75,17,Green,61
76,18,Green,58
77,19,Green,59
78,20,Green,60
79,21,Green,62
80,22,Green,62
81,23,Green,59
82,24,Green,59
88,1,Blue,18
89,2,Blue,16
90,3,Blue,17
91,4,Blue,19
92,5,Blue,17
93,6,Blue,18
94,7,Blue,16
95,8,Blue,17
96,9,Blue,17
97,10,Blue,16
98,11,Blue,17
99,12,Blue,16
100,13,Blue,17
101,14,Blue,16
102,15,Blue,19
103,16,Blue,16
104,17,Blue,17
105,18,Blue,18
106,19,Blue,16
107,20,Blue,17
108,21,Blue,18
109,22,Blue,16
110,23,Blue,17
111,24,Blue,18
118,1,Black,5
119,2,Black,5
120,3,Black,4
121,4,Black,5
122,5,Black,6
123,6,Black,5
124,7,Black,5
125,8,Black,5
126,9,Black,5
127,10,Black,6
128,11,Black,4
129,12,Black,4
130,13,Black,4
131,14,Black,5
132,15,Black,4
133,16,Black,5
134,17,Black,6
135,18,Black,4
136,19,Black,5
137,20,Black,4
138,21,Black,4
139,22,Black,4
140,23,Black,5
141,24,Black,4
176,1,White,194
177,2,White,194
178,3,White,200
179,4,White,193
180,5,White,194
181,6,White,191
182,7,White,197
183,8,White,196
184,9,White,197
185,10,White,198
186,11,White,197
187,12,White,194
188,13,White,199
189,14,White,196
190,15,White,196
191,16,White,193
192,17,White,194
193,18,White,192
194,19,White,194
195,20,White,194
196,21,White,196
197,22,White,194
198,23,White,193
199,24,White,191
205,1,Red,125
206,2,Red,124
207,3,Red,126
208,4,Red,133
209,5,Red,130
210,6,Red,127
211,7,Red,131
212,8,Red,125
213,9,Red,125
214,10,Red,130
215,11,Red,131
216,12,Red,127
217,13,Red,131
218,14,Red,131
219,15,Red,131
220,16,Red,126
221,17,Red,125
222,18,Red,129
223,19,Red,130
224,20,Red,130
225,21,Red,128
226,22,Red,127
227,23,Red,130
228,24,Red,132
235,1,Green,59
236,2,Green,61
237,3,Green,60
238,4,Green,58
239,5,Green,56
240,6,Green,62
241,7,Green,58
242,8,Green,59
243,9,Green,63
244,10,Green,63
245,11,Green,58
246,12,Green,58
247,13,Green,61
248,14,Green,58
249,15,Green,58
250,16,Green,61
251,17,Green,60
252,18,Green,63
253,19,Green,59
254,20,Green,58
255,21,Green,62
256,22,Green,60
257,23,Green,58
258,24,Green,60
264,1,Blue,16
265,2,Blue,19
266,3,Blue,18
267,4,Blue,17
268,5,Blue,17
269,6,Blue,16
270,7,Blue,15
271,8,Blue,17
272,9,Blue,18
273,10,Blue,16
274,11,Blue,17
275,12,Blue,17
276,13,Blue,17
277,14,Blue,17
278,15,Blue,15
279,16,Blue,16
280,17,Blue,18
281,18,Blue,18
282,19,Blue,17
283,20,Blue,16
284,21,Blue,16
285,22,Blue,16
286,23,Blue,18
287,24,Blue,19
293,1,Black,4
294,2,Black,4
295,3,Black,4
296,4,Black,5
297,5,Black,6
298,6,Black,4
299,7,Black,5
300,8,Black,5
301,9,Black,4
302,10,Black,4
303,11,Black,5
304,12,Black,5
305,13,Black,4
306,14,Black,5
307,15,Black,4
308,16,Black,4
309,17,Black,5
310,18,Black,5
311,19,Black,4
312,20,Black,4
313,21,Black,4
314,22,Black,4
315,23,Black,5
316,24,Black,5
351,1,White,195
352,2,White,196
353,3,White,197
354,4,White,196
355,5,White,198
356,6,White,198
357,7,White,191
358,8,White,191
359,9,White,196
360,10,White,192
361,11,White,191
362,12,White,194
363,13,White,196
364,14,White,195
365,15,White,198
366,16,White,199
367,17,White,197
368,18,White,196
369,19,White,190
370,20,White,191
371,21,White,192
372,22,White,192
373,23,White,186
374,24,White,191
381,1,Red,126
382,2,Red,129
383,3,Red,127
384,4,Red,127
385,5,Red,129
386,6,Red,126
387,7,Red,130
388,8,Red,130
389,9,Red,130
390,10,Red,127
391,11,Red,129
392,12,Red,124
393,13,Red,129
394,14,Red,129
395,15,Red,129
396,16,Red,125
397,17,Red,126
398,18,Red,130
399,19,Red,128
400,20,Red,126
401,21,Red,127
402,22,Red,124
403,23,Red,131
404,24,Red,124
410,1,Green,59
411,2,Green,60
412,3,Green,58
413,4,Green,59
414,5,Green,59
415,6,Green,58
416,7,Green,62
417,8,Green,59
418,9,Green,56
419,10,Green,55
420,11,Green,59
421,12,Green,60
422,13,Green,56
423,14,Green,61
424,15,Green,57
425,16,Green,59
426,17,Green,56
427,18,Green,56
428,19,Green,58
429,20,Green,56
430,21,Green,62
431,22,Green,57
432,23,Green,57
433,24,Green,57
439,1,Blue,16
440,2,Blue,17
441,3,Blue,18
442,4,Blue,17
443,5,Blue,17
444,6,Blue,17
445,7,Blue,16
446,8,Blue,16
447,9,Blue,17
448,10,Blue,16
449,11,Blue,15
450,12,Blue,17
451,13,Blue,16
452,14,Blue,17
453,15,Blue,18
454,16,Blue,16
455,17,Blue,17
456,18,Blue,17
457,19,Blue,17
458,20,Blue,16
459,21,Blue,17
460,22,Blue,18
461,23,Blue,17
462,24,Blue,16
468,1,Black,4
469,2,Black,6
470,3,Black,5
471,4,Black,6
472,5,Black,4
473,6,Black,5
474,7,Black,4
475,8,Black,6
476,9,Black,4
477,10,Black,5
478,11,Black,5
479,12,Black,6
480,13,Black,5
481,14,Black,5
482,15,Black,4
483,16,Black,5
484,17,Black,4
485,18,Black,4
486,19,Black,4
487,20,Black,4
488,21,Black,5
489,22,Black,6
490,23,Black,5
491,24,Black,4
527,1,White,195
528,2,White,191
529,3,White,194
530,4,White,197
531,5,White,194
532,6,White,192
533,7,White,186
534,8,White,191
535,9,White,195
536,10,White,197
537,11,White,193
538,12,White,190
539,13,White,197
