No.,Order,Color,Intensity
1,1,White,172
2,2,White,167
3,3,White,168
4,4,White,166
5,5,White,166
6,6,White,163
7,7,White,167
8,8,White,169
9,9,White,167
10,10,White,164
11,11,White,166
12,12,White,171
13,13,White,165
14,14,White,167
15,15,White,168
16,16,White,167
17,17,White,167
18,18,White,167
19,19,White,171
20,20,White,164
21,21,White,164
22,22,White,171
23,23,White,169
24,24,White,168
31,1,Red,97
32,2,Red,96
33,3,Red,97
34,4,Red,98
35,5,Red,98
36,6,Red,93
37,7,Red,96
38,8,Red,98
39,9,Red,96
40,10,Red,91
41,11,Red,99
42,12,Red,93
43,13,Red,95
44,14,Red,94
45,15,Red,98
46,16,Red,99
47,17,Red,96
48,18,Red,98
49,19,Red,100
50,20,Red,93
51,21,Red,98
52,22,Red,96
53,23,Red,93
54,24,Red,96
60,1,Green,57
61,2,Green,53
62,3,Green,52
63,4,Green,56
64,5,Green,55
65,6,Green,54
66,7,Green,56
67,8,Green,54
68,9,Green,52
69,10,Green,53
70,11,Green,55
71,12,Green,53
72,13,Green,52
73,14,Green,55
74,15,Green,55
75,16,Green,55
76,17,Green,56
77,18,Green,55
78,19,Green,54
79,20,Green,53
80,21,Green,53
81,22,Green,56
82,23,Green,53
83,24,Green,51
90,1,Blue,25
91,2,Blue,22
92,3,Blue,22
93,4,Blue,23
94,5,Blue,22
95,6,Blue,25
96,7,Blue,24
97,8,Blue,24
98,9,Blue,25
99,10,Blue,25
100,11,Blue,25
101,12,Blue,21
102,13,Blue,22
103,14,Blue,24
104,15,Blue,22
105,16,Blue,23
106,17,Blue,23
107,18,Blue,24
108,19,Blue,24
109,20,Blue,24
110,21,Blue,25
111,22,Blue,24
112,23,Blue,22
113,24,Blue,21
120,1,Black,3
121,2,Black,3
122,3,Black,3
123,4,Black,4
124,5,Black,3
125,6,Black,3
126,7,Black,3
127,8,Black,3
128,9,Black,4
129,10,Black,3
130,11,Black,4
131,12,Black,3
132,13,Black,3
133,14,Black,4
134,15,Black,3
135,16,Black,3
136,17,Black,3
137,18,Black,4
138,19,Black,3
139,20,Black,4
140,21,Black,4
141,22,Black,3
142,23,Black,3
143,24,Black,4
180,1,White,166
181,2,White,165
182,3,White,171
183,4,White,171
184,5,White,167
185,6,White,169
186,7,White,165
187,8,White,170
188,9,White,170
189,10,White,166
190,11,White,167
191,12,White,168
192,13,White,167
193,14,White,171
194,15,White,165
195,16,White,164
196,17,White,166
197,18,White,169
198,19,White,170
199,20,White,164
200,21,White,167
201,22,White,167
202,23,White,164
203,24,White,167
209,1,Red,99
210,2,Red,96
211,3,Red,93
212,4,Red,98
213,5,Red,97
214,6,Red,96
215,7,Red,93
216,8,Red,99
217,9,Red,94
218,10,Red,95
219,11,Red,95
220,12,Red,95
221,13,Red,96
222,14,Red,94
223,15,Red,92
224,16,Red,95
225,17,Red,99
226,18,Red,93
227,19,Red,93
228,20,Red,100
229,21,Red,93
230,22,Red,97
231,23,Red,94
232,24,Red,99
239,1,Green,56
240,2,Green,54
241,3,Green,53
242,4,Green,53
243,5,Green,53
244,6,Green,54
245,7,Green,53
246,8,Green,53
247,9,Green,54
248,10,Green,56
249,11,Green,52
250,12,Green,55
251,13,Green,56
252,14,Green,54
253,15,Green,58
254,16,Green,53
255,17,Green,54
256,18,Green,54
257,19,Green,53
258,20,Green,54
259,21,Green,57
260,22,Green,55
261,23,Green,52
262,24,Green,55
269,1,Blue,22
270,2,Blue,21
271,3,Blue,25
272,4,Blue,24
273,5,Blue,22
274,6,Blue,24
275,7,Blue,24
276,8,Blue,23
277,9,Blue,23
278,10,Blue,23
279,11,Blue,25
280,12,Blue,22
281,13,Blue,22
282,14,Blue,23
283,15,Blue,25
284,16,Blue,25
285,17,Blue,22
286,18,Blue,23
287,19,Blue,22
288,20,Blue,21
289,21,Blue,21
290,22,Blue,23
291,23,Blue,22
292,24,Blue,22
299,1,Black,3
300,2,Black,4
301,3,Black,3
302,4,Black,4
303,5,Black,4
304,6,Black,3
305,7,Black,3
306,8,Black,3
307,9,Black,3
308,10,Black,3
309,11,Black,4
310,12,Black,4
311,13,Black,3
312,14,Black,3
313,15,Black,4
314,16,Black,4
315,17,Black,3
316,18,Black,4
317,19,Black,3
318,20,Black,4
319,21,Black,3
320,22,Black,3
321,23,Black,3
322,24,Black,3
358,1,White,164
359,2,White,164
360,3,White,167
361,4,White,165
362,5,White,166
363,6,White,170
364,7,White,165
365,8,White,168
366,9,White,166
367,10,White,161
368,11,White,167
369,12,White,163
370,13,White,169
371,14,White,168
372,15,White,166
373,16,White,165
374,17,White,170
375,18,White,165
376,19,White,168
377,20,White,163
378,21,White,167
379,22,White,167
380,23,White,165
381,24,White,164
388,1,Red,99
389,2,Red,94
390,3,Red,98
391,4,Red,93
392,5,Red,94
393,6,Red,99
394,7,Red,99
395,8,Red,94
396,9,Red,96
397,10,Red,94
398,11,Red,99
399,12,Red,96
400,13,Red,96
401,14,Red,93
402,15,Red,95
403,16,Red,97
404,17,Red,93
405,18,Red,97
406,19,Red,93
407,20,Red,99
408,21,Red,97
409,22,Red,100
410,23,Red,98
411,24,Red,92
418,1,Green,58
419,2,Green,56
420,3,Green,53
421,4,Green,55
422,5,Green,56
423,6,Green,55
424,7,Green,54
425,8,Green,57
426,9,Green,56
427,10,Green,52
428,11,Green,57
429,12,Green,58
430,13,Green,52
431,14,Green,57
432,15,Green,56
433,16,Green,58
434,17,Green,57
435,18,Green,56
436,19,Green,55
437,20,Green,53
438,21,Green,54
439,22,Green,53
440,23,Green,55
441,24,Green,56
448,1,Blue,23
449,2,Blue,23
450,3,Blue,22
451,4,Blue,24
452,5,Blue,23
453,6,Blue,25
454,7,Blue,25
455,8,Blue,24
456,9,Blue,22
457,10,Blue,25
458,11,Blue,22
459,12,Blue,23
460,13,Blue,25
461,14,Blue,24
462,15,Blue,23
463,16,Blue,22
464,17,Blue,23
465,18,Blue,24
466,19,Blue,24
467,20,Blue,22
468,21,Blue,22
469,22,Blue,22
470,23,Blue,24
471,24,Blue,23
478,1,Black,4
479,2,Black,4
480,3,Black,3
481,4,Black,3
482,5,Black,3
483,6,Black,3
484,7,Black,3
485,8,Black,3
486,9,Black,3
487,10,Black,3
488,11,Black,3
489,12,Black,3
490,13,Black,3
491,14,Black,3
492,15,Black,4
493,16,Black,3
494,17,Black,3
495,18,Black,3
496,19,Black,4
497,20,Black,4
498,21,Black,3
499,22,Black,3
500,23,Black,3
501,24,Black,3
537,1,White,166
538,2,White,165
539,3,White,164
540,4,White,169
541,5,White,164
542,6,White,164
543,7,White,170
544,8,White,170
545,9,White,170
546,10,White,164
547,11,White,168
548,12,White,170
549,13,White,170
550,14,White,165
551,15,White,163
552,16,White,166
553,17,White,165
554,18,White,166
555,19,White,170
556,20,White,163
557,21,White,164
558,22,White,169
559,23,White,171
560,24,White,165
567,1,Red,99
568,2,Red,95
569,3,Red,95
570,4,Red,95
571,5,Red,98
572,6,Red,97
573,7,Red,95
574,8,Red,94
575,9,Red,96
576,10,Red,94
577,11,Red,92
578,12,Red,97
579,13,Red,99
580,14,Red,98
581,15,Red,92
582,16,Red,95
583,17,Red,94
584,18,Red,93
585,19,Red,96
586,20,Red,98
587,21,Red,94
588,22,Red,94
589,23,Red,98
590,24,Red,93
597,1,Green,54
598,2,Green,58
599,3,Green,57
600,4,Green,53
601,5,Green,53
602,6,Green,55
603,7,Green,57
604,8,Green,52
605,9,Green,54
606,10,Green,54
607,11,Green,55
608,12,Green,53
609,13,Green,53
610,14,Green,53
611,15,Green,57
612,16,Green,58
613,17,Green,57
614,18,Green,55
615,19,Green,56
616,20,Green,53
617,21,Green,54
618,22,Green,53
619,23,Green,53
620,24,Green,57
627,1,Blue,25
628,2,Blue,22
629,3,Blue,22
630,4,Blue,21
631,5,Blue,22
632,6,Blue,22
633,7,Blue,24
634,8,Blue,22
635,9,Blue,23
636,10,Blue,22
637,11,Blue,25
638,12,Blue,22
639,13,Blue,23
640,14,Blue,22
641,15,Blue,23
642,16,Blue,25
643,17,Blue,22
644,18,Blue,23
645,19,Blue,23
646,20,Blue,22
647,21,Blue,24
648,22,Blue,22
649,23,Blue,25
650,24,Blue,23
657,1,Black,3
658,2,Black,3
659,3,Black,4
660,4,Black,3
661,5,Black,4
662,6,Black,4
663,7,Black,3
664,8,Black,3
665,9,Black,3
666,10,Black,4
667,11,Black,3
668,12,Black,3
669,13,Black,4
670,14,Black,3
671,15,Black,4
672,16,Black,3
673,17,Black,3
674,18,Black,3
675,19,Black,4
676,20,Black,3
677,21,Black,4
678,22,Black,3
679,23,Black,3
