No.,Order,Color,Intensity
1,1,White,104
2,2,White,106
3,3,White,109
4,4,White,102
5,5,White,105
6,6,White,103
7,7,White,108
8,8,White,108
9,9,White,101
10,10,White,104
11,11,White,105
12,12,White,101
13,13,White,105
14,14,White,105
15,15,White,106
16,16,White,101
17,17,White,102
18,18,White,101
19,19,White,106
20,20,White,100
21,21,White,102
22,22,White,101
23,23,White,102
24,24,White,102
30,1,Red,37
31,2,Red,38
32,3,Red,34
33,4,Red,33
34,5,Red,34
35,6,Red,35
36,7,Red,36
37,8,Red,35
38,9,Red,35
39,10,Red,34
40,11,Red,33
41,12,Red,35
42,13,Red,36
43,14,Red,37
44,15,Red,34
45,16,Red,37
46,17,Red,37
47,18,Red,35
48,19,Red,33
49,20,Red,36
50,21,Red,34
51,22,Red,37
52,23,Red,33
53,24,Red,37
60,1,Green,42
61,2,Green,42
62,3,Green,47
63,4,Green,46
64,5,Green,48
65,6,Green,45
66,7,Green,43
67,8,Green,46
68,9,Green,44
69,10,Green,45
70,11,Green,49
71,12,Green,46
72,13,Green,48
73,14,Green,46
74,15,Green,45
75,16,Green,43
76,17,Green,46
77,18,Green,43
78,19,Green,43
79,20,Green,45
80,21,Green,47
81,22,Green,46
82,23,Green,46
83,24,Green,44
89,1,Blue,26
90,2,Blue,29
91,3,Blue,26
92,4,Blue,30
93,5,Blue,26
94,6,Blue,26
95,7,Blue,30
96,8,Blue,26
97,9,Blue,30
98,10,Blue,26
99,11,Blue,27
100,12,Blue,28
101,13,Blue,27
102,14,Blue,26
103,15,Blue,30
104,16,Blue,26
105,17,Blue,30
106,18,Blue,27
107,19,Blue,27
108,20,Blue,26
109,21,Blue,27
110,22,Blue,27
111,23,Blue,27
112,24,Blue,29
118,1,Black,4
119,2,Black,4
120,3,Black,4
121,4,Black,4
122,5,Black,4
123,6,Black,4
124,7,Black,4
125,8,Black,3
126,9,Black,4
127,10,Black,4
128,11,Black,4
129,12,Black,4
130,13,Black,5
131,14,Black,4
132,15,Black,4
133,16,Black,4
134,17,Black,4
135,18,Black,4
136,19,Black,4
137,20,Black,4
138,21,Black,4
139,22,Black,4
140,23,Black,4
141,24,Black,4
177,1,White,96
178,2,White,97
179,3,White,90
180,4,White,97
181,5,White,92
182,6,White,92
183,7,White,96
184,8,White,89
185,9,White,92
186,10,White,91
187,11,White,93
188,12,White,91
189,13,White,94
190,14,White,94
