No.,Order,Color,Intensity
1,1,White,697
2,2,White,697
3,3,White,700
4,4,White,698
5,5,White,693
6,6,White,699
7,7,White,699
8,8,White,690
9,9,White,690
10,10,White,685
11,11,White,687
12,12,White,691
13,13,White,694
14,14,White,690
15,15,White,693
16,16,White,697
17,17,White,691
18,18,White,696
19,19,White,696
20,20,White,694
21,21,White,698
22,22,White,702
23,23,White,702
24,24,White,699
31,1,Red,246
32,2,Red,246
33,3,Red,242
34,4,Red,242
35,5,Red,247
36,6,Red,244
37,7,Red,247
38,8,Red,243
39,9,Red,247
40,10,Red,249
41,11,Red,242
42,12,Red,244
43,13,Red,244
44,14,Red,245
45,15,Red,246
46,16,Red,244
47,17,Red,244
48,18,Red,243
49,19,Red,245
50,20,Red,246
51,21,Red,246
52,22,Red,247
53,23,Red,241
54,24,Red,245
60,1,Green,303
61,2,Green,299
62,3,Green,299
63,4,Green,302
64,5,Green,301
65,6,Green,300
66,7,Green,302
67,8,Green,305
68,9,Green,305
69,10,Green,304
70,11,Green,301
71,12,Green,299
72,13,Green,300
73,14,Green,305
74,15,Green,305
75,16,Green,297
76,17,Green,300
77,18,Green,304
78,19,Green,301
79,20,Green,300
80,21,Green,303
81,22,Green,297
82,23,Green,304
83,24,Green,302
90,1,Blue,181
91,2,Blue,178
92,3,Blue,179
93,4,Blue,175
94,5,Blue,179
95,6,Blue,180
96,7,Blue,176
97,8,Blue,184
98,9,Blue,179
99,10,Blue,180
100,11,Blue,176
101,12,Blue,181
102,13,Blue,178
103,14,Blue,180
104,15,Blue,179
105,16,Blue,181
106,17,Blue,177
107,18,Blue,177
108,19,Blue,178
109,20,Blue,181
110,21,Blue,179
111,22,Blue,177
112,23,Blue,177
113,24,Blue,179
120,1,Black,4
121,2,Black,3
122,3,Black,3
123,4,Black,3
124,5,Black,3
125,6,Black,4
126,7,Black,3
127,8,Black,4
128,9,Black,3
129,10,Black,3
130,11,Black,4
131,12,Black,3
132,13,Black,3
133,14,Black,4
134,15,Black,3
135,16,Black,3
136,17,Black,4
137,18,Black,3
138,19,Black,3
139,20,Black,3
140,21,Black,4
141,22,Black,3
142,23,Black,3
143,24,Black,4
180,1,White,695
181,2,White,690
182,3,White,694
183,4,White,706
184,5,White,706
185,6,White,702
186,7,White,700
187,8,White,699
188,9,White,696
189,10,White,695
190,11,White,697
191,12,White,695
192,13,White,694
193,14,White,694
194,15,White,701
195,16,White,707
196,17,White,706
197,18,White,701
198,19,White,703
199,20,White,703
200,21,White,706
201,22,White,698
202,23,White,703
203,24,White,703
210,1,Red,245
211,2,Red,248
212,3,Red,250
213,4,Red,246
214,5,Red,248
215,6,Red,247
216,7,Red,249
217,8,Red,251
218,9,Red,251
219,10,Red,252
220,11,Red,248
221,12,Red,245
222,13,Red,250
223,14,Red,242
224,15,Red,243
225,16,Red,251
226,17,Red,246
227,18,Red,250
228,19,Red,254
229,20,Red,242
230,21,Red,252
231,22,Red,251
232,23,Red,249
233,24,Red,249
239,1,Green,302
240,2,Green,302
241,3,Green,307
242,4,Green,303
243,5,Green,303
244,6,Green,308
245,7,Green,302
246,8,Green,302
247,9,Green,304
248,10,Green,301
249,11,Green,300
250,12,Green,307
251,13,Green,306
252,14,Green,306
253,15,Green,307
254,16,Green,302
255,17,Green,302
256,18,Green,303
257,19,Green,302
258,20,Green,302
259,21,Green,302
260,22,Green,305
261,23,Green,305
262,24,Green,302
269,1,Blue,178
270,2,Blue,181
271,3,Blue,182
272,4,Blue,183
273,5,Blue,179
274,6,Blue,176
275,7,Blue,176
276,8,Blue,176
277,9,Blue,179
278,10,Blue,181
279,11,Blue,176
280,12,Blue,179
281,13,Blue,182
282,14,Blue,184
283,15,Blue,186
284,16,Blue,180
285,17,Blue,183
286,18,Blue,182
287,19,Blue,181
288,20,Blue,184
289,21,Blue,179
290,22,Blue,185
291,23,Blue,184
292,24,Blue,182
299,1,Black,3
300,2,Black,4
301,3,Black,3
302,4,Black,4
303,5,Black,3
304,6,Black,4
305,7,Black,3
306,8,Black,3
307,9,Black,3
308,10,Black,3
309,11,Black,3
310,12,Black,3
311,13,Black,3
312,14,Black,4
313,15,Black,3
314,16,Black,3
315,17,Black,3
316,18,Black,3
317,19,Black,4
318,20,Black,3
319,21,Black,3
320,22,Black,3
321,23,Black,3
322,24,Black,4
359,1,White,704
360,2,White,708
361,3,White,706
362,4,White,707
363,5,White,704
364,6,White,707
365,7,White,707
366,8,White,706
367,9,White,701
368,10,White,701
369,11,White,708
370,12,White,712
371,13,White,705
372,14,White,710
373,15,White,710
374,16,White,708
375,17,White,710
376,18,White,708
377,19,White,707
378,20,White,707
379,21,White,708
380,22,White,710
381,23,White,711
382,24,White,707
388,1,Red,250
389,2,Red,252
390,3,Red,246
391,4,Red,248
392,5,Red,251
393,6,Red,249
394,7,Red,251
395,8,Red,250
396,9,Red,252
397,10,Red,248
398,11,Red,249
399,12,Red,245
400,13,Red,255
401,14,Red,248
402,15,Red,248
403,16,Red,246
404,17,Red,246
405,18,Red,249
406,19,Red,250
407,20,Red,254
408,21,Red,248
409,22,Red,251
410,23,Red,251
411,24,Red,246
418,1,Green,309
419,2,Green,306
420,3,Green,308
421,4,Green,308
422,5,Green,306
423,6,Green,311
424,7,Green,307
425,8,Green,312
426,9,Green,307
427,10,Green,306
428,11,Green,309
429,12,Green,310
430,13,Green,311
431,14,Green,304
432,15,Green,307
433,16,Green,307
434,17,Green,309
435,18,Green,307
436,19,Green,304
437,20,Green,310
438,21,Green,306
439,22,Green,303
440,23,Green,306
441,24,Green,309
448,1,Blue,183
449,2,Blue,181
450,3,Blue,182
451,4,Blue,183
452,5,Blue,188
453,6,Blue,183
454,7,Blue,183
455,8,Blue,184
456,9,Blue,186
457,10,Blue,185
458,11,Blue,183
459,12,Blue,181
460,13,Blue,184
461,14,Blue,180
462,15,Blue,186
463,16,Blue,183
464,17,Blue,183
465,18,Blue,184
466,19,Blue,184
467,20,Blue,182
468,21,Blue,181
469,22,Blue,187
470,23,Blue,183
471,24,Blue,183
478,1,Black,3
479,2,Black,3
480,3,Black,3
481,4,Black,3
482,5,Black,3
483,6,Black,4
484,7,Black,3
485,8,Black,3
486,9,Black,3
487,10,Black,3
488,11,Black,3
489,12,Black,3
490,13,Black,4
491,14,Black,3
492,15,Black,4
493,16,Black,3
494,17,Black,3
495,18,Black,3
496,19,Black,3
497,20,Black,3
498,21,Black,3
499,22,Black,3
500,23,Black,3
501,24,Black,3
538,1,White,713
539,2,White,712
540,3,White,714
541,4,White,713
542,5,White,719
543,6,White,718
544,7,White,712
545,8,White,705
546,9,White,710
547,10,White,718
548,11,White,715
549,12,White,716
550,13,White,714
551,14,White,715
552,15,White,718
553,16,White,715
554,17,White,716
555,18,White,709
556,19,White,714
557,20,White,717
558,21,White,718
559,22,White,716
560,23,White,713
561,24,White,715
567,1,Red,249
568,2,Red,253
569,3,Red,250
570,4,Red,247
571,5,Red,250
572,6,Red,251
573,7,Red,251
574,8,Red,255
575,9,Red,254
576,10,Red,252
577,11,Red,251
578,12,Red,246
579,13,Red,254
580,14,Red,253
581,15,Red,252
582,16,Red,249
583,17,Red,248
584,18,Red,253
585,19,Red,252
586,20,Red,251
587,21,Red,255
588,22,Red,250
589,23,Red,247
590,24,Red,247
597,1,Green,312
598,2,Green,309
599,3,Green,318
600,4,Green,312
601,5,Green,311
602,6,Green,311
603,7,Green,310
604,8,Green,315
605,9,Green,312
606,10,Green,313
607,11,Green,308
608,12,Green,314
609,13,Green,316
610,14,Green,315
611,15,Green,310
612,16,Green,316
613,17,Green,312
614,18,Green,313
615,19,Green,311
616,20,Green,312
617,21,Green,309
618,22,Green,315
619,23,Green,317
620,24,Green,310
627,1,Blue,187
628,2,Blue,185
629,3,Blue,183
630,4,Blue,189
631,5,Blue,187
632,6,Blue,185
633,7,Blue,188
634,8,Blue,189
635,9,Blue,181
636,10,Blue,186
637,11,Blue,189
638,12,Blue,181
639,13,Blue,182
640,14,Blue,186
641,15,Blue,184
642,16,Blue,182
643,17,Blue,183
644,18,Blue,184
645,19,Blue,182
646,20,Blue,185
647,21,Blue,184
648,22,Blue,188
649,23,Blue,184
650,24,Blue,184
657,1,Black,4
658,2,Black,3
659,3,Black,3
660,4,Black,3
661,5,Black,4
662,6,Black,3
663,7,Black,3
664,8,Black,3
665,9,Black,3
666,10,Black,4
667,11,Black,3
668,12,Black,3
669,13,Black,3
670,14,Black,3
671,15,Black,3
672,16,Black,3
673,17,Black,4
674,18,Black,3
675,19,Black,3
676,20,Black,3
677,21,Black,4
678,22,Black,3
679,23,Black,3
