No.,Order,Color,Intensity
1,1,White,765
2,2,White,765
3,3,White,757
4,4,White,770
5,5,White,758
6,6,White,766
7,7,White,763
8,8,White,763
9,9,White,760
10,10,White,771
11,11,White,770
12,12,White,772
13,13,White,772
14,14,White,767
15,15,White,770
16,16,White,773
17,17,White,760
18,18,White,772
19,19,White,764
20,20,White,762
21,21,White,764
22,22,White,766
23,23,White,765
24,24,White,764
25,25,White,769
26,26,White,773
27,27,White,767
28,28,White,766
29,29,White,765
30,30,White,771
31,31,White,761
32,32,White,772
33,33,White,765
34,34,White,775
35,35,White,771
36,36,White,770
37,37,White,769
38,38,White,770
39,39,White,766
40,40,White,765
41,41,White,770
42,42,White,765
43,43,White,763
44,44,White,769
45,45,White,771
46,46,White,767
47,47,White,769
48,48,White,764
49,49,White,764
50,50,White,763
51,51,White,768
52,52,White,764
53,53,White,771
54,54,White,768
55,55,White,767
56,56,White,765
57,57,White,759
58,58,White,767
59,1,Red,328
60,2,Red,329
61,3,Red,337
62,4,Red,333
63,5,Red,334
64,6,Red,338
65,7,Red,334
66,8,Red,331
67,9,Red,335
68,10,Red,333
69,11,Red,332
70,12,Red,338
71,13,Red,329
72,14,Red,331
73,15,Red,336
74,16,Red,333
75,17,Red,335
76,18,Red,333
77,19,Red,336
78,20,Red,336
79,21,Red,333
80,22,Red,332
81,23,Red,335
82,24,Red,332
83,25,Red,330
84,26,Red,335
85,27,Red,334
86,28,Red,332
87,29,Red,333
88,30,Red,329
89,31,Red,334
90,32,Red,332
91,33,Red,327
92,34,Red,332
93,35,Red,336
94,36,Red,335
95,37,Red,326
96,38,Red,334
97,39,Red,325
98,40,Red,336
99,41,Red,338
100,42,Red,330
101,43,Red,329
102,44,Red,330
103,45,Red,329
104,46,Red,336
105,47,Red,334
106,48,Red,337
107,49,Red,329
108,50,Red,330
109,51,Red,330
110,52,Red,336
111,53,Red,334
112,54,Red,337
113,55,Red,332
114,56,Red,331
115,57,Red,332
116,58,Red,340
117,1,Green,203
118,2,Green,202
119,3,Green,200
120,4,Green,201
121,5,Green,200
122,6,Green,195
123,7,Green,201
124,8,Green,205
125,9,Green,198
126,10,Green,195
127,11,Green,199
128,12,Green,200
129,13,Green,198
130,14,Green,201
131,15,Green,203
132,16,Green,200
133,17,Green,199
134,18,Green,198
135,19,Green,200
136,20,Green,203
137,21,Green,198
138,22,Green,201
139,23,Green,199
140,24,Green,202
141,25,Green,198
142,26,Green,204
143,27,Green,199
144,28,Green,202
145,29,Green,199
146,30,Green,200
147,31,Green,200
148,32,Green,196
149,33,Green,200
150,34,Green,198
151,35,Green,197
152,36,Green,200
153,37,Green,197
154,38,Green,203
