Order,Color,Soil_2.csv,Soil_3.csv,Soil_1.csv,Soil_0.csv,Empty_0.csv,Empty_1.csv,Urea_5.csv,Urea_4.csv,Urea_3.csv,Urea_2.csv,Urea_1.csv,Water_1.csv,Water_0.csv
1,Black,4.333333333333333,4.0,4.666666666666667,4.833333333333333,7.0,5.0,8.0,7.0,8.333333333333334,7.0,5.333333333333333,6.333333333333333,5.333333333333333
1,Blue,123.33333333333333,133.66666666666666,153.0,148.0,277.5,277.0,312.0,315.0,321.3333333333333,324.0,286.3333333333333,291.0,290.6666666666667
1,Green,66.33333333333333,74.66666666666667,92.16666666666667,84.83333333333333,202.0,199.66666666666666,225.5,229.0,229.66666666666666,224.66666666666666,215.0,216.66666666666666,219.0
1,Red,107.33333333333333,124.66666666666667,156.0,149.42857142857142,330.5,331.3333333333333,338.0,350.0,350.6666666666667,348.6666666666667,351.3333333333333,353.3333333333333,357.3333333333333
1,White,289.5,321.5,387.85714285714283,368.85714285714283,769.5,767.75,820.0,845.0,843.75,846.5,810.0,810.5,814.25
2,Black,4.333333333333333,5.0,4.5,4.5,5.0,6.0,9.0,7.0,7.0,6.666666666666667,6.333333333333333,7.333333333333333,6.333333333333333
2,Blue,123.0,133.0,154.16666666666666,148.16666666666666,272.0,277.0,313.0,316.0,317.6666666666667,322.3333333333333,291.0,289.0,288.0
2,Green,68.0,73.0,91.66666666666667,86.66666666666667,201.5,199.33333333333334,226.5,226.5,228.0,224.33333333333334,216.33333333333334,217.66666666666666,218.0
2,Red,111.66666666666667,123.0,155.85714285714286,146.57142857142858,330.5,332.0,340.5,353.5,351.3333333333333,350.6666666666667,353.0,349.3333333333333,355.3333333333333
2,White,289.0,324.0,388.2857142857143,368.7142857142857,763.0,769.0,827.0,843.5,841.25,843.5,806.25,807.5,815.0
3,Black,4.333333333333333,3.6666666666666665,4.666666666666667,4.833333333333333,7.0,5.666666666666667,8.0,7.0,7.0,6.666666666666667,5.333333333333333,7.0,6.0
3,Blue,124.66666666666667,135.66666666666666,154.66666666666666,147.33333333333334,278.5,276.3333333333333,314.5,314.5,315.6666666666667,323.3333333333333,286.0,287.6666666666667,290.3333333333333
3,Green,67.0,72.66666666666667,92.33333333333333,84.83333333333333,199.5,198.66666666666666,223.0,224.0,228.0,225.66666666666666,218.33333333333334,217.66666666666666,220.0
3,Red,109.66666666666667,122.33333333333333,156.0,146.14285714285714,337.0,334.3333333333333,337.0,348.0,349.6666666666667,354.3333333333333,349.0,355.3333333333333,355.0
3,White,289.5,321.0,387.85714285714283,367.42857142857144,765.0,769.0,828.0,843.5,842.5,847.0,811.5,812.75,814.5
4,Black,4.333333333333333,3.6666666666666665,4.833333333333333,5.166666666666667,6.0,5.333333333333333,8.0,6.0,7.0,7.333333333333333,5.666666666666667,5.666666666666667,6.333333333333333
4,Blue,123.0,134.0,152.33333333333334,148.33333333333334,279.0,275.0,312.5,314.5,317.3333333333333,320.3333333333333,288.3333333333333,288.6666666666667,290.6666666666667
4,Green,65.33333333333333,74.33333333333333,92.5,86.5,200.0,199.0,227.0,227.5,230.66666666666666,225.66666666666666,216.0,216.66666666666666,217.33333333333334
4,Red,110.33333333333333,123.66666666666667,156.66666666666666,147.33333333333334,333.0,335.0,338.5,355.0,347.6666666666667,349.6666666666667,350.3333333333333,350.0,355.3333333333333
4,White,290.5,319.0,388.2857142857143,368.42857142857144,768.0,768.25,824.5,849.5,841.25,843.0,811.0,811.25,815.25
