No.,Order,Color,Intensity
1,1,White,270
2,2,White,267
3,3,White,272
4,4,White,269
5,5,White,268
6,6,White,265
7,7,White,267
8,8,White,269
9,9,White,268
10,10,White,268
11,11,White,266
12,12,White,263
13,13,White,267
14,14,White,267
15,15,White,267
16,16,White,267
17,17,White,263
18,18,White,267
19,19,White,269
20,20,White,266
21,21,White,269
22,22,White,271
23,23,White,265
24,24,White,267
25,25,White,265
26,26,White,265
27,27,White,259
28,28,White,267
29,29,White,267
30,1,Red,99
31,2,Red,106
32,3,Red,101
33,4,Red,106
34,5,Red,102
35,6,Red,102
36,7,Red,107
37,8,Red,105
38,9,Red,105
39,10,Red,104
40,11,Red,103
41,12,Red,104
42,13,Red,101
43,14,Red,105
44,15,Red,109
45,16,Red,104
46,17,Red,101
47,18,Red,107
48,19,Red,104
49,20,Red,108
50,21,Red,102
51,22,Red,109
52,23,Red,105
53,24,Red,105
54,25,Red,108
55,26,Red,106
56,27,Red,104
57,28,Red,105
58,29,Red,106
59,1,Green,63
60,2,Green,66
61,3,Green,63
62,4,Green,65
63,5,Green,62
64,6,Green,65
65,7,Green,68
66,8,Green,62
67,9,Green,61
68,10,Green,67
69,11,Green,63
70,12,Green,63
71,13,Green,64
72,14,Green,66
73,15,Green,65
74,16,Green,67
75,17,Green,67
76,18,Green,68
77,19,Green,65
78,20,Green,67
79,21,Green,67
80,22,Green,66
81,23,Green,66
82,24,Green,63
83,25,Green,66
84,26,Green,68
85,27,Green,68
86,28,Green,64
87,29,Green,67
88,1,Blue,124
89,2,Blue,119
90,3,Blue,123
91,4,Blue,121
92,5,Blue,117
93,6,Blue,119
94,7,Blue,120
95,8,Blue,121
96,9,Blue,121
97,10,Blue,118
98,11,Blue,121
99,12,Blue,119
100,13,Blue,123
101,14,Blue,124
102,15,Blue,123
103,16,Blue,120
104,17,Blue,119
105,18,Blue,122
106,19,Blue,119
107,20,Blue,121
108,21,Blue,118
109,22,Blue,119
110,23,Blue,121
111,24,Blue,119
112,25,Blue,119
113,26,Blue,125
114,27,Blue,120
115,28,Blue,121
116,29,Blue,121
117,1,Black,4
118,2,Black,4
119,3,Black,4
120,4,Black,4
121,5,Black,5
122,6,Black,5
123,7,Black,5
124,8,Black,5
125,9,Black,4
126,10,Black,4
127,11,Black,5
128,12,Black,5
129,13,Black,4
130,14,Black,4
131,15,Black,5
132,16,Black,4
133,17,Black,5
134,18,Black,6
135,19,Black,4
136,20,Black,4
137,21,Black,5
138,22,Black,4
139,23,Black,5
140,24,Black,6
141,25,Black,5
142,26,Black,4
143,27,Black,5
144,28,Black,4
145,29,Black,4
175,1,White,291
176,2,White,288
177,3,White,288
178,4,White,290
179,5,White,289
180,6,White,285
181,7,White,286
