No.,Order,Color,Intensity
1,1,White,815
2,2,White,817
3,3,White,816
4,4,White,811
5,5,White,816
6,6,White,807
7,7,White,811
8,8,White,813
9,9,White,813
10,10,White,818
11,11,White,816
12,12,White,810
13,13,White,806
14,14,White,812
15,15,White,812
16,16,White,818
17,17,White,816
18,18,White,820
19,19,White,813
20,20,White,814
21,21,White,820
22,22,White,807
23,23,White,815
24,24,White,817
25,25,White,811
26,26,White,813
27,27,White,818
28,28,White,815
29,29,White,815
30,1,Red,353
31,2,Red,358
32,3,Red,355
33,4,Red,353
34,5,Red,355
35,6,Red,357
36,7,Red,353
37,8,Red,352
38,9,Red,355
39,10,Red,353
40,11,Red,354
41,12,Red,350
42,13,Red,352
43,14,Red,349
44,15,Red,351
45,16,Red,353
46,17,Red,354
47,18,Red,359
48,19,Red,352
49,20,Red,350
50,21,Red,356
51,22,Red,353
52,23,Red,358
53,24,Red,351
54,25,Red,353
55,26,Red,353
56,27,Red,359
57,28,Red,359
58,29,Red,352
59,1,Green,221
60,2,Green,217
61,3,Green,219
62,4,Green,214
63,5,Green,219
64,6,Green,217
65,7,Green,215
66,8,Green,215
67,9,Green,220
68,10,Green,217
69,11,Green,216
70,12,Green,215
71,13,Green,219
72,14,Green,218
73,15,Green,215
74,16,Green,220
75,17,Green,219
76,18,Green,221
77,19,Green,220
78,20,Green,215
79,21,Green,216
80,22,Green,212
81,23,Green,218
82,24,Green,217
83,25,Green,222
84,26,Green,215
85,27,Green,220
86,28,Green,222
87,29,Green,219
88,1,Blue,291
89,2,Blue,283
90,3,Blue,293
91,4,Blue,291
92,5,Blue,283
93,6,Blue,289
94,7,Blue,286
95,8,Blue,287
96,9,Blue,288
97,10,Blue,293
98,11,Blue,287
99,12,Blue,288
100,13,Blue,289
101,14,Blue,288
102,15,Blue,288
103,16,Blue,290
104,17,Blue,286
105,18,Blue,291
106,19,Blue,288
107,20,Blue,289
108,21,Blue,292
109,22,Blue,293
110,23,Blue,286
111,24,Blue,287
112,25,Blue,282
113,26,Blue,285
114,27,Blue,288
115,28,Blue,290
116,29,Blue,288
117,1,Black,5
118,2,Black,6
119,3,Black,5
120,4,Black,6
121,5,Black,6
122,6,Black,5
123,7,Black,6
124,8,Black,6
125,9,Black,5
126,10,Black,7
127,11,Black,6
128,12,Black,5
129,13,Black,5
130,14,Black,7
131,15,Black,7
132,16,Black,6
133,17,Black,6
134,18,Black,5
135,19,Black,7
136,20,Black,6
137,21,Black,6
138,22,Black,5
139,23,Black,7
140,24,Black,5
141,25,Black,7
142,26,Black,5
143,27,Black,6
144,28,Black,6
145,29,Black,5
176,1,White,808
177,2,White,819
178,3,White,812
179,4,White,819
180,5,White,815
181,6,White,814
182,7,White,809
183,8,White,819
184,9,White,813
185,10,White,818
186,11,White,814
187,12,White,817
188,13,White,818
189,14,White,821
190,15,White,819
191,16,White,812
192,17,White,818
193,18,White,815
194,19,White,813
195,20,White,812
196,21,White,821
197,22,White,810
198,23,White,816
199,24,White,813
200,25,White,813
201,26,White,820
202,27,White,814
203,28,White,811
204,29,White,817
205,1,Red,359
206,2,Red,354
207,3,Red,350
208,4,Red,356
209,5,Red,351
210,6,Red,359
211,7,Red,357
212,8,Red,355
213,9,Red,357
214,10,Red,350
215,11,Red,354
216,12,Red,352
217,13,Red,358
218,14,Red,352
219,15,Red,360
220,16,Red,353
221,17,Red,357
222,18,Red,358
223,19,Red,356
224,20,Red,356
225,21,Red,357
226,22,Red,349
227,23,Red,360
228,24,Red,355
229,25,Red,358
230,26,Red,355
231,27,Red,351
232,28,Red,356
233,29,Red,354
234,1,Green,217
235,2,Green,220
236,3,Green,219
237,4,Green,218
238,5,Green,218
239,6,Green,216
240,7,Green,217
241,8,Green,215
242,9,Green,220
243,10,Green,214
244,11,Green,215
245,12,Green,219
246,13,Green,220
247,14,Green,213
248,15,Green,218
249,16,Green,217
250,17,Green,222
251,18,Green,218
252,19,Green,216
253,20,Green,216
254,21,Green,214
255,22,Green,216
256,23,Green,223
257,24,Green,217
258,25,Green,217
259,26,Green,217
260,27,Green,218
261,28,Green,217
262,29,Green,223
263,1,Blue,287
264,2,Blue,288
265,3,Blue,293
266,4,Blue,292
267,5,Blue,292
268,6,Blue,286
269,7,Blue,289
270,8,Blue,289
271,9,Blue,287
272,10,Blue,286
273,11,Blue,288
274,12,Blue,293
275,13,Blue,290
276,14,Blue,293
277,15,Blue,283
278,16,Blue,289
279,17,Blue,291
280,18,Blue,290
281,19,Blue,283
282,20,Blue,288
283,21,Blue,291
284,22,Blue,290
285,23,Blue,287
286,24,Blue,289
287,25,Blue,293
288,26,Blue,286
289,27,Blue,288
290,28,Blue,288
291,29,Blue,285
292,1,Black,6
293,2,Black,6
294,3,Black,7
295,4,Black,7
296,5,Black,5
297,6,Black,7
298,7,Black,8
299,8,Black,5
300,9,Black,7
301,10,Black,6
302,11,Black,7
303,12,Black,6
304,13,Black,6
305,14,Black,7
306,15,Black,5
307,16,Black,6
308,17,Black,6
309,18,Black,6
310,19,Black,6
311,20,Black,6
312,21,Black,6
313,22,Black,6
314,23,Black,5
315,24,Black,6
316,25,Black,6
317,26,Black,6
318,27,Black,5
319,28,Black,6
320,29,Black,8
350,1,White,819
351,2,White,814
352,3,White,814
353,4,White,818
354,5,White,816
355,6,White,810
356,7,White,820
357,8,White,818
358,9,White,817
359,10,White,817
360,11,White,815
361,12,White,819
362,13,White,808
363,14,White,818
364,15,White,819
365,16,White,818
366,17,White,820
367,18,White,808
368,19,White,817
369,20,White,813
370,21,White,821
371,22,White,813
372,23,White,821
373,24,White,821
374,25,White,815
375,26,White,817
376,27,White,820
377,28,White,814
378,29,White,817
379,1,Red,360
380,2,Red,354
381,3,Red,360
382,4,Red,357
383,5,Red,354
384,6,Red,359
385,7,Red,355
386,8,Red,354
387,9,Red,356
388,10,Red,351
389,11,Red,355
390,12,Red,357
391,13,Red,354
392,14,Red,357
393,15,Red,356
394,16,Red,355
395,17,Red,357
396,18,Red,357
397,19,Red,355
398,20,Red,357
399,21,Red,358
400,22,Red,350
401,23,Red,357
402,24,Red,351
403,25,Red,359
404,26,Red,357
405,27,Red,359
406,28,Red,354
407,29,Red,354
408,30,Red,357
409,1,Green,219
410,2,Green,217
411,3,Green,222
412,4,Green,220
413,5,Green,218
414,6,Green,215
415,7,Green,216
416,8,Green,215
417,9,Green,218
418,10,Green,216
419,11,Green,218
420,12,Green,218
421,13,Green,214
422,14,Green,222
423,15,Green,219
424,16,Green,220
425,17,Green,217
426,18,Green,219
427,19,Green,222
428,20,Green,217
429,21,Green,216
430,22,Green,215
431,23,Green,218
432,24,Green,217
433,25,Green,215
434,26,Green,215
435,27,Green,217
436,28,Green,223
437,29,Green,221
438,1,Blue,294
439,2,Blue,293
440,3,Blue,285
441,4,Blue,289
442,5,Blue,292
443,6,Blue,288
444,7,Blue,294
445,8,Blue,293
446,9,Blue,289
447,10,Blue,286
448,11,Blue,291
449,12,Blue,291
450,13,Blue,295
451,14,Blue,291
452,15,Blue,286
453,16,Blue,295
454,17,Blue,290
455,18,Blue,290
456,19,Blue,285
457,20,Blue,295
458,21,Blue,292
459,22,Blue,290
460,23,Blue,287
461,24,Blue,289
462,25,Blue,292
