N1000_Empty_NH_4_Cl concentrate 1,000 mg/L rum time 30s/color 3 loops
1,White_1,6
2,White_2,679
3,White_3,683
4,White_4,675
5,White_5,681
6,White_6,680
7,White_7,683
8,White_8,678
9,White_9,681
10,White_10,675
11,White_11,672
12,White_12,679
13,White_13,684
14,White_14,673
15,White_15,675
16,White_16,680
17,White_17,682
18,White_18,678
19,White_19,676
20,White_20,676
21,White_21,682
22,White_22,673
23,White_23,679
24,White_24,681
25,White_25,681
26,White_26,677
27,White_27,679
28,White_28,673
29,White_29,681
30,Red_1,680
31,Red_2,277
32,Red_3,284
33,Red_4,278
34,Red_5,277
35,Red_6,278
36,Red_7,276
37,Red_8,280
38,Red_9,282
39,Red_10,275
40,Red_11,280
41,Red_12,277
42,Red_13,279
43,Red_14,276
44,Red_15,277
45,Red_16,277
46,Red_17,276
47,Red_18,276
48,Red_19,280
49,Red_20,278
50,Red_21,279
51,Red_22,274
52,Red_23,275
53,Red_24,277
54,Red_25,275
55,Red_26,280
56,Red_27,275
57,Red_28,276
58,Red_29,270
59,Green_1,276
60,Green_2,153
61,Green_3,159
62,Green_4,160
63,Green_5,157
64,Green_6,159
65,Green_7,154
66,Green_8,161
67,Green_9,157
68,Green_10,153
69,Green_11,158
70,Green_12,159
71,Green_13,154
72,Green_14,156
73,Green_15,162
74,Green_16,153
75,Green_17,157
76,Green_18,161
77,Green_19,158
78,Green_20,155
79,Green_21,153
80,Green_22,160
81,Green_23,154
82,Green_24,155
83,Green_25,159
84,Green_26,157
85,Green_27,155
86,Green_28,155
87,Green_29,161
88,Blue_1,161
89,Blue_2,273
90,Blue_3,282
91,Blue_4,276
92,Blue_5,271
93,Blue_6,273
94,Blue_7,269
95,Blue_8,279
96,Blue_9,274
97,Blue_10,277
98,Blue_11,280
99,Blue_12,274
100,Blue_13,272
101,Blue_14,279
102,Blue_15,275
103,Blue_16,277
104,Blue_17,274
105,Blue_18,273
106,Blue_19,282
107,Blue_20,269
108,Blue_21,278
109,Blue_22,272
110,Blue_23,276
111,Blue_24,272
112,Blue_25,273
113,Blue_26,275
114,Blue_27,275
115,Blue_28,277
116,Blue_29,271
117,Black_1,275
118,Black_2,6
119,Black_3,5
120,Black_4,8
121,Black_5,7
122,Black_6,6
123,Black_7,5
124,Black_8,7
125,Black_9,6
126,Black_10,7
127,Black_11,6
128,Black_12,8
129,Black_13,6
130,Black_14,6
131,Black_15,7
132,Black_16,5
133,Black_17,5
134,Black_18,7
135,Black_19,6
136,Black_20,5
137,Black_21,8
138,Black_22,5
139,Black_23,7
140,Black_24,6
141,Black_25,8
142,Black_26,5
143,Black_27,6
144,Black_28,6
145,Black_29,6
146,Black_0,7
147,Black_0,7
148,Black_0,5
149,Black_0,8
150,Black_0,7
151,Black_0,7
152,Black_0,5
153,Black_0,8
154,Black_0,7
155,Black_0,6
156,Black_0,7
157,Black_0,6
158,Black_0,6
159,Black_0,6
160,Black_0,8
161,Black_0,7
162,Black_0,6
163,Black_0,6
164,Black_0,8
165,Black_0,6
166,Black_0,6
167,Black_0,8
168,Black_0,8
169,Black_0,6
170,Black_0,7
171,Black_0,7
172,Black_0,6
173,Black_0,7
174,Black_0,6
175,White_1,6
176,White_2,674
177,White_3,668
178,White_4,671
179,White_5,679
180,White_6,677
181,White_7,677
182,White_8,678
183,White_9,677
184,White_10,665
185,White_11,665
186,White_12,670
187,White_13,674
188,White_14,675
189,White_15,679
190,White_16,673
191,White_17,678
192,White_18,680
193,White_19,674
194,White_20,675
195,White_21,664
196,White_22,672
197,White_23,671
198,White_24,674
199,White_25,677
200,White_26,674
201,White_27,674
202,White_28,666
203,White_29,668
204,Red_1,674
205,Red_2,276
206,Red_3,274
207,Red_4,273
208,Red_5,276
209,Red_6,278
210,Red_7,279
211,Red_8,279
212,Red_9,280
213,Red_10,273
214,Red_11,276
215,Red_12,280
216,Red_13,275
217,Red_14,274
218,Red_15,275
219,Red_16,276
220,Red_17,279
221,Red_18,274
222,Red_19,276
223,Red_20,273
224,Red_21,273
225,Red_22,281
226,Red_23,268
227,Red_24,276
228,Red_25,277
229,Red_26,273
230,Red_27,274
231,Red_28,274
232,Red_29,278
233,Green_1,276
234,Green_2,152
235,Green_3,158
236,Green_4,152
237,Green_5,154
238,Green_6,154
239,Green_7,156
240,Green_8,155
241,Green_9,161
242,Green_10,158
243,Green_11,156
244,Green_12,157
245,Green_13,155
246,Green_14,155
247,Green_15,155
248,Green_16,154
249,Green_17,153
250,Green_18,155
251,Green_19,156
252,Green_20,156
253,Green_21,160
254,Green_22,153
255,Green_23,157
256,Green_24,154
257,Green_25,160
258,Green_26,155
259,Green_27,161
260,Green_28,157
261,Green_29,161
262,Blue_1,155
263,Blue_2,268
264,Blue_3,273
265,Blue_4,270
266,Blue_5,272
267,Blue_6,272
268,Blue_7,276
269,Blue_8,276
270,Blue_9,277
271,Blue_10,271
272,Blue_11,273
273,Blue_12,276
274,Blue_13,273
275,Blue_14,272
276,Blue_15,275
277,Blue_16,272
278,Blue_17,278
279,Blue_18,274
280,Blue_19,267
281,Blue_20,271
282,Blue_21,275
283,Blue_22,272
284,Blue_23,270
285,Blue_24,276
286,Blue_25,276
287,Blue_26,275
288,Blue_27,269
289,Blue_28,274
290,Blue_29,272
291,Black_1,278
292,Black_2,6
293,Black_3,5
294,Black_4,8
295,Black_5,5
296,Black_6,6
297,Black_7,6
298,Black_8,6
299,Black_9,6
300,Black_10,7
301,Black_11,5
302,Black_12,8
303,Black_13,6
304,Black_14,7
305,Black_15,6
306,Black_16,8
307,Black_17,6
308,Black_18,7
309,Black_19,8
310,Black_20,6
311,Black_21,6
312,Black_22,8
313,Black_23,7
314,Black_24,5
315,Black_25,6
316,Black_26,8
317,Black_27,6
318,Black_28,5
319,Black_29,8
320,Black_0,5
321,Black_0,6
322,Black_0,7
323,Black_0,7
324,Black_0,5
325,Black_0,8
326,Black_0,6
327,Black_0,6
328,Black_0,7
329,Black_0,7
330,Black_0,6
331,Black_0,7
332,Black_0,7
333,Black_0,6
334,Black_0,5
335,Black_0,7
336,Black_0,7
337,Black_0,6
338,Black_0,7
339,Black_0,5
340,Black_0,6
341,Black_0,7
342,Black_0,5
343,Black_0,6
344,Black_0,6
345,Black_0,6
346,Black_0,5
347,Black_0,6
348,Black_0,7
349,White_1,5
350,White_2,669
351,White_3,677
352,White_4,670
353,White_5,659
354,White_6,665
355,White_7,666
356,White_8,666
357,White_9,671
358,White_10,674
359,White_11,664
360,White_12,668
361,White_13,665
362,White_14,675
363,White_15,674
364,White_16,664
365,White_17,663
366,White_18,669
367,White_19,674
368,White_20,675
369,White_21,669
370,White_22,661
371,White_23,664
372,White_24,665
373,White_25,667
374,White_26,669
375,White_27,677
376,White_28,669
377,White_29,669
378,Red_1,669
379,Red_2,273
380,Red_3,277
381,Red_4,274
382,Red_5,278
383,Red_6,272
384,Red_7,271
385,Red_8,278
386,Red_9,268
387,Red_10,274
388,Red_11,275
389,Red_12,272
390,Red_13,273
391,Red_14,273
392,Red_15,271
393,Red_16,277
394,Red_17,270
395,Red_18,277
396,Red_19,277
397,Red_20,276
398,Red_21,274
399,Red_22,268
400,Red_23,270
401,Red_24,274
402,Red_25,276
403,Red_26,272
404,Red_27,272
405,Red_28,273
406,Red_29,277
407,Green_1,276
408,Green_2,153
409,Green_3,160
410,Green_4,154
411,Green_5,153
412,Green_6,156
413,Green_7,154
414,Green_8,158
415,Green_9,153
416,Green_10,156
417,Green_11,156
418,Green_12,151
419,Green_13,152
420,Green_14,160
421,Green_15,158
422,Green_16,158
423,Green_17,153
424,Green_18,154
425,Green_19,153
426,Green_20,150
427,Green_21,155
428,Green_22,154
429,Green_23,155
430,Green_24,155
431,Green_25,154
432,Green_26,154
433,Green_27,160
434,Green_28,155
435,Green_29,157
436,Blue_1,153
437,Blue_2,270
438,Blue_3,273
439,Blue_4,275
440,Blue_5,269
441,Blue_6,274
442,Blue_7,278
443,Blue_8,276
444,Blue_9,269
445,Blue_10,271
446,Blue_11,272
447,Blue_12,275
448,Blue_13,273
449,Blue_14,273
450,Blue_15,271
451,Blue_16,271
452,Blue_17,273
453,Blue_18,277
454,Blue_19,273
455,Blue_20,272
456,Blue_21,272
457,Blue_22,272
458,Blue_23,276
459,Blue_24,269
460,Blue_25,271
461,Blue_26,272
462,Blue_27,271
463,Blue_28,271
