N10_Empty_NH_4_Cl concentrate 10 mg/L rum time 30s/color 3 loops:
09/09/2023,13:36:15
1,White_1,5
2,White_2,673
3,White_3,670
4,White_4,678
5,White_5,677
6,White_6,678
7,White_7,680
8,White_8,663
9,White_9,672
10,White_10,672
11,White_11,674
12,White_12,679
13,White_13,666
14,White_14,678
15,White_15,673
16,White_16,675
17,White_17,673
18,White_18,670
19,White_19,679
20,White_20,674
21,White_21,672
22,White_22,668
23,White_23,674
24,White_24,675
25,White_25,673
26,White_26,676
27,White_27,675
28,White_28,667
29,White_29,672
30,Red_1,677
31,Red_2,267
32,Red_3,270
33,Red_4,265
34,Red_5,263
35,Red_6,263
36,Red_7,266
37,Red_8,267
38,Red_9,262
39,Red_10,262
40,Red_11,263
41,Red_12,263
42,Red_13,271
43,Red_14,267
44,Red_15,267
45,Red_16,262
46,Red_17,261
47,Red_18,264
48,Red_19,267
49,Red_20,262
50,Red_21,266
51,Red_22,265
52,Red_23,266
53,Red_24,261
54,Red_25,270
55,Red_26,264
56,Red_27,263
57,Red_28,265
58,Green_1,265
59,Green_2,159
60,Green_3,158
61,Green_4,158
62,Green_5,156
63,Green_6,155
64,Green_7,159
65,Green_8,157
66,Green_9,157
67,Green_10,156
68,Green_11,161
69,Green_12,162
70,Green_13,158
71,Green_14,155
72,Green_15,154
73,Green_16,159
74,Green_17,156
75,Green_18,156
76,Green_19,161
77,Green_20,157
78,Green_21,161
79,Green_22,154
80,Green_23,160
81,Green_24,155
82,Green_25,159
83,Green_26,159
84,Green_27,154
85,Green_28,154
86,Green_29,156
87,Blue_1,161
88,Blue_2,286
89,Blue_3,286
90,Blue_4,288
91,Blue_5,288
92,Blue_6,284
93,Blue_7,280
94,Blue_8,282
95,Blue_9,284
96,Blue_10,285
97,Blue_11,287
98,Blue_12,285
99,Blue_13,287
100,Blue_14,284
101,Blue_15,289
102,Blue_16,278
103,Blue_17,282
104,Blue_18,283
105,Blue_19,283
106,Blue_20,283
107,Blue_21,290
108,Blue_22,283
109,Blue_23,291
110,Blue_24,289
111,Blue_25,283
112,Blue_26,285
113,Blue_27,288
114,Blue_28,283
115,Blue_29,290
116,Black_1,281
117,Black_2,6
118,Black_3,5
119,Black_4,6
120,Black_5,7
121,Black_6,8
122,Black_7,5
123,Black_8,6
124,Black_9,5
125,Black_10,6
126,Black_11,6
127,Black_12,7
128,Black_13,5
129,Black_14,7
130,Black_15,6
131,Black_16,5
132,Black_17,7
133,Black_18,8
134,Black_19,5
135,Black_20,7
136,Black_21,7
137,Black_22,5
138,Black_23,7
139,Black_24,7
140,Black_25,7
141,Black_26,6
142,Black_27,8
143,Black_28,6
144,Black_29,5
145,Black_0,7
146,Black_0,7
147,Black_0,7
148,Black_0,6
149,Black_0,7
150,Black_0,6
151,Black_0,6
152,Black_0,6
153,Black_0,7
154,Black_0,6
155,Black_0,6
156,Black_0,7
157,Black_0,8
158,Black_0,5
159,Black_0,7
160,Black_0,6
161,Black_0,5
162,Black_0,6
163,Black_0,6
164,Black_0,7
165,Black_0,6
166,Black_0,6
167,Black_0,8
168,Black_0,6
169,Black_0,6
170,Black_0,5
171,Black_0,6
172,Black_0,7
173,White_1,5
174,White_2,680
175,White_3,670
176,White_4,677
177,White_5,675
178,White_6,673
179,White_7,677
180,White_8,677
181,White_9,668
182,White_10,678
183,White_11,674
184,White_12,677
185,White_13,672
186,White_14,679
187,White_15,671
188,White_16,674
189,White_17,665
190,White_18,673
191,White_19,672
192,White_20,676
193,White_21,679
194,White_22,674
195,White_23,671
196,White_24,674
197,White_25,674
198,White_26,675
199,White_27,661
200,White_28,679
201,White_29,678
202,Red_1,674
203,Red_2,264
204,Red_3,267
205,Red_4,270
206,Red_5,266
207,Red_6,267
208,Red_7,262
209,Red_8,265
210,Red_9,264
211,Red_10,265
212,Red_11,271
213,Red_12,263
214,Red_13,261
215,Red_14,269
216,Red_15,264
217,Red_16,265
218,Red_17,265
219,Red_18,268
220,Red_19,262
221,Red_20,263
222,Red_21,268
223,Red_22,263
224,Red_23,268
225,Red_24,259
226,Red_25,267
227,Red_26,265
228,Red_27,269
229,Red_28,268
230,Red_29,267
231,Green_1,266
232,Green_2,157
233,Green_3,157
234,Green_4,161
235,Green_5,157
236,Green_6,156
237,Green_7,157
238,Green_8,156
239,Green_9,155
240,Green_10,158
241,Green_11,153
242,Green_12,156
243,Green_13,160
244,Green_14,160
245,Green_15,154
246,Green_16,162
247,Green_17,155
248,Green_18,156
249,Green_19,159
250,Green_20,157
251,Green_21,157
252,Green_22,159
253,Green_23,158
254,Green_24,162
255,Green_25,160
256,Green_26,155
257,Green_27,159
258,Green_28,161
259,Green_29,159
260,Blue_1,159
261,Blue_2,288
262,Blue_3,284
263,Blue_4,284
264,Blue_5,287
265,Blue_6,287
266,Blue_7,285
267,Blue_8,280
268,Blue_9,287
269,Blue_10,282
270,Blue_11,283
271,Blue_12,286
272,Blue_13,285
273,Blue_14,284
274,Blue_15,289
275,Blue_16,285
276,Blue_17,287
277,Blue_18,284
278,Blue_19,287
279,Blue_20,286
280,Blue_21,287
281,Blue_22,285
282,Blue_23,282
283,Blue_24,284
284,Blue_25,284
285,Blue_26,290
