N1000_NH_4_Cl concentrate 1,000 mg/L rum time 15s/color  6 loops
1,White_1,5
2,White_2,149
3,White_3,171
4,White_4,173
5,White_5,173
6,White_6,183
7,White_7,200
8,White_8,208
9,White_9,209
10,White_10,214
11,White_11,222
12,White_12,224
13,White_13,223
14,White_14,221
15,Red_1,223
16,Red_2,93
17,Red_3,90
18,Red_4,95
19,Red_5,99
20,Red_6,98
21,Red_7,100
22,Red_8,103
23,Red_9,108
24,Red_10,106
25,Red_11,106
26,Red_12,105
27,Red_13,104
28,Red_14,102
29,Red_15,105
30,Green_1,99
31,Green_2,61
32,Green_3,56
33,Green_4,53
34,Green_5,55
35,Green_6,58
36,Green_7,60
37,Green_8,57
38,Green_9,58
39,Green_10,60
40,Green_11,58
41,Green_12,56
42,Green_13,60
43,Green_14,57
44,Blue_1,59
45,Blue_2,109
46,Blue_3,108
47,Blue_4,105
48,Blue_5,107
49,Blue_6,107
50,Blue_7,106
51,Blue_8,107
52,Blue_9,111
53,Blue_10,105
54,Blue_11,106
55,Blue_12,103
56,Blue_13,104
57,Blue_14,106
58,Blue_15,109
59,Black_1,108
60,Black_2,5
61,Black_3,5
62,Black_4,4
63,Black_5,5
64,Black_6,5
65,Black_7,5
66,Black_8,4
67,Black_9,5
68,Black_10,4
69,Black_11,4
70,Black_12,6
71,Black_13,4
72,Black_14,5
73,Black_0,5
74,Black_0,4
75,Black_0,4
76,Black_0,5
77,Black_0,5
78,Black_0,4
79,Black_0,5
80,Black_0,5
81,Black_0,6
82,Black_0,4
83,Black_0,4
84,Black_0,5
85,Black_0,5
86,Black_0,4
87,Black_0,5
88,White_1,4
89,White_2,230
90,White_3,228
91,White_4,229
92,White_5,232
93,White_6,229
94,White_7,226
95,White_8,231
96,White_9,228
97,White_10,223
98,White_11,230
99,White_12,230
100,White_13,226
101,White_14,225
102,Red_1,225
103,Red_2,83
104,Red_3,84
105,Red_4,85
106,Red_5,87
107,Red_6,88
108,Red_7,85
109,Red_8,83
110,Red_9,84
111,Red_10,87
112,Red_11,84
113,Red_12,87
114,Red_13,83
115,Red_14,90
116,Red_15,85
117,Green_1,82
118,Green_2,52
119,Green_3,51
120,Green_4,50
121,Green_5,50
122,Green_6,49
123,Green_7,49
124,Green_8,50
125,Green_9,51
126,Green_10,51
127,Green_11,50
128,Green_12,50
129,Green_13,51
130,Green_14,49
131,Blue_1,47
132,Blue_2,88
133,Blue_3,87
134,Blue_4,88
135,Blue_5,91
136,Blue_6,87
137,Blue_7,92
138,Blue_8,88
139,Blue_9,89
140,Blue_10,88
141,Blue_11,94
142,Blue_12,93
143,Blue_13,88
144,Blue_14,87
145,Blue_15,86
146,Black_1,89
147,Black_2,5
148,Black_3,4
149,Black_4,5
150,Black_5,4
151,Black_6,4
152,Black_7,5
153,Black_8,5
154,Black_9,4
155,Black_10,5
156,Black_11,4
157,Black_12,4
158,Black_13,5
159,Black_14,5
160,Black_0,5
161,Black_0,5
162,Black_0,4
163,Black_0,4
164,Black_0,5
165,Black_0,5
166,Black_0,4
167,Black_0,6
168,Black_0,4
169,Black_0,4
170,Black_0,4
171,Black_0,5
172,Black_0,5
173,Black_0,5
174,Black_0,5
175,White_1,5
176,White_2,200
177,White_3,200
178,White_4,198
179,White_5,199
180,White_6,196
181,White_7,199
182,White_8,197
183,White_9,198
184,White_10,196
185,White_11,198
186,White_12,198
187,White_13,201
188,White_14,194
189,Red_1,202
190,Red_2,78
191,Red_3,80
192,Red_4,74
193,Red_5,80
194,Red_6,78
195,Red_7,75
196,Red_8,76
197,Red_9,73
198,Red_10,76
199,Red_11,75
200,Red_12,73
201,Red_13,76
202,Red_14,73
203,Red_15,77
204,Green_1,78
205,Green_2,46
206,Green_3,47
207,Green_4,46
208,Green_5,43
209,Green_6,43
210,Green_7,44
211,Green_8,47
212,Green_9,47
213,Green_10,46
214,Green_11,48
215,Green_12,48
216,Green_13,46
