N1000_NH_4_Cl concentrate 1,000 mg/L rum time 30s/color 3 loops
1,White_1,5
2,White_2,31
3,White_3,32
4,White_4,30
5,White_5,34
6,White_6,30
7,White_7,30
8,White_8,31
9,White_9,32
10,White_10,33
11,White_11,30
12,White_12,33
13,White_13,31
14,White_14,32
15,White_15,32
16,White_16,31
17,White_17,35
18,White_18,37
19,White_19,35
20,White_20,37
21,White_21,37
22,White_22,35
23,White_23,36
24,White_24,37
25,White_25,36
26,White_26,36
27,White_27,36
28,White_28,37
29,White_29,40
30,Red_1,39
31,Red_2,15
32,Red_3,13
33,Red_4,13
34,Red_5,16
35,Red_6,13
36,Red_7,14
37,Red_8,15
38,Red_9,15
39,Red_10,15
40,Red_11,14
41,Red_12,14
42,Red_13,15
43,Red_14,13
44,Red_15,13
45,Red_16,15
46,Red_17,15
47,Red_18,14
48,Red_19,15
49,Red_20,16
50,Red_21,14
51,Red_22,16
52,Red_23,15
53,Red_24,16
54,Red_25,14
55,Red_26,15
56,Red_27,17
57,Red_28,14
58,Red_29,14
59,Green_1,14
60,Green_2,12
61,Green_3,14
62,Green_4,14
63,Green_5,11
64,Green_6,11
65,Green_7,13
66,Green_8,11
67,Green_9,13
68,Green_10,11
69,Green_11,14
70,Green_12,12
71,Green_13,12
72,Green_14,13
73,Green_15,13
74,Green_16,14
75,Green_17,13
76,Green_18,12
77,Green_19,12
78,Green_20,13
79,Green_21,14
80,Green_22,13
81,Green_23,12
82,Green_24,13
83,Green_25,13
84,Green_26,14
85,Green_27,13
86,Green_28,13
87,Green_29,12
88,Blue_1,11
89,Blue_2,30
90,Blue_3,33
91,Blue_4,30
92,Blue_5,32
93,Blue_6,29
94,Blue_7,30
95,Blue_8,33
96,Blue_9,30
97,Blue_10,33
98,Blue_11,30
99,Blue_12,30
100,Blue_13,32
101,Blue_14,33
102,Blue_15,30
103,Blue_16,32
104,Blue_17,30
105,Blue_18,32
106,Blue_19,30
107,Blue_20,32
108,Blue_21,31
109,Blue_22,31
110,Blue_23,34
111,Blue_24,32
112,Blue_25,32
113,Blue_26,32
114,Blue_27,31
115,Blue_28,30
116,Blue_29,32
117,Black_1,32
118,Black_2,5
119,Black_3,4
120,Black_4,6
121,Black_5,5
122,Black_6,4
123,Black_7,4
124,Black_8,5
125,Black_9,5
126,Black_10,5
127,Black_11,5
128,Black_12,4
129,Black_13,4
130,Black_14,4
131,Black_15,5
132,Black_16,4
133,Black_17,5
134,Black_18,5
135,Black_19,5
136,Black_20,5
137,Black_21,4
138,Black_22,6
139,Black_23,5
140,Black_24,5
141,Black_25,6
142,Black_26,6
143,Black_27,5
144,Black_28,4
145,Black_29,6
146,Black_0,6
147,Black_0,6
148,Black_0,5
149,Black_0,6
150,Black_0,5
151,Black_0,5
152,Black_0,5
153,Black_0,4
154,Black_0,4
155,Black_0,5
156,Black_0,4
157,Black_0,5
158,Black_0,5
159,Black_0,5
160,Black_0,4
161,Black_0,4
162,Black_0,4
163,Black_0,5
164,Black_0,5
165,Black_0,5
166,Black_0,5
167,Black_0,5
168,Black_0,5
169,Black_0,5
170,Black_0,4
171,Black_0,6
172,Black_0,6
173,Black_0,5
174,Black_0,5
175,White_1,4
176,White_2,60
177,White_3,57
178,White_4,61
179,White_5,61
180,White_6,59
181,White_7,57
182,White_8,60
183,White_9,59
184,White_10,60
185,White_11,61
186,White_12,63
187,White_13,57
188,White_14,61
189,White_15,59
190,White_16,62
191,White_17,57
192,White_18,60
193,White_19,58
194,White_20,61
195,White_21,60
196,White_22,61
197,White_23,65
198,White_24,63
199,White_25,62
200,White_26,60
201,White_27,62
202,White_28,60
203,White_29,63
204,Red_1,59
205,Red_2,20
206,Red_3,18
207,Red_4,17
208,Red_5,19
209,Red_6,19
210,Red_7,18
211,Red_8,18
212,Red_9,20
213,Red_10,21
214,Red_11,20
215,Red_12,19
216,Red_13,21
217,Red_14,18
218,Red_15,21
219,Red_16,17
220,Red_17,17
221,Red_18,19
222,Red_19,18
223,Red_20,20
224,Red_21,17
225,Red_22,20
226,Red_23,20
227,Red_24,19
228,Red_25,18
229,Red_26,18
230,Red_27,21
231,Red_28,19
232,Red_29,19
233,Green_1,18
234,Green_2,15
235,Green_3,13
236,Green_4,13
237,Green_5,15
238,Green_6,13
239,Green_7,13
240,Green_8,15
241,Green_9,12
242,Green_10,15
243,Green_11,14
244,Green_12,15
245,Green_13,15
246,Green_14,16
247,Green_15,15
248,Green_16,16
249,Green_17,15
250,Green_18,15
251,Green_19,14
252,Green_20,14
253,Green_21,14
254,Green_22,13
255,Green_23,14
256,Green_24,13
257,Green_25,14
258,Green_26,15
259,Green_27,15
260,Green_28,15
261,Green_29,14
262,Blue_1,13
263,Blue_2,45
264,Blue_3,42
265,Blue_4,45
266,Blue_5,42
267,Blue_6,41
268,Blue_7,43
269,Blue_8,46
270,Blue_9,44
271,Blue_10,44
272,Blue_11,42
273,Blue_12,42
274,Blue_13,46
275,Blue_14,46
276,Blue_15,41
277,Blue_16,46
278,Blue_17,42
279,Blue_18,41
280,Blue_19,46
281,Blue_20,47
282,Blue_21,47
283,Blue_22,44
284,Blue_23,43
285,Blue_24,44
286,Blue_25,41
287,Blue_26,46
288,Blue_27,46
289,Blue_28,45
290,Blue_29,43
291,Black_1,44
292,Black_2,5
293,Black_3,6
294,Black_4,5
295,Black_5,5
296,Black_6,5
297,Black_7,5
298,Black_8,6
299,Black_9,6
300,Black_10,5
301,Black_11,4
302,Black_12,6
303,Black_13,5
304,Black_14,5
305,Black_15,6
306,Black_16,5
307,Black_17,5
308,Black_18,5
309,Black_19,6
310,Black_20,5
311,Black_21,5
312,Black_22,5
313,Black_23,6
314,Black_24,7
315,Black_25,6
316,Black_26,5
317,Black_27,6
318,Black_28,5
319,Black_29,5
320,Black_0,5
321,Black_0,6
322,Black_0,5
323,Black_0,5
324,Black_0,5
325,Black_0,6
326,Black_0,5
327,Black_0,5
328,Black_0,5
329,Black_0,6
330,Black_0,5
331,Black_0,6
332,Black_0,5
333,Black_0,5
334,Black_0,5
335,Black_0,4
336,Black_0,5
337,Black_0,5
338,Black_0,5
339,Black_0,4
340,Black_0,5
341,Black_0,4
342,Black_0,5
343,Black_0,5
344,Black_0,5
345,Black_0,5
346,Black_0,5
347,Black_0,6
348,Black_0,5
349,White_1,5
350,White_2,82
351,White_3,83
352,White_4,80
353,White_5,80
354,White_6,80
355,White_7,83
356,White_8,83
357,White_9,82
358,White_10,80
359,White_11,81
360,White_12,85
361,White_13,81
362,White_14,84
363,White_15,85
364,White_16,83
365,White_17,85
366,White_18,80
367,White_19,83
368,White_20,83
369,White_21,84
370,White_22,81
371,White_23,83
372,White_24,85
373,White_25,83
374,White_26,80
375,White_27,85
376,White_28,81
377,White_29,83
378,Red_1,84
379,Red_2,27
380,Red_3,22
381,Red_4,26
382,Red_5,23
383,Red_6,27
384,Red_7,27
385,Red_8,23
386,Red_9,24
387,Red_10,27
388,Red_11,24
389,Red_12,25
390,Red_13,24
391,Red_14,25
392,Red_15,25
393,Red_16,24
394,Red_17,27
395,Red_18,25
396,Red_19,27
397,Red_20,26
398,Red_21,25
399,Red_22,24
400,Red_23,26
401,Red_24,23
402,Red_25,24
403,Red_26,27
404,Red_27,24
405,Red_28,25
406,Red_29,24
407,Green_1,24
408,Green_2,15
409,Green_3,15
410,Green_4,16
411,Green_5,15
412,Green_6,16
413,Green_7,17
414,Green_8,15
