N1000_No_Reagent_NH_4_Cl concentrate 1,000 mg/L rum time 15s/color  6 loops
1,White_1,4
2,White_2,686
3,White_3,690
4,White_4,686
5,White_5,693
6,White_6,687
7,White_7,681
8,White_8,685
9,White_9,685
10,White_10,687
11,White_11,683
12,White_12,687
13,White_13,688
14,White_14,690
15,Red_1,692
16,Red_2,269
17,Red_3,273
18,Red_4,270
19,Red_5,274
20,Red_6,274
21,Red_7,273
22,Red_8,271
23,Red_9,276
24,Red_10,274
25,Red_11,269
26,Red_12,276
27,Red_13,269
28,Red_14,271
29,Red_15,274
30,Green_1,270
31,Green_2,143
32,Green_3,145
33,Green_4,148
34,Green_5,146
35,Green_6,146
36,Green_7,142
37,Green_8,146
38,Green_9,144
39,Green_10,146
40,Green_11,141
41,Green_12,149
42,Green_13,149
43,Green_14,144
44,Blue_1,148
45,Blue_2,302
46,Blue_3,303
47,Blue_4,299
48,Blue_5,295
49,Blue_6,297
50,Blue_7,296
51,Blue_8,297
52,Blue_9,297
53,Blue_10,303
54,Blue_11,300
55,Blue_12,299
56,Blue_13,296
57,Blue_14,297
58,Blue_15,301
59,Black_1,297
60,Black_2,4
61,Black_3,5
62,Black_4,5
63,Black_5,5
64,Black_6,5
65,Black_7,4
66,Black_8,5
67,Black_9,6
68,Black_10,5
69,Black_11,5
70,Black_12,4
71,Black_13,4
72,Black_14,6
73,Black_0,5
74,Black_0,5
75,Black_0,5
76,Black_0,5
77,Black_0,6
78,Black_0,5
79,Black_0,4
80,Black_0,4
81,Black_0,4
82,Black_0,5
83,Black_0,5
84,Black_0,4
85,Black_0,5
86,Black_0,4
87,Black_0,5
88,White_1,5
89,White_2,687
90,White_3,685
91,White_4,691
92,White_5,690
93,White_6,676
94,White_7,683
95,White_8,690
96,White_9,685
97,White_10,684
98,White_11,691
99,White_12,689
100,White_13,684
101,White_14,690
102,Red_1,688
103,Red_2,271
104,Red_3,272
105,Red_4,276
106,Red_5,270
107,Red_6,276
108,Red_7,265
109,Red_8,273
110,Red_9,274
111,Red_10,270
112,Red_11,276
113,Red_12,274
114,Red_13,270
115,Red_14,272
116,Red_15,271
117,Green_1,270
118,Green_2,145
119,Green_3,142
120,Green_4,142
121,Green_5,150
122,Green_6,144
123,Green_7,145
124,Green_8,144
125,Green_9,142
126,Green_10,148
127,Green_11,150
128,Green_12,146
129,Green_13,149
130,Green_14,144
131,Blue_1,147
132,Blue_2,297
133,Blue_3,303
134,Blue_4,304
135,Blue_5,303
136,Blue_6,295
137,Blue_7,304
138,Blue_8,300
139,Blue_9,295
140,Blue_10,301
141,Blue_11,301
142,Blue_12,299
143,Blue_13,297
144,Blue_14,298
145,Blue_15,300
146,Black_1,298
147,Black_2,5
148,Black_3,4
149,Black_4,4
150,Black_5,5
151,Black_6,6
152,Black_7,5
153,Black_8,5
154,Black_9,4
155,Black_10,4
156,Black_11,5
157,Black_12,5
158,Black_13,6
159,Black_14,5
160,Black_0,5
161,Black_0,5
162,Black_0,5
163,Black_0,5
164,Black_0,4
165,Black_0,5
166,Black_0,5
167,Black_0,5
168,Black_0,5
169,Black_0,4
170,Black_0,5
171,Black_0,5
172,Black_0,4
173,Black_0,5
174,Black_0,6
175,White_1,5
176,White_2,688
177,White_3,682
178,White_4,690
179,White_5,691
180,White_6,685
181,White_7,682
182,White_8,686
183,White_9,689
184,White_10,689
185,White_11,691
186,White_12,680
187,White_13,684
188,White_14,688
189,Red_1,691
190,Red_2,272
191,Red_3,273
192,Red_4,271
193,Red_5,269
194,Red_6,266
195,Red_7,266
196,Red_8,268
197,Red_9,273
198,Red_10,273
199,Red_11,269
200,Red_12,267
201,Red_13,270
202,Red_14,275
203,Red_15,269
204,Green_1,267
205,Green_2,141
206,Green_3,143
207,Green_4,149
208,Green_5,142
209,Green_6,148
210,Green_7,142
211,Green_8,141
212,Green_9,149
213,Green_10,148
214,Green_11,143
215,Green_12,145
216,Green_13,146
217,Green_14,145
218,Blue_1,147
219,Blue_2,298
220,Blue_3,296
221,Blue_4,301
222,Blue_5,299
223,Blue_6,296
224,Blue_7,304
225,Blue_8,305
226,Blue_9,305
227,Blue_10,302
228,Blue_11,303
229,Blue_12,305
230,Blue_13,303
231,Blue_14,302
232,Blue_15,295
233,Black_1,301
234,Black_2,5
235,Black_3,6
236,Black_4,5
237,Black_5,4
238,Black_6,5
239,Black_7,5
240,Black_8,4
241,Black_9,5
242,Black_10,5
243,Black_11,6
244,Black_12,4
245,Black_13,5
246,Black_14,4
247,Black_0,5
248,Black_0,4
249,Black_0,5
250,Black_0,5
251,Black_0,5
252,Black_0,5
253,Black_0,4
254,Black_0,4
255,Black_0,5
256,Black_0,6
257,Black_0,4
258,Black_0,5
259,Black_0,5
260,Black_0,5
261,Black_0,3
262,White_1,5
263,White_2,687
264,White_3,684
265,White_4,684
266,White_5,693
267,White_6,690
268,White_7,678
269,White_8,688
270,White_9,692
271,White_10,686
272,White_11,680
273,White_12,685
274,White_13,689
275,White_14,689
276,Red_1,685
277,Red_2,273
278,Red_3,274
279,Red_4,272
280,Red_5,273
281,Red_6,273
282,Red_7,270
283,Red_8,268
284,Red_9,271
285,Red_10,271
286,Red_11,274
287,Red_12,270
288,Red_13,270
289,Red_14,269
290,Red_15,270
291,Green_1,268
292,Green_2,143
293,Green_3,141
294,Green_4,146
295,Green_5,147
296,Green_6,143
297,Green_7,149
298,Green_8,143
299,Green_9,143
300,Green_10,145
301,Green_11,142
302,Green_12,148
303,Green_13,143
304,Green_14,143
305,Blue_1,142
306,Blue_2,301
307,Blue_3,303
308,Blue_4,304
309,Blue_5,302
310,Blue_6,303
311,Blue_7,298
312,Blue_8,298
313,Blue_9,299
314,Blue_10,302
315,Blue_11,299
316,Blue_12,302
317,Blue_13,299
318,Blue_14,299
319,Blue_15,301
320,Black_1,304
321,Black_2,4
322,Black_3,4
323,Black_4,5
324,Black_5,5
325,Black_6,5
326,Black_7,6
327,Black_8,5
328,Black_9,5
329,Black_10,5
330,Black_11,4
331,Black_12,5
332,Black_13,5
333,Black_14,4
334,Black_0,4
335,Black_0,5
336,Black_0,5
337,Black_0,4
338,Black_0,5
339,Black_0,6
340,Black_0,5
341,Black_0,5
342,Black_0,4
343,Black_0,6
344,Black_0,5
345,Black_0,4
346,Black_0,5
347,Black_0,5
348,Black_0,5
349,White_1,5
350,White_2,686
351,White_3,691
352,White_4,686
353,White_5,686
354,White_6,691
355,White_7,685
356,White_8,686
357,White_9,692
358,White_10,690
359,White_11,687
360,White_12,694
361,White_13,692
362,White_14,685
363,Red_1,687
364,Red_2,276
365,Red_3,271
366,Red_4,276
367,Red_5,273
368,Red_6,273
369,Red_7,273
370,Red_8,268
371,Red_9,271
372,Red_10,272
373,Red_11,272
374,Red_12,274
375,Red_13,271
376,Red_14,266
377,Red_15,270
378,Green_1,270
379,Green_2,144
380,Green_3,148
381,Green_4,144
382,Green_5,141
383,Green_6,147
384,Green_7,148
385,Green_8,146
386,Green_9,144
387,Green_10,145
388,Green_11,144
389,Green_12,143
390,Green_13,146
391,Green_14,150
392,Blue_1,145
393,Blue_2,299
394,Blue_3,296
395,Blue_4,305
396,Blue_5,305
397,Blue_6,302
398,Blue_7,302
399,Blue_8,300
400,Blue_9,305
401,Blue_10,300
402,Blue_11,293
403,Blue_12,296
404,Blue_13,301
405,Blue_14,301
406,Blue_15,300
407,Black_1,298
408,Black_2,4
409,Black_3,5
410,Black_4,5
411,Black_5,4
412,Black_6,5
413,Black_7,6
414,Black_8,4
415,Black_9,4
416,Black_10,5
417,Black_11,4
418,Black_12,6
419,Black_13,5
420,Black_14,5
421,Black_0,5
422,Black_0,5
423,Black_0,5
424,Black_0,4
425,Black_0,4
426,Black_0,4
427,Black_0,5
428,Black_0,5
429,Black_0,6
430,Black_0,4
431,Black_0,5
432,Black_0,5
433,Black_0,4
434,Black_0,4
435,Black_0,5
436,White_1,5
437,White_2,690
438,White_3,682
439,White_4,688
440,White_5,692
441,White_6,688
442,White_7,693
443,White_8,690
444,White_9,679
445,White_10,687
446,White_11,689
447,White_12,692
448,White_13,679
449,White_14,683
450,Red_1,690
451,Red_2,275
452,Red_3,274
453,Red_4,271
454,Red_5,271
455,Red_6,267
456,Red_7,268
457,Red_8,273
458,Red_9,265
459,Red_10,268
460,Red_11,276
461,Red_12,269
462,Red_13,269
463,Red_14,275
464,Red_15,271
465,Green_1,269
466,Green_2,145
467,Green_3,145
468,Green_4,143
469,Green_5,144
470,Green_6,144
471,Green_7,148
472,Green_8,144
473,Green_9,140
474,Green_10,142
475,Green_11,144
476,Green_12,147
477,Green_13,144
478,Green_14,144
479,Blue_1,141
480,Blue_2,298
481,Blue_3,300
482,Blue_4,298
483,Blue_5,296
484,Blue_6,306
485,Blue_7,300
486,Blue_8,300
487,Blue_9,300
488,Blue_10,306
489,Blue_11,298
490,Blue_12,298
491,Blue_13,299
492,Blue_14,298
493,Blue_15,302
494,Black_1,304
495,Black_2,4
496,Black_3,5
497,Black_4,6
498,Black_5,5
499,Black_6,4
500,Black_7,5
501,Black_8,5
502,Black_9,4
503,Black_10,4
504,Black_11,5
505,Black_12,5
506,Black_13,4
507,Black_14,5
508,Black_0,5
509,Black_0,4
510,Black_0,5
511,Black_0,5
512,Black_0,6
513,Black_0,4
514,Black_0,5
515,Black_0,5
516,Black_0,5
517,Black_0,4
518,Black_0,5
519,Black_0,5
520,Black_0,4
521,Black_0,5
522,Black_0,4
523,White_1,5
524,White_2,693
525,White_3,694
526,White_4,687
527,White_5,686
528,White_6,683
529,White_7,690
530,White_8,687
531,White_9,690
532,White_10,684
533,White_11,692
534,White_12,693
535,White_13,688
536,White_14,691
537,Red_1,690
538,Red_2,274
539,Red_3,269
540,Red_4,276
