Order,Color,P10_O7.csv,P10_O6.csv,P10_O4.csv,P10_n.csv,P10_O5.csv,P10_O1.csv,P10_O2.csv,P10_O3.csv,P10_No_Reag.csv
1,Black,4.55,5.0,4.3,4.25,4.85,5.5,4.35,4.35,5.15
1,Blue,56.75,67.5,46.4,115.76190476190476,35.85,115.0,40.95,23.7,326.0952380952381
1,Green,89.55,89.6,90.25,127.57142857142857,71.9,36.0,77.5,52.25,189.52380952380952
1,Red,106.38095238095238,113.47619047619048,93.9047619047619,168.33333333333334,71.76190476190476,70.0,87.42857142857143,50.857142857142854,322.3809523809524
1,White,241.66666666666666,257.9047619047619,220.9047619047619,398.14285714285717,168.8095238095238,210.0,201.0,118.76190476190476,793.95
2,Black,4.65,5.0,4.15,4.6,4.65,4.5,4.2,4.2,5.05
2,Blue,57.15,66.85,46.45,115.33333333333333,34.95,112.5,41.05,23.5,324.6666666666667
2,Green,89.45,88.9,91.0,128.33333333333334,71.0,38.0,77.45,52.75,190.14285714285714
2,Red,107.33333333333333,114.14285714285714,93.61904761904762,166.42857142857142,71.52380952380952,69.0,86.14285714285714,51.523809523809526,322.57142857142856
2,White,243.04761904761904,257.04761904761904,221.0952380952381,396.85714285714283,167.28571428571428,208.33333333333334,204.0,118.9047619047619,793.1904761904761
3,Black,4.65,5.0,4.1,4.5,4.9,5.5,4.35,4.2,5.2
3,Blue,56.4,65.7,46.15,116.3,35.4,114.5,40.45,23.95,324.85714285714283
3,Green,90.2,88.9,90.75,127.38095238095238,71.75,35.0,77.95,52.8,190.0952380952381
3,Red,106.76190476190476,114.0952380952381,93.9047619047619,167.33333333333334,71.23809523809524,68.66666666666667,86.9047619047619,50.61904761904762,323.1904761904762
3,White,243.04761904761904,258.76190476190476,221.28571428571428,397.42857142857144,167.9047619047619,209.33333333333334,202.38095238095238,119.04761904761905,793.952380952381
4,Black,4.6,5.0,4.2,4.35,4.65,6.0,4.5,4.3,5.15
4,Blue,57.3,67.0,46.5,115.45,34.9,112.0,40.85,23.3,325.8
4,Green,89.95,89.15,90.7,127.66666666666667,72.25,35.5,78.1,52.65,189.0
4,Red,106.33333333333333,113.14285714285714,93.71428571428571,167.04761904761904,72.28571428571429,68.33333333333333,85.47619047619048,50.80952380952381,322.2857142857143
4,White,242.9047619047619,258.7142857142857,221.23809523809524,398.0952380952381,167.8095238095238,207.66666666666666,202.14285714285714,119.38095238095238,794.8571428571429
5,Black,4.25,5.05,4.2,4.3,4.85,5.5,4.05,4.35,5.05
5,Blue,56.4,66.2,46.0,115.3,35.45,115.5,41.1,23.85,326.05
5,Green,89.7,89.2,90.95,127.0,71.9,35.0,77.8,52.95,189.14285714285714
5,Red,106.28571428571429,113.76190476190476,93.71428571428571,167.33333333333334,71.71428571428571,68.33333333333333,87.0,51.04761904761905,321.23809523809524
5,White,242.1904761904762,258.6190476190476,221.0952380952381,397.0,167.14285714285714,210.0,201.38095238095238,118.57142857142857,794.2380952380952
6,Black,4.6,4.95,4.25,4.3,5.1,6.0,3.95,4.2,5.25
6,Blue,56.65,66.6,46.15,116.0,34.7,113.0,41.65,23.95,326.4
6,Green,88.95,87.95,91.1,127.0,71.8,36.5,77.5,52.65,189.66666666666666
6,Red,106.52380952380952,112.52380952380952,93.19047619047619,167.33333333333334,71.71428571428571,67.0,86.7,51.142857142857146,321.3333333333333
6,White,242.47619047619048,259.04761904761904,221.38095238095238,395.6666666666667,167.1904761904762,208.0,200.33333333333334,118.80952380952381,793.5714285714286
7,Black,4.45,5.0,4.0,4.45,4.8,5.0,4.4,4.15,4.8
7,Blue,56.7,66.9,45.65,115.45,35.1,112.5,40.95,23.45,324.15
7,Green,89.7,89.0,91.35,127.14285714285714,71.7,36.5,78.25,53.2,188.42857142857142
7,Red,106.61904761904762,113.61904761904762,93.66666666666667,168.33333333333334,71.52380952380952,69.0,86.1,50.38095238095238,321.8095238095238
7,White,242.71428571428572,258.6666666666667,220.33333333333334,397.23809523809524,167.85714285714286,208.66666666666666,199.71428571428572,118.14285714285714,794.2380952380952
8,Black,4.6,5.1,4.4,4.45,5.1,4.5,4.3,4.3,5.15
8,Blue,55.9,66.15,46.3,116.35,35.4,114.5,41.0,23.3,325.75
8,Green,89.55,88.7,90.85,127.61904761904762,71.3,37.0,78.25,52.1,188.8095238095238
8,Red,106.85714285714286,112.85714285714286,92.80952380952381,167.14285714285714,71.66666666666667,68.5,85.95,50.857142857142854,320.6190476190476
8,White,241.47619047619048,258.3333333333333,219.47619047619048,397.3333333333333,167.42857142857142,207.66666666666666,199.1904761904762,118.71428571428571,794.5238095238095
9,Black,4.55,5.0,4.05,4.7,4.65,4.5,4.0,4.15,4.95
9,Blue,56.45,66.65,45.7,115.95,35.2,114.0,40.8,23.95,325.25
9,Green,89.55,89.05,91.5,127.28571428571429,71.15,38.5,77.3,52.55,189.95238095238096
9,Red,107.57142857142857,113.85,94.04761904761905,167.57142857142858,71.66666666666667,66.0,86.9,50.476190476190474,322.0
9,White,241.85714285714286,258.6190476190476,221.0952380952381,396.6666666666667,167.14285714285714,210.66666666666666,199.23809523809524,119.61904761904762,794.2380952380952
10,Black,4.5625,5.117647058823529,4.05,4.5,4.7,6.0,4.125,4.176470588235294,5.05
10,Blue,55.64705882352941,66.94117647058823,48.266666666666666,115.1,35.588235294117645,115.5,40.5,23.6,324.85
10,Green,89.6875,88.94117647058823,92.0,126.57142857142857,72.0,36.5,76.83333333333333,52.285714285714285,188.9047619047619
10,Red,105.375,112.3529411764706,92.6,167.61904761904762,70.45454545454545,67.0,87.27777777777777,50.266666666666666,321.95238095238096
10,White,241.4,258.70588235294116,216.33333333333334,396.3809523809524,166.8,208.0,190.0,118.15,794.8095238095239
11,Black,,,,4.2,,,,,5.05
11,Blue,,,,115.9,,,,,325.95
11,Green,,,,127.19047619047619,,,,,189.52380952380952
11,Red,,,,166.23809523809524,,,,,323.04761904761904
