No.,Order,Color,Intensity
2,2,White,786
3,3,White,791
4,4,White,796
5,5,White,793
6,6,White,799
7,7,White,798
8,8,White,798
9,9,White,797
10,10,White,790
11,11,White,790
12,12,White,796
13,13,White,798
14,14,White,791
15,1,Red,323
16,2,Red,321
17,3,Red,326
18,4,Red,326
19,5,Red,326
20,6,Red,320
21,7,Red,316
22,8,Red,319
23,9,Red,325
24,10,Red,324
25,11,Red,326
26,12,Red,323
27,13,Red,319
28,14,Red,314
29,15,Red,315
30,1,Green,187
31,2,Green,190
32,3,Green,189
33,4,Green,189
34,5,Green,188
35,6,Green,187
36,7,Green,189
37,8,Green,188
38,9,Green,188
39,10,Green,189
40,11,Green,191
41,12,Green,193
42,13,Green,189
43,14,Green,188
44,1,Blue,327
45,2,Blue,325
46,3,Blue,318
47,4,Blue,326
48,5,Blue,326
49,6,Blue,328
50,7,Blue,323
51,8,Blue,323
52,9,Blue,322
53,10,Blue,324
54,11,Blue,331
55,12,Blue,329
56,13,Blue,332
57,14,Blue,327
58,15,Blue,324
59,1,Black,7
60,2,Black,5
61,3,Black,6
62,4,Black,5
63,5,Black,4
64,6,Black,5
65,7,Black,4
66,8,Black,5
67,9,Black,7
68,10,Black,6
69,11,Black,5
70,12,Black,5
71,13,Black,6
72,14,Black,6
73,15,Black,5
88,1,White,792
89,2,White,794
90,3,White,800
91,4,White,795
92,5,White,793
93,6,White,791
94,7,White,790
95,8,White,793
96,9,White,783
97,10,White,796
98,11,White,792
99,12,White,794
100,13,White,795
101,14,White,796
102,15,White,796
103,1,Red,322
104,2,Red,326
105,3,Red,321
106,4,Red,317
107,5,Red,318
108,6,Red,326
109,7,Red,322
110,8,Red,319
111,9,Red,323
112,10,Red,320
113,11,Red,322
114,12,Red,322
115,13,Red,315
116,14,Red,317
117,1,Green,185
118,2,Green,190
119,3,Green,193
120,4,Green,188
121,5,Green,187
122,6,Green,193
123,7,Green,189
124,8,Green,190
125,9,Green,189
126,10,Green,184
127,11,Green,188
128,12,Green,187
129,13,Green,186
130,14,Green,189
131,15,Green,190
132,1,Blue,331
133,2,Blue,323
134,3,Blue,324
135,4,Blue,323
136,5,Blue,330
137,6,Blue,330
138,7,Blue,325
139,8,Blue,329
140,9,Blue,324
141,10,Blue,328
142,11,Blue,327
143,12,Blue,326
144,13,Blue,321
145,14,Blue,325
146,15,Blue,331
147,1,Black,5
148,2,Black,4
149,3,Black,5
150,4,Black,5
151,5,Black,6
152,6,Black,6
153,7,Black,5
154,8,Black,5
155,9,Black,5
156,10,Black,6
157,11,Black,5
158,12,Black,4
159,13,Black,6
160,14,Black,5
176,1,White,786
177,2,White,794
178,3,White,794
179,4,White,785
180,5,White,790
181,6,White,794
182,7,White,794
183,8,White,791
184,9,White,790
185,10,White,795
186,11,White,793
187,12,White,793
188,13,White,788
189,14,White,791
190,1,Red,325
191,2,Red,319
192,3,Red,316
193,4,Red,322
194,5,Red,317
195,6,Red,325
196,7,Red,315
