No.,Order,Color,Intensity
1,1,White,202
2,2,White,197
3,3,White,204
4,4,White,198
5,5,White,202
6,6,White,200
7,7,White,203
8,8,White,200
9,9,White,203
10,10,White,200
11,1,Red,64
12,2,Red,66
13,3,Red,65
14,4,Red,65
15,5,Red,64
16,6,Red,64
17,7,Red,66
18,8,Red,65
19,9,Red,65
20,1,Green,35
21,2,Green,37
22,3,Green,34
23,4,Green,36
24,5,Green,34
25,6,Green,37
26,7,Green,36
27,8,Green,36
28,9,Green,36
29,10,Green,35
30,1,Blue,114
31,2,Blue,110
32,3,Blue,111
33,4,Blue,110
34,5,Blue,112
35,6,Blue,111
36,7,Blue,110
37,8,Blue,111
38,9,Blue,113
39,10,Blue,113
40,1,Black,6
41,2,Black,4
42,3,Black,5
43,4,Black,6
44,5,Black,5
45,6,Black,7
46,7,Black,6
47,8,Black,4
48,9,Black,5
49,10,Black,6
60,1,White,208
61,2,White,207
62,3,White,208
63,4,White,209
64,5,White,209
65,6,White,206
66,7,White,208
67,8,White,206
68,9,White,213
69,10,White,210
70,1,Red,70
71,2,Red,73
72,3,Red,69
73,4,Red,70
74,5,Red,72
75,6,Red,67
76,7,Red,69
77,8,Red,72
78,9,Red,67
79,10,Red,67
80,1,Green,37
81,2,Green,39
82,3,Green,36
83,4,Green,35
84,5,Green,36
85,6,Green,36
86,7,Green,37
87,8,Green,38
88,9,Green,41
89,10,Green,38
90,1,Blue,116
91,2,Blue,115
92,3,Blue,118
93,4,Blue,114
94,5,Blue,119
95,6,Blue,115
96,7,Blue,115
97,8,Blue,118
98,9,Blue,115
99,10,Blue,118
100,1,Black,5
101,2,Black,5
102,3,Black,6
103,4,Black,6
104,5,Black,6
105,6,Black,5
106,7,Black,4
107,8,Black,5
108,9,Black,4
119,1,White,220
120,2,White,221
121,3,White,216
122,4,White,216
123,5,White,219
124,6,White,218
125,7,White,215
126,8,White,217
127,9,White,216
128,10,White,214
129,1,Red,76
130,2,Red,68
131,3,Red,72
132,4,Red,70
133,5,Red,69
134,6,Red,70
135,7,Red,72
