No.,Order,Color,Intensity
1,1,White,461
2,2,White,458
3,3,White,459
4,4,White,453
5,5,White,456
6,6,White,458
7,7,White,456
8,8,White,457
9,9,White,453
10,10,White,451
11,11,White,452
12,12,White,457
13,13,White,450
14,14,White,453
15,1,Red,186
16,2,Red,187
17,3,Red,192
18,4,Red,188
19,5,Red,188
20,6,Red,189
21,7,Red,191
22,8,Red,187
23,9,Red,190
24,10,Red,189
25,11,Red,186
26,12,Red,186
27,13,Red,186
28,14,Red,187
29,15,Red,189
30,1,Green,143
31,2,Green,143
32,3,Green,137
33,4,Green,143
34,5,Green,135
35,6,Green,134
36,7,Green,136
37,8,Green,138
38,9,Green,140
39,10,Green,135
40,11,Green,135
41,12,Green,134
42,13,Green,139
43,14,Green,135
44,1,Blue,140
45,2,Blue,139
46,3,Blue,138
47,4,Blue,139
48,5,Blue,136
49,6,Blue,136
50,7,Blue,140
51,8,Blue,139
52,9,Blue,135
53,10,Blue,135
54,11,Blue,136
55,12,Blue,137
56,13,Blue,138
57,14,Blue,134
58,15,Blue,137
59,1,Black,5
60,2,Black,4
61,3,Black,5
62,4,Black,3
63,5,Black,5
64,6,Black,4
65,7,Black,4
66,8,Black,5
67,9,Black,6
68,10,Black,4
69,11,Black,5
70,12,Black,5
71,13,Black,4
72,14,Black,4
73,15,Black,5
88,1,White,434
89,2,White,433
90,3,White,438
91,4,White,437
92,5,White,434
93,6,White,434
94,7,White,434
95,8,White,429
96,9,White,436
97,10,White,439
98,11,White,437
99,12,White,428
100,13,White,438
101,14,White,432
102,15,White,435
103,1,Red,186
104,2,Red,181
105,3,Red,179
106,4,Red,181
107,5,Red,186
108,6,Red,183
109,7,Red,179
110,8,Red,182
111,9,Red,180
112,10,Red,179
113,11,Red,183
114,12,Red,180
115,13,Red,178
116,14,Red,179
117,1,Green,135
118,2,Green,135
119,3,Green,133
120,4,Green,136
121,5,Green,134
122,6,Green,138
123,7,Green,131
124,8,Green,133
125,9,Green,133
126,10,Green,138
127,11,Green,136
128,12,Green,136
129,13,Green,135
130,14,Green,137
131,15,Green,132
132,1,Blue,132
133,2,Blue,135
134,3,Blue,130
135,4,Blue,129
136,5,Blue,133
137,6,Blue,132
138,7,Blue,133
139,8,Blue,132
140,9,Blue,130
141,10,Blue,132
142,11,Blue,135
143,12,Blue,129
144,13,Blue,130
145,14,Blue,134
146,15,Blue,130
147,1,Black,4
148,2,Black,5
149,3,Black,6
150,4,Black,5
151,5,Black,4
152,6,Black,5
153,7,Black,6
154,8,Black,5
155,9,Black,5
156,10,Black,5
157,11,Black,4
158,12,Black,4
159,13,Black,4
160,14,Black,5
176,1,White,431
177,2,White,418
178,3,White,421
179,4,White,425
180,5,White,428
181,6,White,420
182,7,White,426
183,8,White,422
184,9,White,423
185,10,White,422
186,11,White,424
187,12,White,426
188,13,White,424
189,14,White,421
190,1,Red,183
191,2,Red,181
192,3,Red,178
193,4,Red,176
194,5,Red,181
195,6,Red,180
196,7,Red,176
197,8,Red,180
198,9,Red,173
199,10,Red,182
200,11,Red,178
201,12,Red,177
202,13,Red,179
203,14,Red,177
204,15,Red,180
205,1,Green,131
206,2,Green,134
207,3,Green,134
208,4,Green,136
209,5,Green,132
210,6,Green,134
211,7,Green,129
212,8,Green,135
213,9,Green,132
214,10,Green,129
215,11,Green,134
216,12,Green,131
217,13,Green,130
218,14,Green,131
219,15,Green,127
220,1,Blue,126
221,2,Blue,127
222,3,Blue,127
223,4,Blue,131
224,5,Blue,124
225,6,Blue,125
226,7,Blue,128
227,8,Blue,126
228,9,Blue,125
229,10,Blue,125
230,11,Blue,129
231,12,Blue,125
232,13,Blue,125
233,14,Blue,126
234,1,Black,4
235,2,Black,4
236,3,Black,4
237,4,Black,4
238,5,Black,5
239,6,Black,6
240,7,Black,5
241,8,Black,4
242,9,Black,5
243,10,Black,5
244,11,Black,6
245,12,Black,5
246,13,Black,4
247,14,Black,5
248,15,Black,4
264,1,White,418
265,2,White,421
266,3,White,417
267,4,White,422
268,5,White,420
269,6,White,416
270,7,White,415
271,8,White,422
272,9,White,415
273,10,White,417
274,11,White,414
275,12,White,416
276,13,White,413
277,14,White,413
278,1,Red,176
279,2,Red,170
280,3,Red,173
281,4,Red,173
282,5,Red,176
283,6,Red,177
284,7,Red,179
285,8,Red,177
286,9,Red,175
287,10,Red,175
288,11,Red,173
289,12,Red,176
290,13,Red,175
291,14,Red,171
292,15,Red,178
293,1,Green,133
294,2,Green,131
295,3,Green,132
296,4,Green,131
297,5,Green,133
298,6,Green,128
299,7,Green,128
300,8,Green,127
301,9,Green,133
302,10,Green,130
303,11,Green,134
304,12,Green,130
305,13,Green,130
306,14,Green,134
307,1,Blue,128
308,2,Blue,124
309,3,Blue,121
310,4,Blue,119
311,5,Blue,128
312,6,Blue,121
313,7,Blue,122
314,8,Blue,121
315,9,Blue,126
316,10,Blue,122
317,11,Blue,121
318,12,Blue,123
319,13,Blue,125
320,14,Blue,122
321,15,Blue,126
322,1,Black,4
323,2,Black,5
324,3,Black,5
325,4,Black,5
326,5,Black,4
327,6,Black,5
328,7,Black,4
329,8,Black,4
330,9,Black,4
331,10,Black,4
332,11,Black,4
333,12,Black,4
334,13,Black,5
335,14,Black,4
336,15,Black,5
351,1,White,415
352,2,White,412
353,3,White,410
354,4,White,415
355,5,White,404
356,6,White,410
357,7,White,409
358,8,White,416
359,9,White,410
360,10,White,405
361,11,White,412
362,12,White,409
363,13,White,407
364,14,White,407
365,15,White,407
366,1,Red,177
367,2,Red,173
368,3,Red,177
369,4,Red,176
370,5,Red,173
371,6,Red,171
372,7,Red,175
373,8,Red,171
374,9,Red,171
375,10,Red,174
376,11,Red,174
377,12,Red,173
378,13,Red,173
379,14,Red,169
380,1,Green,129
381,2,Green,127
382,3,Green,129
