Order,Color,MSD_P100_No_Reag.csv,MSD_P100_day2.csv,MSD_P100_day1.csv,P100_day2.csv,P100_day1.csv,MSD_P100_2.csv,MSD_P100_3.csv,P100_2.csv,P100_3.csv,P100_No_Reag.csv
1,Black,6.1,3.85,3.8,3.85,3.8,4.05,3.95,4.05,3.95,6.1
1,Blue,330.7,27.25,22.35,27.25,22.35,36.45,36.95,36.45,36.95,330.7
1,Green,197.95238095238096,59.57142857142857,55.47619047619048,59.57142857142857,55.476190476190474,74.85714285714286,65.80952380952381,74.85714285714286,65.80952380952381,197.95238095238096
1,Red,339.6666666666667,55.71428571428572,51.095238095238095,55.714285714285715,51.095238095238095,79.95238095238095,73.33333333333333,79.95238095238095,73.33333333333333,339.6666666666667
1,White,821.6666666666666,134.76190476190476,119.76190476190476,134.76190476190476,119.76190476190476,184.6190476190476,169.04761904761904,184.61904761904762,169.04761904761904,821.6666666666666
2,Black,6.25,3.95,3.95,3.95,3.95,4.15,4.0,4.15,4.0,6.25
2,Blue,332.1,27.05,22.45,27.05,22.45,36.2,35.8,36.2,35.8,332.1
2,Green,197.7619047619048,59.76190476190476,55.47619047619048,59.76190476190476,55.476190476190474,75.76190476190476,66.61904761904762,75.76190476190476,66.61904761904762,197.76190476190476
2,Red,339.3333333333333,56.23809523809524,50.61904761904762,56.23809523809524,50.61904761904762,79.95238095238095,73.9047619047619,79.95238095238095,73.9047619047619,339.3333333333333
2,White,819.9047619047619,134.61904761904762,120.42857142857144,134.61904761904762,120.42857142857143,185.14285714285717,169.52380952380952,185.14285714285714,169.52380952380952,819.9047619047619
3,Black,5.8,4.15,4.0,4.15,4.0,4.0,4.1,4.0,4.1,5.8
3,Blue,332.75,27.2,22.3,27.2,22.3,36.4,36.4,36.4,36.4,332.75
3,Green,197.47619047619048,60.0,56.142857142857146,60.0,56.142857142857146,75.33333333333333,66.52380952380952,75.33333333333333,66.52380952380952,197.47619047619048
3,Red,340.0,54.80952380952381,50.285714285714285,54.80952380952381,50.285714285714285,80.38095238095238,73.42857142857143,80.38095238095238,73.42857142857143,340.0
3,White,822.0952380952381,134.8095238095238,120.8095238095238,134.8095238095238,120.80952380952381,181.95238095238096,169.66666666666666,181.95238095238096,169.66666666666666,822.0952380952381
4,Black,5.85,3.8,4.05,3.8,4.05,4.05,3.85,4.05,3.85,5.85
4,Blue,332.7,27.45,22.5,27.45,22.5,35.9,36.85,35.9,36.85,332.7
