No.,Order,Color,Intensity
1,1,White,237
2,2,White,235
3,3,White,234
4,4,White,233
5,5,White,232
6,6,White,235
7,7,White,232
8,8,White,229
9,9,White,229
10,10,White,229
11,11,White,233
12,12,White,228
13,13,White,231
14,14,White,230
15,1,Red,98
16,2,Red,102
17,3,Red,98
18,4,Red,103
19,5,Red,101
20,6,Red,98
21,7,Red,97
22,8,Red,96
23,9,Red,99
24,10,Red,98
25,11,Red,98
26,12,Red,102
27,13,Red,101
28,14,Red,98
29,15,Red,99
30,1,Green,80
31,2,Green,83
32,3,Green,80
33,4,Green,78
34,5,Green,81
35,6,Green,80
36,7,Green,80
37,8,Green,78
38,9,Green,80
39,10,Green,78
40,11,Green,82
41,12,Green,79
42,13,Green,79
43,14,Green,83
44,15,Green,79
45,1,Blue,50
46,2,Blue,52
47,3,Blue,51
48,4,Blue,52
49,5,Blue,51
50,6,Blue,53
51,7,Blue,50
52,8,Blue,54
53,9,Blue,51
54,10,Blue,50
55,11,Blue,51
56,12,Blue,54
57,13,Blue,50
58,14,Blue,51
59,1,Black,4
60,2,Black,4
61,3,Black,4
62,4,Black,4
63,5,Black,3
64,6,Black,4
65,7,Black,4
66,8,Black,4
67,9,Black,4
68,10,Black,3
69,11,Black,4
70,12,Black,4
71,13,Black,4
72,14,Black,4
73,15,Black,4
89,1,White,210
90,2,White,211
91,3,White,211
92,4,White,210
93,5,White,205
94,6,White,206
95,7,White,208
96,8,White,209
97,9,White,201
98,10,White,207
99,11,White,206
100,12,White,208
101,13,White,206
102,14,White,209
103,1,Red,89
104,2,Red,93
105,3,Red,92
106,4,Red,87
107,5,Red,93
108,6,Red,89
109,7,Red,88
110,8,Red,89
111,9,Red,88
112,10,Red,88
113,11,Red,89
114,12,Red,89
115,13,Red,87
116,14,Red,93
117,15,Red,90
118,1,Green,75
119,2,Green,77
120,3,Green,75
121,4,Green,76
122,5,Green,77
123,6,Green,77
124,7,Green,74
125,8,Green,74
126,9,Green,76
127,10,Green,74
128,11,Green,77
129,12,Green,75
130,13,Green,79
131,14,Green,77
132,15,Green,75
133,1,Blue,49
134,2,Blue,46
135,3,Blue,46
136,4,Blue,50
137,5,Blue,49
138,6,Blue,44
139,7,Blue,47
140,8,Blue,48
141,9,Blue,46
142,10,Blue,45
143,11,Blue,44
144,12,Blue,46
145,13,Blue,45
146,14,Blue,47
147,1,Black,3
148,2,Black,5
149,3,Black,4
150,4,Black,5
151,5,Black,4
152,6,Black,3
153,7,Black,4
154,8,Black,4
155,9,Black,4
156,10,Black,4
157,11,Black,4
158,12,Black,4
159,13,Black,4
160,14,Black,3
161,15,Black,4
177,1,White,193
178,2,White,198
179,3,White,191
180,4,White,195
181,5,White,199
182,6,White,196
183,7,White,197
184,8,White,194
185,9,White,200
186,10,White,195
187,11,White,198
188,12,White,194
189,13,White,197
190,14,White,196
191,15,White,197
192,1,Red,83
193,2,Red,83
194,3,Red,85
195,4,Red,87
196,5,Red,84
197,6,Red,86
198,7,Red,85
199,8,Red,87
200,9,Red,83
201,10,Red,88
202,11,Red,85
203,12,Red,83
204,13,Red,83
205,14,Red,85
206,1,Green,71
207,2,Green,73
208,3,Green,73
209,4,Green,73
210,5,Green,76
211,6,Green,72
212,7,Green,72
213,8,Green,73
214,9,Green,71
215,10,Green,71
216,11,Green,72
217,12,Green,76
218,13,Green,72
219,14,Green,71
220,15,Green,72
221,1,Blue,47
222,2,Blue,42
223,3,Blue,45
224,4,Blue,44
225,5,Blue,46
226,6,Blue,46
227,7,Blue,44
228,8,Blue,47
229,9,Blue,45
230,10,Blue,43
231,11,Blue,44
232,12,Blue,47
233,13,Blue,45
234,14,Blue,43
235,15,Blue,47
236,1,Black,4
237,2,Black,4
238,3,Black,4
239,4,Black,4
240,5,Black,4
241,6,Black,3
242,7,Black,4
243,8,Black,4
244,9,Black,4
245,10,Black,4
246,11,Black,3
247,12,Black,4
248,13,Black,5
249,14,Black,4
265,1,White,188
266,2,White,193
267,3,White,187
268,4,White,185
269,5,White,185
270,6,White,191
271,7,White,193
272,8,White,185
273,9,White,188
274,10,White,190
275,11,White,187
276,12,White,187
277,13,White,189
278,14,White,186
279,15,White,186
280,1,Red,84
281,2,Red,83
282,3,Red,79
283,4,Red,81
284,5,Red,81
285,6,Red,84
286,7,Red,82
287,8,Red,85
288,9,Red,79
289,10,Red,83
290,11,Red,84
291,12,Red,81
292,13,Red,82
