No.,Order,Color,Intensity
1,1,White,129
2,2,White,124
3,3,White,125
4,4,White,124
5,5,White,126
6,6,White,125
7,7,White,125
8,8,White,128
9,9,White,125
10,10,White,129
11,11,White,124
12,12,White,128
13,13,White,126
14,14,White,130
15,1,Red,55
16,2,Red,55
17,3,Red,55
18,4,Red,56
19,5,Red,56
20,6,Red,52
21,7,Red,51
22,8,Red,51
23,9,Red,53
24,10,Red,52
25,11,Red,54
26,12,Red,52
27,13,Red,53
28,14,Red,53
29,15,Red,53
30,1,Green,60
31,2,Green,55
32,3,Green,60
33,4,Green,58
34,5,Green,56
35,6,Green,55
36,7,Green,55
37,8,Green,57
38,9,Green,56
39,10,Green,55
40,11,Green,56
41,12,Green,57
42,13,Green,54
43,14,Green,56
44,15,Green,59
45,1,Blue,23
46,2,Blue,21
47,3,Blue,23
48,4,Blue,21
49,5,Blue,25
50,6,Blue,23
51,7,Blue,23
52,8,Blue,26
53,9,Blue,23
54,10,Blue,22
55,11,Blue,26
56,12,Blue,23
57,13,Blue,25
58,14,Blue,25
59,1,Black,3
60,2,Black,4
61,3,Black,4
62,4,Black,4
63,5,Black,4
64,6,Black,3
65,7,Black,4
66,8,Black,4
67,9,Black,4
68,10,Black,3
69,11,Black,4
70,12,Black,4
71,13,Black,5
72,14,Black,5
73,15,Black,3
89,1,White,125
90,2,White,128
91,3,White,128
92,4,White,122
93,5,White,125
94,6,White,126
95,7,White,123
96,8,White,124
97,9,White,129
98,10,White,125
99,11,White,121
100,12,White,124
101,13,White,124
102,14,White,129
103,1,Red,56
104,2,Red,53
105,3,Red,50
106,4,Red,50
107,5,Red,51
108,6,Red,51
109,7,Red,56
110,8,Red,51
111,9,Red,54
112,10,Red,51
113,11,Red,53
114,12,Red,53
115,13,Red,53
116,14,Red,54
117,15,Red,50
118,1,Green,58
119,2,Green,57
120,3,Green,58
121,4,Green,59
122,5,Green,54
123,6,Green,55
124,7,Green,55
125,8,Green,55
126,9,Green,57
127,10,Green,56
128,11,Green,57
129,12,Green,59
130,13,Green,54
131,14,Green,57
132,15,Green,57
133,1,Blue,24
134,2,Blue,24
135,3,Blue,22
136,4,Blue,25
137,5,Blue,24
138,6,Blue,24
139,7,Blue,23
140,8,Blue,22
141,9,Blue,22
142,10,Blue,23
143,11,Blue,22
144,12,Blue,24
145,13,Blue,20
146,14,Blue,25
147,1,Black,4
148,2,Black,4
149,3,Black,4
150,4,Black,3
151,5,Black,4
152,6,Black,3
153,7,Black,4
154,8,Black,4
155,9,Black,4
156,10,Black,4
157,11,Black,3
158,12,Black,4
159,13,Black,5
160,14,Black,4
161,15,Black,4
177,1,White,123
178,2,White,124
179,3,White,125
180,4,White,122
181,5,White,123
182,6,White,124
183,7,White,124
184,8,White,125
185,9,White,125
186,10,White,125
187,11,White,124
188,12,White,125
189,13,White,122
190,14,White,123
191,15,White,122
192,1,Red,52
193,2,Red,52
194,3,Red,50
195,4,Red,53
196,5,Red,52
197,6,Red,54
198,7,Red,51
199,8,Red,54
200,9,Red,53
201,10,Red,52
202,11,Red,51
203,12,Red,55
204,13,Red,55
205,14,Red,52
206,1,Green,57
207,2,Green,57
208,3,Green,59
209,4,Green,55
210,5,Green,59
211,6,Green,55
212,7,Green,56
213,8,Green,58
214,9,Green,56
215,10,Green,54
216,11,Green,57
217,12,Green,55
218,13,Green,58
219,14,Green,55
220,15,Green,55
221,1,Blue,25
222,2,Blue,24
223,3,Blue,22
224,4,Blue,23
225,5,Blue,23
226,6,Blue,25
227,7,Blue,24
228,8,Blue,25
229,9,Blue,25
230,10,Blue,24
231,11,Blue,22
232,12,Blue,22
233,13,Blue,23
234,14,Blue,22
235,15,Blue,23
236,1,Black,5
237,2,Black,4
238,3,Black,5
239,4,Black,4
240,5,Black,4
241,6,Black,4
242,7,Black,4
243,8,Black,3
244,9,Black,5
245,10,Black,3
246,11,Black,4
247,12,Black,5
248,13,Black,3
249,14,Black,5
265,1,White,122
266,2,White,126
267,3,White,124
268,4,White,123
269,5,White,121
270,6,White,123
271,7,White,123
272,8,White,122
273,9,White,122
274,10,White,126
275,11,White,125
276,12,White,122
277,13,White,126
278,14,White,122
279,15,White,124
280,1,Red,52
281,2,Red,51
282,3,Red,50
283,4,Red,55
284,5,Red,53
285,6,Red,52
286,7,Red,52
287,8,Red,51
288,9,Red,51
289,10,Red,49
290,11,Red,54
291,12,Red,52
292,13,Red,51
293,14,Red,49
294,1,Green,58
295,2,Green,54
296,3,Green,55
297,4,Green,58
298,5,Green,55
299,6,Green,55
300,7,Green,59
301,8,Green,55
302,9,Green,57
303,10,Green,54
304,11,Green,54
305,12,Green,54
306,13,Green,55
307,14,Green,57
308,15,Green,58
309,1,Blue,22
310,2,Blue,25
311,3,Blue,25
312,4,Blue,22
313,5,Blue,24
314,6,Blue,22
315,7,Blue,25
316,8,Blue,22
317,9,Blue,22
318,10,Blue,24
319,11,Blue,21
320,12,Blue,21
321,13,Blue,23
322,14,Blue,22
323,15,Blue,23
324,1,Black,3
325,2,Black,5
326,3,Black,3
327,4,Black,3
328,5,Black,3
329,6,Black,4
330,7,Black,4
331,8,Black,4
332,9,Black,4
333,10,Black,4
334,11,Black,5
335,12,Black,4
336,13,Black,4
337,14,Black,4
353,1,White,124
354,2,White,125
355,3,White,123
356,4,White,128
357,5,White,124
358,6,White,128
359,7,White,121
360,8,White,121
361,9,White,120
362,10,White,124
363,11,White,120
364,12,White,124
365,13,White,125
366,14,White,120
367,15,White,121
368,1,Red,52
369,2,Red,53
370,3,Red,50
371,4,Red,51
372,5,Red,55
373,6,Red,55
374,7,Red,54
375,8,Red,49
376,9,Red,54
377,10,Red,51
378,11,Red,52
379,12,Red,52
380,13,Red,53
381,14,Red,52
382,15,Red,52
383,1,Green,56
384,2,Green,55
385,3,Green,56
386,4,Green,59
387,5,Green,56
388,6,Green,57
389,7,Green,57
390,8,Green,57
391,9,Green,57
392,10,Green,57
393,11,Green,56
394,12,Green,56
395,13,Green,59
396,14,Green,53
397,1,Blue,22
398,2,Blue,22
399,3,Blue,25
400,4,Blue,23
401,5,Blue,23
402,6,Blue,22
403,7,Blue,24
404,8,Blue,25
405,9,Blue,22
406,10,Blue,21
407,11,Blue,23
408,12,Blue,23
409,13,Blue,22
410,14,Blue,23
411,15,Blue,24
412,1,Black,4
413,2,Black,3
414,3,Black,3
415,4,Black,4
416,5,Black,3
417,6,Black,4
418,7,Black,4
419,8,Black,4
420,9,Black,4
421,10,Black,4
422,11,Black,3
423,12,Black,3
424,13,Black,5
425,14,Black,4
426,15,Black,4
441,1,White,122
442,2,White,120
443,3,White,126
444,4,White,120
445,5,White,126
446,6,White,121
447,7,White,120
448,8,White,123
449,9,White,119
450,10,White,121
451,11,White,121
452,12,White,127
453,13,White,123
454,14,White,122
455,15,White,122
456,1,Red,55
457,2,Red,50
458,3,Red,54
459,4,Red,50
460,5,Red,54
461,6,Red,51
462,7,Red,53
463,8,Red,50
464,9,Red,51
465,10,Red,51
466,11,Red,49
467,12,Red,50
468,13,Red,53
469,14,Red,51
470,15,Red,52
471,1,Green,54
472,2,Green,56
473,3,Green,55
474,4,Green,55
475,5,Green,58
476,6,Green,55
477,7,Green,55
478,8,Green,54
479,9,Green,57
480,10,Green,58
481,11,Green,56
482,12,Green,60
483,13,Green,55
484,14,Green,55
485,1,Blue,22
486,2,Blue,23
487,3,Blue,23
488,4,Blue,24
489,5,Blue,25
490,6,Blue,21
491,7,Blue,21
492,8,Blue,22
493,9,Blue,21
494,10,Blue,24
495,11,Blue,21
496,12,Blue,24
497,13,Blue,25
498,14,Blue,21
499,15,Blue,23
500,1,Black,4
501,2,Black,4
502,3,Black,4
503,4,Black,4
504,5,Black,4
505,6,Black,4
506,7,Black,4
507,8,Black,4
508,9,Black,3
509,10,Black,4
510,11,Black,3
511,12,Black,3
512,13,Black,4
513,14,Black,4
514,15,Black,4
529,1,White,123
530,2,White,120
531,3,White,123
532,4,White,119
533,5,White,120
534,6,White,120
535,7,White,122
536,8,White,125
537,9,White,122
538,10,White,124
539,11,White,121
540,12,White,119
541,13,White,119
542,14,White,123
543,15,White,122
544,1,Red,49
545,2,Red,50
546,3,Red,51
547,4,Red,50
548,5,Red,50
549,6,Red,51
550,7,Red,51
551,8,Red,52
552,9,Red,52
553,10,Red,48
554,11,Red,52
555,12,Red,49
556,13,Red,51
557,14,Red,50
558,15,Red,49
559,1,Green,59
560,2,Green,56
561,3,Green,59
562,4,Green,54
563,5,Green,53
564,6,Green,58
565,7,Green,58
566,8,Green,55
567,9,Green,53
568,10,Green,58
569,11,Green,54
570,12,Green,53
571,13,Green,57
572,14,Green,58
573,15,Green,55
574,1,Blue,22
575,2,Blue,22
576,3,Blue,24
577,4,Blue,22
578,5,Blue,22
579,6,Blue,24
580,7,Blue,22
581,8,Blue,23
582,9,Blue,23
583,10,Blue,22
584,11,Blue,24
585,12,Blue,23
586,13,Blue,22
587,14,Blue,22
588,1,Black,4
589,2,Black,4
590,3,Black,4
591,4,Black,5
592,5,Black,4
593,6,Black,4
594,7,Black,4
595,8,Black,4
596,9,Black,4
597,10,Black,4
598,11,Black,5
599,12,Black,4
600,13,Black,4
601,14,Black,4
602,15,Black,4
618,1,White,119
619,2,White,122
620,3,White,119
621,4,White,119
622,5,White,119
623,6,White,120
624,7,White,122
625,8,White,118
626,9,White,120
627,10,White,124
628,11,White,124
629,12,White,123
630,13,White,126
631,14,White,119
632,1,Red,50
633,2,Red,51
634,3,Red,49
635,4,Red,54
636,5,Red,51
637,6,Red,54
638,7,Red,50
639,8,Red,53
640,9,Red,53
641,10,Red,50
642,11,Red,50
643,12,Red,49
644,13,Red,54
645,14,Red,49
646,15,Red,49
647,1,Green,53
648,2,Green,55
649,3,Green,57
650,4,Green,55
651,5,Green,53
652,6,Green,57
653,7,Green,57
654,8,Green,53
655,9,Green,55
656,10,Green,54
657,11,Green,55
658,12,Green,58
659,13,Green,54
660,14,Green,58
661,15,Green,56
662,1,Blue,22
663,2,Blue,21
664,3,Blue,24
665,4,Blue,24
666,5,Blue,24
667,6,Blue,22
668,7,Blue,22
669,8,Blue,22
670,9,Blue,21
671,10,Blue,24
672,11,Blue,24
673,12,Blue,22
674,13,Blue,23
675,14,Blue,22
676,1,Black,4
677,2,Black,4
678,3,Black,5
679,4,Black,3
680,5,Black,4
681,6,Black,5
682,7,Black,4
683,8,Black,3
684,9,Black,4
685,10,Black,5
686,11,Black,4
687,12,Black,4
688,13,Black,4
689,14,Black,4
690,15,Black,3
706,1,White,120
707,2,White,119
708,3,White,118
709,4,White,121
710,5,White,119
711,6,White,123
712,7,White,122
713,8,White,120
714,9,White,120
715,10,White,119
716,11,White,122
717,12,White,120
718,13,White,125
719,14,White,119
720,1,Red,52
721,2,Red,52
722,3,Red,50
723,4,Red,49
724,5,Red,52
725,6,Red,54
726,7,Red,48
727,8,Red,51
728,9,Red,52
729,10,Red,53
730,11,Red,50
731,12,Red,50
732,13,Red,49
733,14,Red,52
734,15,Red,50
735,1,Green,53
736,2,Green,55
737,3,Green,55
738,4,Green,54
739,5,Green,57
740,6,Green,58
741,7,Green,57
742,8,Green,54
743,9,Green,55
744,10,Green,59
745,11,Green,56
746,12,Green,53
747,13,Green,54
748,14,Green,58
749,15,Green,52
750,1,Blue,23
751,2,Blue,24
752,3,Blue,22
753,4,Blue,22
754,5,Blue,21
755,6,Blue,24
756,7,Blue,23
757,8,Blue,22
758,9,Blue,24
759,10,Blue,22
760,11,Blue,24
761,12,Blue,21
762,13,Blue,22
763,14,Blue,23
764,1,Black,3
765,2,Black,4
766,3,Black,3
767,4,Black,4
768,5,Black,3
769,6,Black,4
770,7,Black,4
771,8,Black,4
772,9,Black,4
773,10,Black,4
774,11,Black,3
775,12,Black,4
776,13,Black,5
777,14,Black,4
778,15,Black,4
794,1,White,118
795,2,White,125
796,3,White,124
797,4,White,119
798,5,White,120
799,6,White,119
800,7,White,120
801,8,White,119
802,9,White,124
803,10,White,118
804,11,White,120
805,12,White,119
806,13,White,124
807,14,White,125
808,15,White,124
809,1,Red,53
810,2,Red,50
811,3,Red,52
812,4,Red,50
813,5,Red,51
814,6,Red,54
