No.,Order,Color,Value
No.,Order,Color,Value
No.,Order,Color,Value
Phosphorus_concentrate 100 mg/L not Reagent,,,
1,1.0,White,4.0
2,2.0,White,830.0
3,3.0,White,822.0
4,4.0,White,832.0
5,5.0,White,832.0
6,6.0,White,823.0
7,7.0,White,833.0
8,8.0,White,826.0
9,9.0,White,828.0
10,10.0,White,831.0
11,11.0,White,818.0
12,12.0,White,834.0
13,13.0,White,829.0
14,14.0,White,831.0
15,1.0,Red,832.0
16,2.0,Red,343.0
17,3.0,Red,343.0
18,4.0,Red,343.0
19,5.0,Red,336.0
20,6.0,Red,343.0
21,7.0,Red,343.0
22,8.0,Red,345.0
23,9.0,Red,346.0
24,10.0,Red,348.0
25,11.0,Red,345.0
26,12.0,Red,341.0
27,13.0,Red,347.0
28,14.0,Red,339.0
29,15.0,Red,342.0
30,1.0,Green,338.0
31,2.0,Green,197.0
32,3.0,Green,198.0
33,4.0,Green,195.0
34,5.0,Green,197.0
35,6.0,Green,202.0
36,7.0,Green,198.0
37,8.0,Green,199.0
38,9.0,Green,199.0
39,10.0,Green,201.0
40,11.0,Green,201.0
41,12.0,Green,201.0
42,13.0,Green,201.0
43,14.0,Green,202.0
44,15.0,Green,197.0
45,1.0,Blue,202.0
46,2.0,Blue,336.0
47,3.0,Blue,335.0
48,4.0,Blue,337.0
49,5.0,Blue,337.0
50,6.0,Blue,337.0
51,7.0,Blue,337.0
52,8.0,Blue,333.0
53,9.0,Blue,331.0
54,10.0,Blue,337.0
55,11.0,Blue,332.0
56,12.0,Blue,336.0
57,13.0,Blue,334.0
58,14.0,Blue,331.0
59,1.0,Black,335.0
60,2.0,Black,6.0
61,3.0,Black,7.0
62,4.0,Black,5.0
63,5.0,Black,5.0
64,6.0,Black,5.0
65,7.0,Black,6.0
66,8.0,Black,5.0
67,9.0,Black,6.0
68,10.0,Black,6.0
69,11.0,Black,7.0
70,12.0,Black,5.0
71,13.0,Black,8.0
72,14.0,Black,7.0
73,15.0,Black,5.0
74,0.0,Black,5.0
75,0.0,Black,6.0
76,0.0,Black,6.0
77,0.0,Black,6.0
78,0.0,Black,4.0
79,0.0,Black,5.0
80,0.0,Black,6.0
81,0.0,Black,6.0
82,0.0,Black,5.0
83,0.0,Black,7.0
84,0.0,Black,7.0
85,0.0,Black,6.0
86,0.0,Black,6.0
87,0.0,Black,5.0
88,0.0,Black,7.0
89,1.0,White,5.0
90,2.0,White,825.0
91,3.0,White,827.0
92,4.0,White,826.0
93,5.0,White,819.0
94,6.0,White,826.0
95,7.0,White,823.0
96,8.0,White,832.0
97,9.0,White,821.0
98,10.0,White,822.0
99,11.0,White,823.0
100,12.0,White,827.0
101,13.0,White,820.0
102,14.0,White,828.0
103,1.0,Red,821.0
104,2.0,Red,341.0
105,3.0,Red,342.0
106,4.0,Red,341.0
107,5.0,Red,339.0
108,6.0,Red,346.0
109,7.0,Red,336.0
110,8.0,Red,343.0
111,9.0,Red,340.0
112,10.0,Red,341.0
113,11.0,Red,344.0
114,12.0,Red,338.0
115,13.0,Red,341.0
116,14.0,Red,343.0
117,15.0,Red,343.0
118,1.0,Green,335.0
119,2.0,Green,196.0
120,3.0,Green,195.0
121,4.0,Green,196.0
122,5.0,Green,200.0
123,6.0,Green,200.0
124,7.0,Green,196.0
125,8.0,Green,199.0
126,9.0,Green,198.0
127,10.0,Green,197.0
128,11.0,Green,200.0
129,12.0,Green,196.0
130,13.0,Green,198.0
131,14.0,Green,198.0
132,15.0,Green,199.0
133,1.0,Blue,196.0
134,2.0,Blue,326.0
135,3.0,Blue,332.0
136,4.0,Blue,338.0
137,5.0,Blue,335.0
138,6.0,Blue,333.0
139,7.0,Blue,328.0
140,8.0,Blue,335.0
141,9.0,Blue,337.0
142,10.0,Blue,334.0
143,11.0,Blue,330.0
144,12.0,Blue,335.0
145,13.0,Blue,334.0
146,14.0,Blue,332.0
147,1.0,Black,335.0
148,2.0,Black,6.0
149,3.0,Black,7.0
150,4.0,Black,6.0
151,5.0,Black,5.0
152,6.0,Black,5.0
153,7.0,Black,6.0
154,8.0,Black,7.0
155,9.0,Black,5.0
156,10.0,Black,5.0
157,11.0,Black,5.0
158,12.0,Black,5.0
159,13.0,Black,5.0
160,14.0,Black,5.0
161,15.0,Black,4.0
162,0.0,Black,6.0
163,0.0,Black,5.0
164,0.0,Black,6.0
165,0.0,Black,6.0
166,0.0,Black,5.0
167,0.0,Black,5.0
168,0.0,Black,6.0
169,0.0,Black,6.0
170,0.0,Black,5.0
171,0.0,Black,6.0
172,0.0,Black,8.0
173,0.0,Black,7.0
174,0.0,Black,6.0
175,0.0,Black,6.0
176,0.0,Black,8.0
177,1.0,White,7.0
178,2.0,White,825.0
179,3.0,White,818.0
180,4.0,White,821.0
181,5.0,White,822.0
182,6.0,White,823.0
183,7.0,White,827.0
184,8.0,White,814.0
185,9.0,White,823.0
186,10.0,White,820.0
187,11.0,White,822.0
188,12.0,White,823.0
189,13.0,White,815.0
190,14.0,White,824.0
191,1.0,Red,827.0
192,2.0,Red,342.0
193,3.0,Red,336.0
194,4.0,Red,333.0
195,5.0,Red,337.0
196,6.0,Red,343.0
197,7.0,Red,344.0
198,8.0,Red,342.0
199,9.0,Red,346.0
200,10.0,Red,334.0
201,11.0,Red,337.0
202,12.0,Red,339.0
203,13.0,Red,340.0
204,14.0,Red,339.0
205,15.0,Red,339.0
206,1.0,Green,343.0
207,2.0,Green,197.0
208,3.0,Green,197.0
209,4.0,Green,194.0
210,5.0,Green,198.0
211,6.0,Green,202.0
212,7.0,Green,195.0
213,8.0,Green,197.0
214,9.0,Green,200.0
215,10.0,Green,196.0
216,11.0,Green,197.0
217,12.0,Green,195.0
218,13.0,Green,196.0
219,14.0,Green,197.0
220,15.0,Green,200.0
221,1.0,Blue,194.0
222,2.0,Blue,335.0
223,3.0,Blue,335.0
224,4.0,Blue,330.0
225,5.0,Blue,337.0
226,6.0,Blue,329.0
227,7.0,Blue,331.0
228,8.0,Blue,335.0
229,9.0,Blue,333.0
230,10.0,Blue,332.0
231,11.0,Blue,338.0
232,12.0,Blue,336.0
233,13.0,Blue,334.0
234,14.0,Blue,330.0
235,15.0,Blue,328.0
236,1.0,Black,329.0
237,2.0,Black,7.0
238,3.0,Black,6.0
239,4.0,Black,7.0
240,5.0,Black,5.0
241,6.0,Black,6.0
242,7.0,Black,5.0
243,8.0,Black,5.0
244,9.0,Black,6.0
245,10.0,Black,8.0
246,11.0,Black,8.0
247,12.0,Black,6.0
248,13.0,Black,7.0
249,14.0,Black,8.0
250,0.0,Black,6.0
251,0.0,Black,6.0
252,0.0,Black,6.0
253,0.0,Black,7.0
254,0.0,Black,6.0
255,0.0,Black,6.0
256,0.0,Black,6.0
257,0.0,Black,6.0
258,0.0,Black,8.0
259,0.0,Black,6.0
260,0.0,Black,5.0
261,0.0,Black,7.0
262,0.0,Black,7.0
263,0.0,Black,8.0
264,0.0,Black,8.0
265,1.0,White,8.0
266,2.0,White,824.0
267,3.0,White,821.0
268,4.0,White,818.0
269,5.0,White,828.0
270,6.0,White,821.0
271,7.0,White,828.0
272,8.0,White,821.0
273,9.0,White,817.0
274,10.0,White,822.0
275,11.0,White,823.0
276,12.0,White,820.0
