No.,Order,Color,Value
No.,Order,Color,Value
1,1,White,4
2,2,White,830
3,3,White,822
4,4,White,832
5,5,White,832
6,6,White,823
7,7,White,833
8,8,White,826
9,9,White,828
10,10,White,831
11,11,White,818
12,12,White,834
13,13,White,829
14,14,White,831
15,1,Red,832
16,2,Red,343
17,3,Red,343
18,4,Red,343
19,5,Red,336
20,6,Red,343
21,7,Red,343
22,8,Red,345
23,9,Red,346
24,10,Red,348
25,11,Red,345
26,12,Red,341
27,13,Red,347
28,14,Red,339
29,15,Red,342
30,1,Green,338
31,2,Green,197
32,3,Green,198
33,4,Green,195
34,5,Green,197
35,6,Green,202
36,7,Green,198
37,8,Green,199
38,9,Green,199
39,10,Green,201
40,11,Green,201
41,12,Green,201
42,13,Green,201
43,14,Green,202
44,15,Green,197
45,1,Blue,202
46,2,Blue,336
47,3,Blue,335
48,4,Blue,337
49,5,Blue,337
50,6,Blue,337
51,7,Blue,337
52,8,Blue,333
53,9,Blue,331
54,10,Blue,337
55,11,Blue,332
56,12,Blue,336
57,13,Blue,334
58,14,Blue,331
59,1,Black,335
60,2,Black,6
61,3,Black,7
62,4,Black,5
63,5,Black,5
64,6,Black,5
65,7,Black,6
66,8,Black,5
67,9,Black,6
68,10,Black,6
69,11,Black,7
70,12,Black,5
71,13,Black,8
72,14,Black,7
73,15,Black,5
74,0,Black,5
75,0,Black,6
76,0,Black,6
77,0,Black,6
78,0,Black,4
79,0,Black,5
80,0,Black,6
81,0,Black,6
82,0,Black,5
83,0,Black,7
84,0,Black,7
85,0,Black,6
86,0,Black,6
87,0,Black,5
88,0,Black,7
89,1,White,5
90,2,White,825
91,3,White,827
92,4,White,826
93,5,White,819
94,6,White,826
95,7,White,823
96,8,White,832
97,9,White,821
98,10,White,822
99,11,White,823
100,12,White,827
101,13,White,820
102,14,White,828
103,1,Red,821
104,2,Red,341
105,3,Red,342
106,4,Red,341
107,5,Red,339
108,6,Red,346
109,7,Red,336
110,8,Red,343
111,9,Red,340
112,10,Red,341
113,11,Red,344
114,12,Red,338
115,13,Red,341
116,14,Red,343
117,15,Red,343
118,1,Green,335
119,2,Green,196
120,3,Green,195
121,4,Green,196
122,5,Green,200
123,6,Green,200
124,7,Green,196
125,8,Green,199
126,9,Green,198
127,10,Green,197
128,11,Green,200
129,12,Green,196
130,13,Green,198
131,14,Green,198
132,15,Green,199
133,1,Blue,196
134,2,Blue,326
135,3,Blue,332
136,4,Blue,338
137,5,Blue,335
138,6,Blue,333
139,7,Blue,328
140,8,Blue,335
141,9,Blue,337
142,10,Blue,334
143,11,Blue,330
144,12,Blue,335
145,13,Blue,334
146,14,Blue,332
147,1,Black,335
148,2,Black,6
149,3,Black,7
150,4,Black,6
151,5,Black,5
152,6,Black,5
153,7,Black,6
154,8,Black,7
155,9,Black,5
156,10,Black,5
157,11,Black,5
158,12,Black,5
159,13,Black,5
160,14,Black,5
161,15,Black,4
162,0,Black,6
163,0,Black,5
164,0,Black,6
165,0,Black,6
166,0,Black,5
167,0,Black,5
168,0,Black,6
169,0,Black,6
170,0,Black,5
171,0,Black,6
172,0,Black,8
173,0,Black,7
174,0,Black,6
175,0,Black,6
176,0,Black,8
177,1,White,7
178,2,White,825
179,3,White,818
180,4,White,821
181,5,White,822
182,6,White,823
183,7,White,827
184,8,White,814
185,9,White,823
186,10,White,820
187,11,White,822
188,12,White,823
189,13,White,815
190,14,White,824
191,1,Red,827
192,2,Red,342
193,3,Red,336
194,4,Red,333
195,5,Red,337
196,6,Red,343
197,7,Red,344
198,8,Red,342
199,9,Red,346
200,10,Red,334
201,11,Red,337
202,12,Red,339
203,13,Red,340
204,14,Red,339
205,15,Red,339
206,1,Green,343
207,2,Green,197
208,3,Green,197
209,4,Green,194
210,5,Green,198
211,6,Green,202
212,7,Green,195
213,8,Green,197
214,9,Green,200
215,10,Green,196
216,11,Green,197
217,12,Green,195
218,13,Green,196
219,14,Green,197
220,15,Green,200
221,1,Blue,194
222,2,Blue,335
223,3,Blue,335
224,4,Blue,330
225,5,Blue,337
226,6,Blue,329
227,7,Blue,331
228,8,Blue,335
229,9,Blue,333
230,10,Blue,332
231,11,Blue,338
232,12,Blue,336
233,13,Blue,334
234,14,Blue,330
