No.,Order,Color,Intensity
1,1,White,830.0
2,2,White,822.0
3,3,White,832.0
4,4,White,832.0
5,5,White,823.0
6,6,White,833.0
7,7,White,826.0
8,8,White,828.0
9,9,White,831.0
10,10,White,818.0
11,11,White,834.0
12,12,White,829.0
13,13,White,831.0
14,14,White,832.0
15,1,Red,343.0
16,2,Red,343.0
17,3,Red,343.0
18,4,Red,336.0
19,5,Red,343.0
20,6,Red,343.0
21,7,Red,345.0
22,8,Red,346.0
23,9,Red,348.0
24,10,Red,345.0
25,11,Red,341.0
26,12,Red,347.0
27,13,Red,339.0
28,14,Red,342.0
30,1,Green,197.0
31,2,Green,198.0
32,3,Green,195.0
33,4,Green,197.0
34,5,Green,202.0
35,6,Green,198.0
36,7,Green,199.0
37,8,Green,199.0
38,9,Green,201.0
39,10,Green,201.0
40,11,Green,201.0
41,12,Green,201.0
42,13,Green,202.0
43,14,Green,197.0
45,1,Blue,336.0
46,2,Blue,335.0
47,3,Blue,337.0
48,4,Blue,337.0
49,5,Blue,337.0
50,6,Blue,337.0
51,7,Blue,333.0
52,8,Blue,331.0
53,9,Blue,337.0
54,10,Blue,332.0
55,11,Blue,336.0
56,12,Blue,334.0
57,13,Blue,331.0
58,14,Blue,335.0
59,1,Black,6.0
60,2,Black,7.0
61,3,Black,5.0
62,4,Black,5.0
63,5,Black,5.0
64,6,Black,6.0
65,7,Black,5.0
66,8,Black,6.0
67,9,Black,6.0
68,10,Black,7.0
69,11,Black,5.0
70,12,Black,8.0
71,13,Black,7.0
72,14,Black,5.0
89,1,White,825.0
90,2,White,827.0
91,3,White,826.0
92,4,White,819.0
93,5,White,826.0
94,6,White,823.0
95,7,White,832.0
96,8,White,821.0
97,9,White,822.0
98,10,White,823.0
99,11,White,827.0
100,12,White,820.0
101,13,White,828.0
102,14,White,821.0
103,1,Red,341.0
104,2,Red,342.0
105,3,Red,341.0
106,4,Red,339.0
107,5,Red,346.0
108,6,Red,336.0
109,7,Red,343.0
110,8,Red,340.0
111,9,Red,341.0
112,10,Red,344.0
113,11,Red,338.0
114,12,Red,341.0
115,13,Red,343.0
116,14,Red,343.0
118,1,Green,196.0
119,2,Green,195.0
120,3,Green,196.0
121,4,Green,200.0
122,5,Green,200.0
123,6,Green,196.0
124,7,Green,199.0
125,8,Green,198.0
126,9,Green,197.0
127,10,Green,200.0
128,11,Green,196.0
129,12,Green,198.0
130,13,Green,198.0
131,14,Green,199.0
133,1,Blue,326.0
134,2,Blue,332.0
135,3,Blue,338.0
136,4,Blue,335.0
137,5,Blue,333.0
138,6,Blue,328.0
139,7,Blue,335.0
140,8,Blue,337.0
141,9,Blue,334.0
142,10,Blue,330.0
143,11,Blue,335.0
144,12,Blue,334.0
145,13,Blue,332.0
146,14,Blue,335.0
147,1,Black,6.0
148,2,Black,7.0
149,3,Black,6.0
150,4,Black,5.0
151,5,Black,5.0
152,6,Black,6.0
153,7,Black,7.0
154,8,Black,5.0
155,9,Black,5.0
156,10,Black,5.0
157,11,Black,5.0
158,12,Black,5.0
159,13,Black,5.0
160,14,Black,4.0
177,1,White,825.0
178,2,White,818.0
179,3,White,821.0
180,4,White,822.0
181,5,White,823.0
182,6,White,827.0
183,7,White,814.0
184,8,White,823.0
185,9,White,820.0
186,10,White,822.0
187,11,White,823.0
188,12,White,815.0
189,13,White,824.0
190,14,White,827.0
191,1,Red,342.0
192,2,Red,336.0
193,3,Red,333.0
194,4,Red,337.0
195,5,Red,343.0
196,6,Red,344.0
197,7,Red,342.0
198,8,Red,346.0
199,9,Red,334.0
200,10,Red,337.0
201,11,Red,339.0
202,12,Red,340.0
203,13,Red,339.0
204,14,Red,339.0
206,1,Green,197.0
207,2,Green,197.0
208,3,Green,194.0
209,4,Green,198.0
210,5,Green,202.0
211,6,Green,195.0
212,7,Green,197.0
213,8,Green,200.0
214,9,Green,196.0
215,10,Green,197.0
216,11,Green,195.0
217,12,Green,196.0
218,13,Green,197.0
219,14,Green,200.0
221,1,Blue,335.0
222,2,Blue,335.0
223,3,Blue,330.0
224,4,Blue,337.0
225,5,Blue,329.0
226,6,Blue,331.0
227,7,Blue,335.0
228,8,Blue,333.0
229,9,Blue,332.0
230,10,Blue,338.0
231,11,Blue,336.0
232,12,Blue,334.0
233,13,Blue,330.0
234,14,Blue,328.0
236,1,Black,7.0
237,2,Black,6.0
238,3,Black,7.0
239,4,Black,5.0
240,5,Black,6.0
241,6,Black,5.0
242,7,Black,5.0
243,8,Black,6.0
244,9,Black,8.0
245,10,Black,8.0
246,11,Black,6.0
247,12,Black,7.0
248,13,Black,8.0
249,14,Black,6.0
265,1,White,824.0
266,2,White,821.0
267,3,White,818.0
268,4,White,828.0
269,5,White,821.0
270,6,White,828.0
271,7,White,821.0
272,8,White,817.0
273,9,White,822.0
274,10,White,823.0
275,11,White,820.0
276,12,White,821.0
277,13,White,821.0
278,14,White,831.0
280,1,Red,342.0
281,2,Red,334.0
282,3,Red,345.0
283,4,Red,346.0
284,5,Red,340.0
285,6,Red,344.0
286,7,Red,336.0
287,8,Red,344.0
288,9,Red,339.0
289,10,Red,337.0
290,11,Red,338.0
291,12,Red,339.0
292,13,Red,341.0
293,14,Red,343.0
294,1,Green,195.0
295,2,Green,195.0
296,3,Green,198.0
297,4,Green,204.0
298,5,Green,198.0
299,6,Green,203.0
300,7,Green,197.0
301,8,Green,199.0
302,9,Green,198.0
303,10,Green,198.0
304,11,Green,192.0
305,12,Green,201.0
306,13,Green,198.0
307,14,Green,196.0
309,1,Blue,327.0
310,2,Blue,332.0
311,3,Blue,336.0
312,4,Blue,331.0
313,5,Blue,330.0
314,6,Blue,335.0
315,7,Blue,333.0
316,8,Blue,334.0
317,9,Blue,337.0
318,10,Blue,335.0
319,11,Blue,333.0
320,12,Blue,331.0
321,13,Blue,339.0
322,14,Blue,339.0
324,1,Black,9.0
325,2,Black,8.0
326,3,Black,7.0
327,4,Black,8.0
328,5,Black,6.0
329,6,Black,8.0
330,7,Black,7.0
331,8,Black,7.0
332,9,Black,6.0
333,10,Black,5.0
334,11,Black,6.0
335,12,Black,7.0
336,13,Black,5.0
337,14,Black,5.0
353,1,White,827.0
354,2,White,825.0
355,3,White,816.0
356,4,White,825.0
357,5,White,826.0
358,6,White,817.0
359,7,White,823.0
360,8,White,825.0
361,9,White,829.0
362,10,White,820.0
363,11,White,815.0
364,12,White,820.0
365,13,White,826.0
366,14,White,824.0
368,1,Red,339.0
369,2,Red,344.0
370,3,Red,344.0
371,4,Red,338.0
372,5,Red,343.0
373,6,Red,345.0
374,7,Red,338.0
375,8,Red,344.0
376,9,Red,338.0
377,10,Red,338.0
378,11,Red,340.0
379,12,Red,334.0
380,13,Red,344.0
381,14,Red,342.0
382,1,Green,196.0
383,2,Green,199.0
384,3,Green,196.0
385,4,Green,198.0
386,5,Green,198.0
387,6,Green,202.0
388,7,Green,197.0
389,8,Green,196.0
390,9,Green,198.0
391,10,Green,195.0
392,11,Green,197.0
393,12,Green,197.0
394,13,Green,194.0
395,14,Green,199.0
397,1,Blue,330.0
398,2,Blue,331.0
399,3,Blue,336.0
400,4,Blue,336.0
401,5,Blue,331.0
402,6,Blue,330.0
403,7,Blue,331.0
404,8,Blue,332.0
405,9,Blue,332.0
406,10,Blue,331.0
407,11,Blue,334.0
408,12,Blue,330.0
409,13,Blue,333.0
410,14,Blue,334.0
412,1,Black,4.0
413,2,Black,6.0
414,3,Black,7.0
415,4,Black,8.0
416,5,Black,6.0
417,6,Black,5.0
418,7,Black,6.0
419,8,Black,6.0
420,9,Black,6.0
421,10,Black,5.0
422,11,Black,6.0
423,12,Black,6.0
424,13,Black,6.0
425,14,Black,5.0
441,1,White,826.0
442,2,White,821.0
443,3,White,819.0
444,4,White,818.0
445,5,White,822.0
446,6,White,821.0
447,7,White,817.0
448,8,White,823.0
449,9,White,827.0
450,10,White,818.0
451,11,White,822.0
