P1000_concentrate 1,000 mg/L  time 9,000s 
1,White_1,4
2,White_2,126
3,White_3,121
4,White_4,125
5,White_5,128
6,White_6,127
7,White_7,129
8,White_8,122
9,White_9,125
10,White_10,129
11,White_11,122
12,White_12,124
13,White_13,123
14,White_14,122
15,Red_1,122
16,Red_2,53
17,Red_3,55
18,Red_4,52
19,Red_5,51
20,Red_6,57
21,Red_7,53
22,Red_8,54
23,Red_9,52
24,Red_10,53
25,Red_11,53
26,Red_12,51
27,Red_13,55
28,Red_14,55
29,Red_15,55
30,Green_1,56
31,Green_2,57
32,Green_3,56
33,Green_4,58
34,Green_5,61
35,Green_6,59
36,Green_7,56
37,Green_8,57
38,Green_9,61
39,Green_10,55
40,Green_11,58
41,Green_12,60
42,Green_13,59
43,Green_14,58
44,Blue_1,60
45,Blue_2,21
46,Blue_3,21
47,Blue_4,22
48,Blue_5,21
49,Blue_6,24
50,Blue_7,20
51,Blue_8,21
52,Blue_9,22
53,Blue_10,22
54,Blue_11,21
55,Blue_12,20
56,Blue_13,21
57,Blue_14,21
58,Blue_15,22
59,Black_1,21
60,Black_2,4
61,Black_3,4
62,Black_4,3
63,Black_5,4
64,Black_6,4
65,Black_7,5
66,Black_8,3
67,Black_9,4
68,Black_10,4
69,Black_11,4
70,Black_12,4
71,Black_13,4
72,Black_14,4
73,Black_15,4
74,Black_0,4
75,Black_0,5
76,Black_0,3
77,Black_0,4
78,Black_0,4
79,Black_0,4
80,Black_0,4
81,Black_0,4
82,Black_0,4
83,Black_0,4
84,Black_0,5
85,Black_0,3
86,Black_0,3
87,Black_0,4
88,White_1,3
89,White_2,123
90,White_3,126
91,White_4,126
92,White_5,121
93,White_6,123
94,White_7,122
95,White_8,124
96,White_9,124
97,White_10,123
98,White_11,123
99,White_12,128
100,White_13,123
101,White_14,124
102,White_15,128
103,Red_1,123
104,Red_2,51
105,Red_3,57
106,Red_4,55
107,Red_5,54
108,Red_6,53
109,Red_7,55
110,Red_8,51
111,Red_9,53
112,Red_10,56
113,Red_11,51
114,Red_12,57
115,Red_13,53
116,Red_14,56
