P1000_KH_2_PO_4 concentrate 1,000 mg/L rum time 30s/color 3 loops:
09/09/2023,13:53:24
1,White_1,5
2,White_2,548
3,White_3,545
4,White_4,539
5,White_5,543
6,White_6,540
7,White_7,539
8,White_8,539
9,White_9,532
10,White_10,534
11,White_11,532
12,White_12,530
13,White_13,532
14,White_14,526
15,White_15,532
16,White_16,533
17,White_17,523
18,White_18,534
19,White_19,529
20,White_20,526
21,White_21,525
22,White_22,525
23,White_23,523
24,White_24,525
25,White_25,523
26,White_26,525
27,White_27,527
28,White_28,521
29,White_29,523
30,Red_1,525
31,Red_2,217
32,Red_3,222
33,Red_4,221
34,Red_5,218
35,Red_6,220
36,Red_7,216
37,Red_8,214
38,Red_9,214
39,Red_10,214
40,Red_11,214
41,Red_12,219
42,Red_13,219
43,Red_14,218
44,Red_15,215
45,Red_16,217
46,Red_17,214
47,Red_18,216
48,Red_19,217
49,Red_20,212
50,Red_21,217
51,Red_22,218
52,Red_23,211
53,Red_24,217
54,Red_25,213
55,Red_26,213
56,Red_27,216
57,Red_28,217
58,Green_1,215
59,Green_2,135
60,Green_3,138
61,Green_4,135
62,Green_5,135
63,Green_6,137
64,Green_7,136
65,Green_8,136
66,Green_9,136
67,Green_10,141
68,Green_11,139
69,Green_12,135
70,Green_13,137
71,Green_14,139
72,Green_15,134
73,Green_16,138
74,Green_17,136
75,Green_18,138
76,Green_19,133
77,Green_20,140
78,Green_21,136
79,Green_22,140
80,Green_23,138
81,Green_24,132
82,Green_25,137
83,Green_26,139
84,Green_27,132
85,Green_28,132
86,Green_29,135
87,Blue_1,133
88,Blue_2,172
89,Blue_3,172
90,Blue_4,165
91,Blue_5,168
92,Blue_6,169
93,Blue_7,165
94,Blue_8,165
95,Blue_9,165
96,Blue_10,170
97,Blue_11,165
98,Blue_12,172
99,Blue_13,168
100,Blue_14,164
101,Blue_15,163
102,Blue_16,164
103,Blue_17,168
104,Blue_18,167
105,Blue_19,165
106,Blue_20,167
107,Blue_21,164
108,Blue_22,164
109,Blue_23,167
110,Blue_24,163
111,Blue_25,167
112,Blue_26,162
113,Blue_27,159
114,Blue_28,160
115,Blue_29,160
116,Black_1,159
117,Black_2,3
118,Black_3,5
119,Black_4,4
120,Black_5,4
121,Black_6,4
122,Black_7,4
123,Black_8,4
124,Black_9,4
125,Black_10,4
126,Black_11,4
127,Black_12,5
128,Black_13,4
129,Black_14,5
130,Black_15,4
131,Black_16,3
132,Black_17,4
133,Black_18,5
134,Black_19,4
135,Black_20,5
136,Black_21,4
137,Black_22,4
138,Black_23,5
139,Black_24,4
140,Black_25,4
141,Black_26,4
142,Black_27,4
143,Black_28,4
144,Black_29,4
145,Black_0,4
146,Black_0,4
147,Black_0,4
148,Black_0,5
149,Black_0,4
150,Black_0,4
151,Black_0,4
152,Black_0,4
153,Black_0,4
154,Black_0,5
155,Black_0,4
156,Black_0,4
157,Black_0,4
158,Black_0,4
159,Black_0,5
160,Black_0,5
161,Black_0,4
162,Black_0,4
163,Black_0,4
164,Black_0,4
165,Black_0,4
166,Black_0,4
167,Black_0,4
168,Black_0,5
169,Black_0,4
170,Black_0,4
171,Black_0,4
172,Black_0,5
173,White_1,5
174,White_2,461
175,White_3,451
176,White_4,459
177,White_5,455
178,White_6,449
179,White_7,462
180,White_8,455
181,White_9,452
182,White_10,450
183,White_11,455
184,White_12,460
185,White_13,459
186,White_14,457
187,White_15,449
188,White_16,456
189,White_17,454
190,White_18,456
191,White_19,451
192,White_20,449
193,White_21,454
194,White_22,456
195,White_23,449
196,White_24,453
197,White_25,449
198,White_26,451
199,White_27,448
200,White_28,444
201,White_29,452
202,Red_1,447
203,Red_2,196
204,Red_3,191
205,Red_4,185
206,Red_5,194
207,Red_6,189
208,Red_7,190
209,Red_8,191
210,Red_9,191
211,Red_10,185
212,Red_11,190
213,Red_12,187
214,Red_13,191
215,Red_14,188
216,Red_15,187
217,Red_16,187
218,Red_17,187
219,Red_18,186
220,Red_19,184
221,Red_20,182
222,Red_21,186
223,Red_22,189
224,Red_23,182
225,Red_24,187
226,Red_25,184
227,Red_26,185
228,Red_27,186
229,Red_28,180
230,Red_29,184
231,Green_1,190
232,Green_2,128
233,Green_3,127
234,Green_4,124
235,Green_5,128
236,Green_6,124
237,Green_7,130
238,Green_8,127
239,Green_9,125
240,Green_10,125
241,Green_11,128
242,Green_12,130
243,Green_13,128
244,Green_14,128
245,Green_15,126
246,Green_16,131
247,Green_17,125
248,Green_18,127
249,Green_19,124
250,Green_20,124
251,Green_21,129
252,Green_22,131
253,Green_23,131
254,Green_24,124
255,Green_25,127
256,Green_26,125
257,Green_27,124
258,Green_28,124
259,Green_29,126
260,Blue_1,127
261,Blue_2,142
262,Blue_3,139
263,Blue_4,141
264,Blue_5,142
265,Blue_6,135
266,Blue_7,135
267,Blue_8,136
268,Blue_9,140
269,Blue_10,134
270,Blue_11,141
271,Blue_12,141
272,Blue_13,136
273,Blue_14,138
274,Blue_15,137
275,Blue_16,135
276,Blue_17,138
277,Blue_18,137
278,Blue_19,135
279,Blue_20,138
280,Blue_21,135
281,Blue_22,141
282,Blue_23,132
283,Blue_24,136
284,Blue_25,135
285,Blue_26,137
286,Blue_27,135
287,Blue_28,135
288,Black_1,138
289,Black_2,5
290,Black_3,4
291,Black_4,5
292,Black_5,4
293,Black_6,5
294,Black_7,5
295,Black_8,4
296,Black_9,3
297,Black_10,4
298,Black_11,4
299,Black_12,5
300,Black_13,5
301,Black_14,5
302,Black_15,5
303,Black_16,4
304,Black_17,4
305,Black_18,4
306,Black_19,5
307,Black_20,4
308,Black_21,5
309,Black_22,4
310,Black_23,5
311,Black_24,5
