P1000_KH_2_PO_4 concentrate 1,000 mg/L rum time 30s/color 3 loops :NPKautoT:
09/09/2023,15:30:09
1,White_1,5
2,White_2,250
3,White_3,246
4,White_4,249
5,White_5,255
6,White_6,249
7,White_7,248
8,White_8,251
9,White_9,256
10,White_10,251
11,White_11,251
12,White_12,249
13,White_13,253
14,White_14,247
15,White_15,249
16,White_16,254
17,White_17,252
18,White_18,251
19,White_19,249
20,White_20,246
21,White_21,253
22,White_22,248
23,White_23,247
24,White_24,249
25,White_25,248
26,White_26,249
27,White_27,252
28,White_28,250
29,Red_1,249
30,Red_2,101
31,Red_3,105
32,Red_4,100
33,Red_5,99
34,Red_6,106
35,Red_7,100
36,Red_8,102
37,Red_9,102
38,Red_10,102
39,Red_11,104
40,Red_12,107
41,Red_13,102
42,Red_14,104
43,Red_15,107
44,Red_16,102
45,Red_17,102
46,Red_18,100
47,Red_19,107
48,Red_20,100
49,Red_21,102
50,Red_22,101
51,Red_23,101
52,Red_24,105
53,Red_25,107
54,Red_26,103
55,Red_27,100
56,Red_28,102
57,Red_29,102
58,Green_1,104
59,Green_2,105
60,Green_3,103
61,Green_4,103
62,Green_5,102
63,Green_6,107
64,Green_7,101
65,Green_8,101
66,Green_9,103
67,Green_10,105
68,Green_11,106
69,Green_12,105
70,Green_13,101
71,Green_14,105
72,Green_15,104
73,Green_16,104
74,Green_17,104
75,Green_18,105
76,Green_19,107
77,Green_20,103
78,Green_21,108
79,Green_22,104
80,Green_23,103
81,Green_24,103
82,Green_25,103
83,Green_26,107
84,Green_27,105
85,Green_28,104
86,Blue_1,106
87,Blue_2,53
88,Blue_3,49
89,Blue_4,55
90,Blue_5,49
91,Blue_6,53
92,Blue_7,54
93,Blue_8,53
94,Blue_9,53
95,Blue_10,50
96,Blue_11,51
97,Blue_12,52
98,Blue_13,52
99,Blue_14,52
100,Blue_15,52
101,Blue_16,49
102,Blue_17,52
103,Blue_18,53
104,Blue_19,54
105,Blue_20,53
106,Blue_21,51
107,Blue_22,51
108,Blue_23,53
109,Blue_24,52
110,Blue_25,54
111,Blue_26,51
112,Blue_27,52
113,Blue_28,54
114,Blue_29,51
115,Black_1,51
116,Black_2,4
117,Black_3,4
118,Black_4,3
119,Black_5,4
120,Black_6,4
121,Black_7,4
122,Black_8,4
123,Black_9,5
124,Black_10,4
125,Black_11,4
126,Black_12,5
127,Black_13,3
128,Black_14,4
129,Black_15,4
130,Black_16,5
131,Black_17,4
132,Black_18,5
133,Black_19,4
134,Black_20,4
135,Black_21,4
136,Black_22,5
137,Black_23,3
