P1000_Empty_KH_2_PO_4 concentrate 1,000 mg/L rum time 30s/color 3 loops:
09/09/2023,13:30:22
1,White_1,5
2,White_2,678
3,White_3,674
4,White_4,683
5,White_5,679
6,White_6,683
7,White_7,678
8,White_8,679
9,White_9,679
10,White_10,679
11,White_11,678
12,White_12,673
13,White_13,682
14,White_14,686
15,White_15,674
16,White_16,684
17,White_17,683
18,White_18,675
19,White_19,682
20,White_20,683
21,White_21,676
22,White_22,670
23,White_23,679
24,White_24,673
25,White_25,670
26,White_26,673
27,White_27,680
28,White_28,678
29,White_29,684
30,Red_1,682
31,Red_2,272
32,Red_3,268
33,Red_4,274
34,Red_5,273
35,Red_6,270
36,Red_7,276
37,Red_8,269
38,Red_9,274
39,Red_10,276
40,Red_11,274
41,Red_12,271
42,Red_13,274
43,Red_14,269
44,Red_15,274
45,Red_16,278
46,Red_17,273
47,Red_18,277
48,Red_19,271
49,Red_20,266
50,Red_21,277
51,Red_22,273
52,Red_23,271
53,Red_24,275
54,Red_25,270
55,Red_26,274
56,Red_27,275
57,Red_28,269
58,Red_29,267
59,Green_1,273
60,Green_2,163
61,Green_3,161
62,Green_4,162
63,Green_5,160
64,Green_6,164
65,Green_7,158
66,Green_8,162
67,Green_9,162
68,Green_10,159
69,Green_11,162
70,Green_12,163
71,Green_13,161
72,Green_14,163
73,Green_15,162
74,Green_16,158
75,Green_17,159
76,Green_18,158
77,Green_19,158
78,Green_20,158
79,Green_21,157
80,Green_22,161
81,Green_23,158
82,Green_24,160
83,Green_25,164
84,Green_26,160
85,Green_27,164
86,Green_28,159
87,Blue_1,164
88,Blue_2,279
89,Blue_3,282
90,Blue_4,284
91,Blue_5,278
92,Blue_6,283
93,Blue_7,279
94,Blue_8,279
95,Blue_9,281
96,Blue_10,280
97,Blue_11,281
98,Blue_12,282
99,Blue_13,285
100,Blue_14,281
101,Blue_15,283
102,Blue_16,279
103,Blue_17,281
104,Blue_18,279
105,Blue_19,278
106,Blue_20,282
107,Blue_21,279
108,Blue_22,281
109,Blue_23,278
110,Blue_24,279
111,Blue_25,282
112,Blue_26,278
113,Blue_27,283
114,Blue_28,277
115,Blue_29,286
116,Black_1,282
117,Black_2,6
118,Black_3,6
119,Black_4,6
120,Black_5,6
121,Black_6,7
122,Black_7,7
123,Black_8,7
124,Black_9,5
125,Black_10,6
126,Black_11,6
127,Black_12,8
128,Black_13,7
129,Black_14,8
130,Black_15,8
131,Black_16,7
132,Black_17,6
133,Black_18,7
134,Black_19,6
135,Black_20,6
136,Black_21,7
137,Black_22,6
138,Black_23,5
139,Black_24,6
140,Black_25,7
141,Black_26,5
142,Black_27,6
143,Black_28,6
144,Black_29,7
145,Black_0,8
146,Black_0,7
147,Black_0,6
148,Black_0,7
149,Black_0,7
150,Black_0,7
151,Black_0,5
152,Black_0,5
153,Black_0,6
154,Black_0,5
155,Black_0,6
156,Black_0,6
157,Black_0,5
158,Black_0,7
159,Black_0,5
160,Black_0,5
161,Black_0,5
162,Black_0,7
163,Black_0,6
164,Black_0,7
165,Black_0,6
166,Black_0,6
167,Black_0,6
168,Black_0,5
169,Black_0,5
170,Black_0,6
171,Black_0,6
172,Black_0,6
173,Black_0,5
174,White_1,6
175,White_2,678
176,White_3,679
177,White_4,678
178,White_5,683
179,White_6,684
180,White_7,684
181,White_8,674
182,White_9,678
183,White_10,681
184,White_11,681
185,White_12,676
186,White_13,685
187,White_14,674
188,White_15,682
189,White_16,670
190,White_17,682
191,White_18,677
192,White_19,681
193,White_20,686
194,White_21,682
195,White_22,677
196,White_23,683
197,White_24,677
198,White_25,680
199,White_26,677
200,White_27,680
201,White_28,683
202,White_29,679
203,Red_1,675
204,Red_2,271
205,Red_3,271
206,Red_4,273
207,Red_5,272
208,Red_6,276
209,Red_7,277
