P1000_No_Reagent_ concentrate 1,000 mg/L No Reagent -1Day of Solution time 9,000s
1,White_1,4
2,White_2,738
3,White_3,745
4,White_4,746
5,White_5,745
6,White_6,742
7,White_7,744
8,White_8,745
9,White_9,744
10,White_10,750
11,White_11,748
12,White_12,749
13,White_13,742
14,White_14,748
15,Red_1,747
16,Red_2,302
17,Red_3,307
18,Red_4,300
19,Red_5,301
20,Red_6,303
21,Red_7,305
22,Red_8,302
23,Red_9,297
24,Red_10,305
25,Red_11,302
26,Red_12,301
27,Red_13,296
28,Red_14,297
29,Red_15,302
30,Green_1,296
31,Green_2,162
32,Green_3,162
33,Green_4,162
34,Green_5,164
35,Green_6,166
36,Green_7,161
37,Green_8,168
38,Green_9,162
39,Green_10,161
40,Green_11,166
41,Green_12,164
42,Green_13,167
43,Green_14,161
44,Green_15,168
45,Blue_1,158
46,Blue_2,315
47,Blue_3,312
48,Blue_4,313
49,Blue_5,311
50,Blue_6,310
51,Blue_7,314
52,Blue_8,311
53,Blue_9,315
54,Blue_10,315
55,Blue_11,312
56,Blue_12,311
57,Blue_13,310
58,Blue_14,316
59,Black_1,309
60,Black_2,5
61,Black_3,6
62,Black_4,5
63,Black_5,4
64,Black_6,4
65,Black_7,5
66,Black_8,4
67,Black_9,6
68,Black_10,5
69,Black_11,5
70,Black_12,5
71,Black_13,5
72,Black_14,5
73,Black_15,5
74,Black_0,5
75,Black_0,6
76,Black_0,4
77,Black_0,6
78,Black_0,4
79,Black_0,5
80,Black_0,5
81,Black_0,5
82,Black_0,4
83,Black_0,4
84,Black_0,5
85,Black_0,5
86,Black_0,5
87,Black_0,5
88,White_1,4
89,White_2,740
90,White_3,743
91,White_4,744
92,White_5,746
93,White_6,744
94,White_7,744
95,White_8,739
96,White_9,743
97,White_10,744
98,White_11,743
99,White_12,741
100,White_13,740
101,White_14,739
102,White_15,745
103,Red_1,743
104,Red_2,302
105,Red_3,299
106,Red_4,299
107,Red_5,304
108,Red_6,300
109,Red_7,299
110,Red_8,304
111,Red_9,302
112,Red_10,301
113,Red_11,299
114,Red_12,304
115,Red_13,295
116,Red_14,303
117,Green_1,305
118,Green_2,163
119,Green_3,167
120,Green_4,159
121,Green_5,164
122,Green_6,159
123,Green_7,163
124,Green_8,163
125,Green_9,165
126,Green_10,161
127,Green_11,165
128,Green_12,163
129,Green_13,163
130,Green_14,161
131,Green_15,165
132,Blue_1,164
133,Blue_2,312
134,Blue_3,311
135,Blue_4,309
136,Blue_5,307
137,Blue_6,313
138,Blue_7,308
139,Blue_8,315
140,Blue_9,313
141,Blue_10,307
142,Blue_11,306
143,Blue_12,310
144,Blue_13,312
145,Blue_14,310
146,Blue_15,316
147,Black_1,310
148,Black_2,5
149,Black_3,4
150,Black_4,5
151,Black_5,5
152,Black_6,5
153,Black_7,5
154,Black_8,4
155,Black_9,5
156,Black_10,5
157,Black_11,4
158,Black_12,4
159,Black_13,5
160,Black_14,4
161,Black_0,4
162,Black_0,5
163,Black_0,5
164,Black_0,4
165,Black_0,5
166,Black_0,4
167,Black_0,4
168,Black_0,5
169,Black_0,5
170,Black_0,4
171,Black_0,5
172,Black_0,5
173,Black_0,5
174,Black_0,5
175,Black_0,6
176,White_1,6
177,White_2,743
178,White_3,742
179,White_4,742
180,White_5,742
181,White_6,742
182,White_7,744
183,White_8,737
184,White_9,743
185,White_10,736
186,White_11,743
187,White_12,736
188,White_13,734
189,White_14,738
190,Red_1,736
191,Red_2,301
192,Red_3,305
193,Red_4,297
194,Red_5,299
195,Red_6,299
196,Red_7,300
197,Red_8,305
198,Red_9,305
199,Red_10,305
200,Red_11,299
201,Red_12,305
202,Red_13,297
203,Red_14,298
204,Red_15,298
205,Green_1,295
206,Green_2,162
207,Green_3,157
208,Green_4,164
209,Green_5,158
210,Green_6,159
211,Green_7,161
212,Green_8,159
213,Green_9,159
214,Green_10,161
215,Green_11,166
216,Green_12,166
217,Green_13,165
218,Green_14,165
219,Blue_1,162
220,Blue_2,315
221,Blue_3,310
222,Blue_4,313
223,Blue_5,309
224,Blue_6,307
225,Blue_7,307
226,Blue_8,309
227,Blue_9,310
228,Blue_10,311
229,Blue_11,309
230,Blue_12,307
231,Blue_13,307
232,Blue_14,306
233,Blue_15,311
234,Black_1,316
235,Black_2,4
236,Black_3,4
237,Black_4,6
238,Black_5,4
239,Black_6,5
240,Black_7,5
241,Black_8,4
242,Black_9,5
243,Black_10,5
244,Black_11,5
245,Black_12,5
246,Black_13,4
247,Black_14,5
248,Black_15,4
249,Black_0,5
250,Black_0,6
251,Black_0,5
252,Black_0,4
253,Black_0,4
254,Black_0,4
255,Black_0,5
256,Black_0,4
257,Black_0,4
258,Black_0,4
259,Black_0,4
260,Black_0,5
261,Black_0,5
262,Black_0,4
263,White_1,4
264,White_2,733
265,White_3,736
266,White_4,739
267,White_5,736
268,White_6,736
269,White_7,735
270,White_8,739
271,White_9,734
272,White_10,732
273,White_11,732
274,White_12,735
275,White_13,729
276,White_14,739
277,White_15,742
278,Red_1,740
279,Red_2,299
280,Red_3,298
281,Red_4,304
282,Red_5,301
283,Red_6,306
284,Red_7,299
285,Red_8,304
286,Red_9,304
287,Red_10,293
288,Red_11,301
289,Red_12,302
290,Red_13,299
291,Red_14,302
292,Green_1,302
293,Green_2,158
294,Green_3,158
295,Green_4,160
296,Green_5,163
297,Green_6,159
298,Green_7,166
299,Green_8,157
300,Green_9,159
301,Green_10,164
302,Green_11,157
303,Green_12,158
304,Green_13,164
305,Green_14,162
306,Green_15,159
307,Blue_1,161
308,Blue_2,312
309,Blue_3,312
310,Blue_4,314
311,Blue_5,310
312,Blue_6,310
313,Blue_7,313
314,Blue_8,309
315,Blue_9,309
316,Blue_10,309
317,Blue_11,306
318,Blue_12,311
319,Blue_13,308
320,Blue_14,310
321,Black_1,312
322,Black_2,4
323,Black_3,5
324,Black_4,5
325,Black_5,5
326,Black_6,5
327,Black_7,5
328,Black_8,4
329,Black_9,4
330,Black_10,4
331,Black_11,6
332,Black_12,5
333,Black_13,5
334,Black_14,4
335,Black_15,5
336,Black_0,4
337,Black_0,5
338,Black_0,4
339,Black_0,5
340,Black_0,5
341,Black_0,5
342,Black_0,5
343,Black_0,5
344,Black_0,4
345,Black_0,5
346,Black_0,4
347,Black_0,5
348,Black_0,5
349,Black_0,5
350,Black_0,4
351,White_1,5
352,White_2,735
353,White_3,741
354,White_4,736
355,White_5,733
356,White_6,741
357,White_7,737
358,White_8,735
359,White_9,740
360,White_10,733
