P1000_No_Reagent_KH_2_PO_4 concentrate 1,000 mg/L rum time 30s/color 3 loops:
09/09/2023,13:43:46
1,White_1,5
2,White_2,819
3,White_3,820
4,White_4,822
5,White_5,821
6,White_6,823
7,White_7,813
8,White_8,817
9,White_9,819
10,White_10,813
11,White_11,823
12,White_12,811
13,White_13,820
14,White_14,813
15,White_15,817
16,White_16,816
17,White_17,820
18,White_18,806
19,White_19,814
20,White_20,816
21,White_21,815
22,White_22,816
23,White_23,816
24,White_24,820
25,White_25,812
26,White_26,814
27,White_27,822
28,White_28,816
29,Red_1,817
30,Red_2,335
31,Red_3,333
32,Red_4,325
33,Red_5,335
34,Red_6,334
35,Red_7,337
36,Red_8,338
37,Red_9,331
38,Red_10,331
39,Red_11,332
40,Red_12,331
41,Red_13,333
42,Red_14,334
43,Red_15,331
44,Red_16,328
45,Red_17,333
46,Red_18,334
47,Red_19,333
48,Red_20,326
49,Red_21,332
50,Red_22,333
51,Red_23,328
52,Red_24,335
53,Red_25,329
54,Red_26,330
55,Red_27,333
56,Red_28,334
57,Red_29,333
58,Green_1,336
59,Green_2,198
60,Green_3,201
61,Green_4,200
62,Green_5,201
63,Green_6,202
64,Green_7,199
65,Green_8,200
66,Green_9,202
67,Green_10,204
68,Green_11,199
69,Green_12,201
70,Green_13,202
71,Green_14,201
72,Green_15,197
73,Green_16,202
74,Green_17,200
75,Green_18,201
76,Green_19,203
77,Green_20,198
78,Green_21,201
79,Green_22,205
80,Green_23,204
81,Green_24,202
82,Green_25,205
83,Green_26,197
84,Green_27,202
85,Green_28,200
86,Green_29,202
87,Blue_1,202
88,Blue_2,320
89,Blue_3,325
90,Blue_4,323
91,Blue_5,324
92,Blue_6,324
93,Blue_7,327
94,Blue_8,325
95,Blue_9,317
96,Blue_10,326
97,Blue_11,320
98,Blue_12,331
99,Blue_13,332
100,Blue_14,320
101,Blue_15,327
102,Blue_16,329
103,Blue_17,324
104,Blue_18,330
105,Blue_19,328
106,Blue_20,332
107,Blue_21,327
108,Blue_22,324
109,Blue_23,327
110,Blue_24,327
111,Blue_25,327
112,Blue_26,327
113,Blue_27,328
114,Blue_28,325
115,Blue_29,327
116,Black_1,329
117,Black_2,5
118,Black_3,6
119,Black_4,5
120,Black_5,6
121,Black_6,6
122,Black_7,6
123,Black_8,5
124,Black_9,5
125,Black_10,5
126,Black_11,4
127,Black_12,5
128,Black_13,6
129,Black_14,5
130,Black_15,5
131,Black_16,6
132,Black_17,6
133,Black_18,5
134,Black_19,5
135,Black_20,6
136,Black_21,5
137,Black_22,5
138,Black_23,6
139,Black_24,6
140,Black_25,6
141,Black_26,5
142,Black_27,6
143,Black_28,5
144,Black_0,5
145,Black_0,6
146,Black_0,5
147,Black_0,5
148,Black_0,5
149,Black_0,4
150,Black_0,4
151,Black_0,5
152,Black_0,5
153,Black_0,5
154,Black_0,5
155,Black_0,5
156,Black_0,4
157,Black_0,6
158,Black_0,5
159,Black_0,5
160,Black_0,6
161,Black_0,5
162,Black_0,5
163,Black_0,6
164,Black_0,6
165,Black_0,6
166,Black_0,5
167,Black_0,5
168,Black_0,5
169,Black_0,5
170,Black_0,4
171,Black_0,5
172,Black_0,4
173,White_1,5
174,White_2,816
175,White_3,812
176,White_4,812
177,White_5,813
178,White_6,811
179,White_7,802
180,White_8,816
181,White_9,815
182,White_10,819
183,White_11,813
184,White_12,812
185,White_13,810
186,White_14,813
187,White_15,815
188,White_16,811
189,White_17,810
190,White_18,810
191,White_19,813
192,White_20,816
193,White_21,808
194,White_22,818
195,White_23,808
196,White_24,813
197,White_25,814
198,White_26,811
199,White_27,803
200,White_28,815
201,White_29,811
202,Red_1,817
203,Red_2,330
204,Red_3,331
205,Red_4,335
206,Red_5,330
207,Red_6,331
208,Red_7,328
209,Red_8,332
210,Red_9,329
211,Red_10,331
212,Red_11,328
213,Red_12,331
214,Red_13,329
215,Red_14,333
216,Red_15,330
217,Red_16,329
218,Red_17,329
219,Red_18,334
220,Red_19,334
221,Red_20,335
222,Red_21,333
223,Red_22,331
224,Red_23,336
225,Red_24,326
226,Red_25,329
227,Red_26,330
228,Red_27,331
229,Red_28,330
230,Red_29,329
231,Green_1,331
232,Green_2,196
233,Green_3,202
234,Green_4,201
235,Green_5,203
236,Green_6,202
237,Green_7,203
238,Green_8,197
239,Green_9,200
240,Green_10,200
241,Green_11,198
242,Green_12,200
243,Green_13,197
244,Green_14,199
245,Green_15,198
246,Green_16,199
247,Green_17,205
248,Green_18,198
249,Green_19,198
250,Green_20,201
251,Green_21,205
252,Green_22,197
253,Green_23,199
254,Green_24,200
255,Green_25,203
256,Green_26,198
257,Green_27,204
258,Green_28,197
259,Blue_1,196
260,Blue_2,326
261,Blue_3,330
262,Blue_4,324
263,Blue_5,324
264,Blue_6,327
265,Blue_7,324
266,Blue_8,331
267,Blue_9,327
268,Blue_10,330
269,Blue_11,328
270,Blue_12,329
271,Blue_13,323
272,Blue_14,327
273,Blue_15,324
274,Blue_16,323
275,Blue_17,323
276,Blue_18,328
277,Blue_19,325
278,Blue_20,331
279,Blue_21,327
280,Blue_22,332
281,Blue_23,328
282,Blue_24,323
283,Blue_25,324
284,Blue_26,330
285,Blue_27,327
286,Blue_28,322
287,Blue_29,323
288,Black_1,326
289,Black_2,6
290,Black_3,5
291,Black_4,5
292,Black_5,5
293,Black_6,5
294,Black_7,6
295,Black_8,4
296,Black_9,5
297,Black_10,5
298,Black_11,4
299,Black_12,4
300,Black_13,5
301,Black_14,6
302,Black_15,5
303,Black_16,5
304,Black_17,6
305,Black_18,6
306,Black_19,5
307,Black_20,6
308,Black_21,4
309,Black_22,5
310,Black_23,4
311,Black_24,4
312,Black_25,6
313,Black_26,6
314,Black_27,5
315,Black_28,5
316,Black_29,5
317,Black_0,5
318,Black_0,4
319,Black_0,5
320,Black_0,5
321,Black_0,5
322,Black_0,4
323,Black_0,5
324,Black_0,5
325,Black_0,6
326,Black_0,5
327,Black_0,5
328,Black_0,5
329,Black_0,5
330,Black_0,5
331,Black_0,5
332,Black_0,4
333,Black_0,5
334,Black_0,5
335,Black_0,6
336,Black_0,6
337,Black_0,6
338,Black_0,6
339,Black_0,5
340,Black_0,6
341,Black_0,7
342,Black_0,6
343,Black_0,5
344,Black_0,5
345,White_1,5
346,White_2,803
347,White_3,813
348,White_4,807
349,White_5,815
350,White_6,814
351,White_7,810
352,White_8,812
353,White_9,811
354,White_10,804
355,White_11,813
356,White_12,812
357,White_13,813
358,White_14,807
359,White_15,815
360,White_16,812
361,White_17,812
362,White_18,812
363,White_19,815
364,White_20,811
365,White_21,808
366,White_22,814
367,White_23,809
368,White_24,809
369,White_25,801
370,White_26,813
371,White_27,812
372,White_28,812
373,White_29,812
374,Red_1,808
375,Red_2,332
376,Red_3,328
377,Red_4,331
378,Red_5,333
379,Red_6,329
380,Red_7,335
381,Red_8,331
382,Red_9,328
383,Red_10,328
384,Red_11,330
385,Red_12,330
386,Red_13,334
