P100_KH_2_PO_4 concentrate 100 mg/L rum time 30s/color 3 loops:
09/09/2023,14:15:10
1,White_1,4
2,White_2,321
3,White_3,311
4,White_4,315
5,White_5,314
6,White_6,316
7,White_7,314
8,White_8,317
9,White_9,309
10,White_10,306
11,White_11,306
12,White_12,302
13,White_13,309
14,White_14,309
15,White_15,305
16,White_16,307
17,White_17,303
18,White_18,299
19,White_19,299
20,White_20,301
21,White_21,302
22,White_22,298
23,White_23,298
24,White_24,299
25,White_25,295
26,White_26,303
27,White_27,303
28,White_28,300
29,White_29,299
30,Red_1,291
31,Red_2,128
32,Red_3,131
33,Red_4,127
34,Red_5,129
35,Red_6,127
36,Red_7,130
37,Red_8,126
38,Red_9,128
39,Red_10,128
40,Red_11,129
41,Red_12,125
42,Red_13,126
43,Red_14,126
44,Red_15,124
45,Red_16,127
46,Red_17,122
47,Red_18,123
48,Red_19,125
49,Red_20,129
50,Red_21,127
51,Red_22,126
52,Red_23,124
53,Red_24,124
54,Red_25,128
55,Red_26,123
56,Red_27,127
57,Red_28,124
58,Green_1,120
59,Green_2,94
60,Green_3,94
61,Green_4,94
62,Green_5,100
63,Green_6,97
64,Green_7,99
65,Green_8,95
66,Green_9,93
67,Green_10,98
68,Green_11,96
69,Green_12,100
70,Green_13,98
71,Green_14,93
72,Green_15,94
73,Green_16,94
74,Green_17,99
75,Green_18,94
76,Green_19,93
77,Green_20,94
78,Green_21,96
79,Green_22,97
80,Green_23,97
81,Green_24,94
82,Green_25,91
83,Green_26,96
84,Green_27,93
85,Green_28,96
86,Green_29,95
87,Blue_1,95
88,Blue_2,70
89,Blue_3,66
90,Blue_4,67
91,Blue_5,68
92,Blue_6,70
93,Blue_7,72
94,Blue_8,71
95,Blue_9,69
96,Blue_10,70
97,Blue_11,68
98,Blue_12,68
99,Blue_13,68
100,Blue_14,71
101,Blue_15,67
102,Blue_16,65
103,Blue_17,67
104,Blue_18,68
105,Blue_19,67
106,Blue_20,65
107,Blue_21,66
108,Blue_22,69
109,Blue_23,64
110,Blue_24,65
111,Blue_25,68
112,Blue_26,70
113,Blue_27,68
114,Blue_28,67
115,Blue_29,64
116,Black_1,65
117,Black_2,4
118,Black_3,5
119,Black_4,4
120,Black_5,6
121,Black_6,4
122,Black_7,5
123,Black_8,5
124,Black_9,4
125,Black_10,6
126,Black_11,6
127,Black_12,5
128,Black_13,4
129,Black_14,5
130,Black_15,5
131,Black_16,5
132,Black_17,5
133,Black_18,5
134,Black_19,6
135,Black_20,4
136,Black_21,5
137,Black_22,5
138,Black_23,4
139,Black_24,5
140,Black_25,5
141,Black_26,5
142,Black_27,5
143,Black_28,4
144,Black_29,5
145,Black_0,5
146,Black_0,4
147,Black_0,5
148,Black_0,4
149,Black_0,5
150,Black_0,5
151,Black_0,4
152,Black_0,4
153,Black_0,4
154,Black_0,6
155,Black_0,4
156,Black_0,5
157,Black_0,6
158,Black_0,4
159,Black_0,5
160,Black_0,4
161,Black_0,5
162,Black_0,4
163,Black_0,4
164,Black_0,5
165,Black_0,4
166,Black_0,5
167,Black_0,5
168,Black_0,5
169,Black_0,4
170,Black_0,4
171,Black_0,4
172,Black_0,4
173,White_1,5
174,White_2,254
175,White_3,255
176,White_4,262
177,White_5,253
178,White_6,257
179,White_7,259
180,White_8,258
181,White_9,255
182,White_10,253
183,White_11,257
184,White_12,253
185,White_13,258
186,White_14,259
187,White_15,259
188,White_16,253
189,White_17,258
190,White_18,253
191,White_19,256
192,White_20,258
193,White_21,258
194,White_22,253
195,White_23,251
196,White_24,252
197,White_25,253
198,White_26,258
199,White_27,259
200,White_28,253
201,White_29,250
202,Red_1,252
203,Red_2,113
204,Red_3,109
205,Red_4,113
206,Red_5,109
207,Red_6,113
208,Red_7,107
209,Red_8,112
210,Red_9,107
211,Red_10,114
212,Red_11,108
213,Red_12,109
214,Red_13,113
215,Red_14,113
216,Red_15,107
217,Red_16,108
218,Red_17,111
219,Red_18,108
220,Red_19,114
221,Red_20,111
222,Red_21,107
223,Red_22,113
224,Red_23,112
225,Red_24,111
226,Red_25,105
227,Red_26,108
228,Red_27,113
229,Red_28,111
230,Red_29,110
231,Green_1,113
232,Green_2,95
233,Green_3,87
234,Green_4,89
235,Green_5,93
236,Green_6,91
237,Green_7,87
238,Green_8,90
239,Green_9,92
240,Green_10,89
241,Green_11,90
242,Green_12,89
243,Green_13,94
244,Green_14,90
245,Green_15,90
246,Green_16,92
247,Green_17,96
248,Green_18,91
249,Green_19,88
250,Green_20,92
251,Green_21,93
252,Green_22,94
253,Green_23,91
254,Green_24,89
255,Green_25,92
256,Green_26,89
257,Green_27,91
258,Green_28,94
259,Green_29,88
260,Blue_1,93
261,Blue_2,63
262,Blue_3,60
263,Blue_4,61
264,Blue_5,62
265,Blue_6,61
266,Blue_7,60
267,Blue_8,62
268,Blue_9,62
269,Blue_10,58
270,Blue_11,62
271,Blue_12,59
272,Blue_13,58
273,Blue_14,61
274,Blue_15,59
275,Blue_16,58
276,Blue_17,58
277,Blue_18,58
278,Blue_19,61
279,Blue_20,60
280,Blue_21,62
281,Blue_22,58
282,Blue_23,57
283,Blue_24,58
284,Blue_25,62
285,Blue_26,60
286,Blue_27,57
287,Blue_28,58
288,Black_1,63
289,Black_2,4
290,Black_3,5
291,Black_4,4
292,Black_5,4
293,Black_6,4
294,Black_7,3
295,Black_8,4
296,Black_9,4
297,Black_10,5
298,Black_11,5
299,Black_12,4
300,Black_13,5
301,Black_14,5
302,Black_15,5
303,Black_16,4
304,Black_17,5
305,Black_18,4
306,Black_19,4
307,Black_20,5
308,Black_21,4
309,Black_22,5
310,Black_23,4
311,Black_24,4
312,Black_25,4
313,Black_26,5
314,Black_27,4
315,Black_28,4
316,Black_29,4
317,Black_0,5
318,Black_0,4
319,Black_0,6
320,Black_0,4
321,Black_0,4
322,Black_0,5
323,Black_0,5
324,Black_0,5
325,Black_0,6
326,Black_0,4
327,Black_0,5
328,Black_0,4
329,Black_0,5
330,Black_0,4
331,Black_0,4
332,Black_0,4
333,Black_0,6
334,Black_0,5
335,Black_0,5
336,Black_0,4
337,Black_0,4
338,Black_0,4
339,Black_0,5
340,Black_0,4
341,Black_0,5
342,Black_0,4
343,Black_0,5
344,Black_0,4
345,Black_0,5
346,White_1,5
347,White_2,245
348,White_3,239
349,White_4,241
350,White_5,249
351,White_6,245
352,White_7,243
353,White_8,246
354,White_9,245
355,White_10,248
356,White_11,244
357,White_12,245
358,White_13,238
359,White_14,249
360,White_15,241
361,White_16,244
362,White_17,241
363,White_18,242
364,White_19,246
365,White_20,243
366,White_21,243
367,White_22,245
368,White_23,245
369,White_24,244
370,White_25,243
371,White_26,243
372,White_27,241
373,White_28,241
374,White_29,241
375,Red_1,246
376,Red_2,106
377,Red_3,102
378,Red_4,109
379,Red_5,107
380,Red_6,110
381,Red_7,107
382,Red_8,106
383,Red_9,104
384,Red_10,110
385,Red_11,105
386,Red_12,109
387,Red_13,104
388,Red_14,108
389,Red_15,104
390,Red_16,108
391,Red_17,105
392,Red_18,107
393,Red_19,102
394,Red_20,108
395,Red_21,103
396,Red_22,107
397,Red_23,103
398,Red_24,103
399,Red_25,108
400,Red_26,101
401,Red_27,108
402,Red_28,106
403,Green_1,103
404,Green_2,90
405,Green_3,87
406,Green_4,91
407,Green_5,91
408,Green_6,90
409,Green_7,88
410,Green_8,92
411,Green_9,90
412,Green_10,92
413,Green_11,93
414,Green_12,89
415,Green_13,89
416,Green_14,92
417,Green_15,89
418,Green_16,88
419,Green_17,93
420,Green_18,91
421,Green_19,87
422,Green_20,90
423,Green_21,87
424,Green_22,91
425,Green_23,89
426,Green_24,87
427,Green_25,89
428,Green_26,89
429,Green_27,89
430,Green_28,93
431,Green_29,89
432,Blue_1,86
433,Blue_2,60
434,Blue_3,59
435,Blue_4,55
436,Blue_5,56
437,Blue_6,53
438,Blue_7,55
439,Blue_8,59
440,Blue_9,57
441,Blue_10,54
442,Blue_11,55
443,Blue_12,59
444,Blue_13,53
445,Blue_14,57
446,Blue_15,53
447,Blue_16,55
448,Blue_17,54
449,Blue_18,55
450,Blue_19,58
451,Blue_20,54
452,Blue_21,56
453,Blue_22,53
454,Blue_23,53
455,Blue_24,56
456,Blue_25,56
457,Blue_26,55
458,Blue_27,55
459,Blue_28,56
460,Blue_29,58
461,Black_1,57
462,Black_2,5
463,Black_3,4
464,Black_4,4
465,Black_5,5
466,Black_6,4
467,Black_7,4
468,Black_8,5
469,Black_9,4
470,Black_10,4
471,Black_11,4
472,Black_12,5
473,Black_13,4
474,Black_14,4
475,Black_15,4
476,Black_16,4
477,Black_17,4
478,Black_18,5
479,Black_19,4
480,Black_20,5
481,Black_21,4
482,Black_22,4
483,Black_23,5
484,Black_24,5
485,Black_25,4
486,Black_26,4
487,Black_27,5
488,Black_28,4
489,Black_0,4
490,Black_0,5
491,Black_0,4
492,Black_0,4
493,Black_0,4
494,Black_0,4
495,Black_0,5
496,Black_0,4
497,Black_0,4
498,Black_0,4
499,Black_0,4
500,Black_0,4
501,Black_0,5
502,Black_0,4
503,Black_0,5
504,Black_0,4
505,Black_0,4
506,Black_0,3
507,Black_0,5
508,Black_0,4
509,Black_0,4
510,Black_0,4
511,Black_0,5
512,Black_0,4
513,Black_0,4
514,Black_0,5
515,Black_0,4
516,Black_0,4
517,Black_0,5
518,White_1,4
519,White_2,235
520,White_3,235
521,White_4,239
522,White_5,242
523,White_6,237
524,White_7,233
525,White_8,238
526,White_9,236
527,White_10,241
528,White_11,234
529,White_12,240
530,White_13,240
531,White_14,239
532,White_15,238
533,White_16,239
534,White_17,239
535,White_18,236
536,White_19,233
537,White_20,238
538,White_21,242
539,White_22,233
540,White_23,237
