P100_No_Reagent_ concentrate 100 mg/L No Reagent -1Day of Solution time 9,000s
1,White_1,6
2,White_2,709
3,White_3,702
4,White_4,705
5,White_5,706
6,White_6,703
7,White_7,703
8,White_8,706
9,White_9,691
10,White_10,705
11,White_11,704
12,White_12,699
13,White_13,703
14,White_14,694
15,Red_1,705
16,Red_2,277
17,Red_3,277
18,Red_4,285
19,Red_5,284
20,Red_6,282
21,Red_7,281
22,Red_8,279
23,Red_9,280
24,Red_10,281
25,Red_11,281
26,Red_12,280
27,Red_13,281
28,Red_14,280
29,Red_15,279
30,Green_1,285
31,Green_2,155
32,Green_3,154
33,Green_4,151
34,Green_5,152
35,Green_6,158
36,Green_7,151
37,Green_8,154
38,Green_9,157
39,Green_10,155
40,Green_11,150
41,Green_12,151
42,Green_13,150
43,Green_14,154
44,Green_15,154
45,Blue_1,151
46,Blue_2,304
47,Blue_3,297
48,Blue_4,304
49,Blue_5,301
50,Blue_6,300
51,Blue_7,297
52,Blue_8,302
53,Blue_9,300
54,Blue_10,300
55,Blue_11,293
56,Blue_12,295
57,Blue_13,296
58,Blue_14,297
59,Black_1,296
60,Black_2,6
61,Black_3,5
62,Black_4,5
63,Black_5,5
64,Black_6,5
65,Black_7,4
66,Black_8,5
67,Black_9,5
68,Black_10,5
69,Black_11,4
70,Black_12,5
71,Black_13,5
72,Black_14,5
73,Black_15,4
74,Black_0,5
75,Black_0,4
76,Black_0,4
77,Black_0,5
78,Black_0,4
79,Black_0,5
80,Black_0,5
81,Black_0,6
82,Black_0,5
83,Black_0,5
84,Black_0,5
85,Black_0,4
86,Black_0,5
87,Black_0,5
88,White_1,5
89,White_2,698
90,White_3,692
91,White_4,701
92,White_5,705
93,White_6,705
94,White_7,704
95,White_8,699
96,White_9,697
97,White_10,699
98,White_11,697
99,White_12,700
100,White_13,696
101,White_14,700
102,White_15,695
103,Red_1,694
104,Red_2,277
105,Red_3,277
106,Red_4,280
107,Red_5,273
108,Red_6,280
109,Red_7,279
110,Red_8,279
111,Red_9,283
112,Red_10,284
113,Red_11,278
114,Red_12,282
115,Red_13,278
116,Red_14,280
117,Green_1,276
118,Green_2,151
119,Green_3,154
120,Green_4,151
121,Green_5,158
122,Green_6,154
123,Green_7,157
124,Green_8,157
125,Green_9,150
126,Green_10,153
127,Green_11,150
128,Green_12,155
129,Green_13,158
130,Green_14,159
131,Green_15,159
132,Blue_1,154
133,Blue_2,302
134,Blue_3,297
135,Blue_4,303
136,Blue_5,302
137,Blue_6,298
138,Blue_7,304
139,Blue_8,303
140,Blue_9,296
141,Blue_10,299
142,Blue_11,296
143,Blue_12,291
144,Blue_13,293
145,Blue_14,294
146,Blue_15,300
147,Black_1,297
148,Black_2,5
