P100_No_Reagent_KH_2_PO_4 concentrate 100 mg/L rum time 30s/color 3 loops:
09/09/2023,14:06:49
1,White_1,6
2,White_2,683
3,White_3,689
4,White_4,682
5,White_5,681
6,White_6,681
7,White_7,682
8,White_8,686
9,White_9,686
10,White_10,683
11,White_11,686
12,White_12,683
13,White_13,679
14,White_14,689
15,White_15,682
16,White_16,681
17,White_17,682
18,White_18,676
19,White_19,689
20,White_20,690
21,White_21,682
22,White_22,686
23,White_23,676
24,White_24,679
25,White_25,685
26,White_26,684
27,White_27,676
28,White_28,680
29,White_29,683
30,Red_1,682
31,Red_2,269
32,Red_3,262
33,Red_4,262
34,Red_5,261
35,Red_6,263
36,Red_7,266
37,Red_8,261
38,Red_9,261
39,Red_10,266
40,Red_11,259
41,Red_12,263
42,Red_13,263
43,Red_14,261
44,Red_15,267
45,Red_16,266
46,Red_17,268
47,Red_18,267
48,Red_19,262
49,Red_20,266
50,Red_21,269
51,Red_22,262
52,Red_23,263
53,Red_24,269
54,Red_25,266
55,Red_26,268
56,Red_27,261
57,Red_28,266
58,Green_1,262
59,Green_2,152
60,Green_3,153
61,Green_4,149
62,Green_5,155
63,Green_6,151
64,Green_7,156
65,Green_8,151
66,Green_9,153
67,Green_10,153
68,Green_11,152
69,Green_12,152
70,Green_13,148
71,Green_14,150
72,Green_15,154
73,Green_16,152
74,Green_17,148
75,Green_18,147
76,Green_19,149
77,Green_20,151
78,Green_21,151
79,Green_22,150
80,Green_23,150
81,Green_24,151
82,Green_25,152
83,Green_26,149
84,Green_27,148
85,Green_28,148
86,Green_29,148
87,Blue_1,152
88,Blue_2,299
89,Blue_3,304
90,Blue_4,298
91,Blue_5,304
92,Blue_6,299
93,Blue_7,301
94,Blue_8,302
95,Blue_9,296
96,Blue_10,304
97,Blue_11,299
98,Blue_12,300
99,Blue_13,305
100,Blue_14,293
101,Blue_15,302
102,Blue_16,301
103,Blue_17,302
104,Blue_18,301
105,Blue_19,300
106,Blue_20,300
107,Blue_21,297
108,Blue_22,298
109,Blue_23,295
110,Blue_24,300
111,Blue_25,301
112,Blue_26,299
113,Blue_27,296
114,Blue_28,299
115,Blue_29,295
116,Black_1,302
117,Black_2,5
118,Black_3,6
119,Black_4,6
120,Black_5,5
121,Black_6,5
122,Black_7,6
123,Black_8,5
124,Black_9,5
125,Black_10,5
126,Black_11,6
127,Black_12,5
128,Black_13,6
129,Black_14,5
130,Black_15,5
131,Black_16,6
132,Black_17,5
133,Black_18,5
134,Black_19,5
135,Black_20,6
136,Black_21,5
137,Black_22,5
138,Black_23,5
139,Black_24,5
140,Black_25,6
141,Black_26,6
142,Black_27,5
143,Black_28,5
144,Black_29,7
145,Black_0,5
146,Black_0,6
147,Black_0,5
148,Black_0,5
149,Black_0,6
150,Black_0,5
151,Black_0,5
152,Black_0,5
153,Black_0,5
154,Black_0,6
155,Black_0,5
156,Black_0,5
157,Black_0,6
158,Black_0,6
159,Black_0,6
160,Black_0,5
161,Black_0,6
162,Black_0,5
163,Black_0,5
164,Black_0,6
165,Black_0,6
166,Black_0,7
167,Black_0,5
168,Black_0,6
169,Black_0,6
170,Black_0,5
171,Black_0,6
172,Black_0,5
173,White_1,6
174,White_2,686
175,White_3,684
176,White_4,685
177,White_5,676
178,White_6,683
179,White_7,684
180,White_8,687
181,White_9,686
182,White_10,683
183,White_11,685
184,White_12,684
185,White_13,681
186,White_14,688
187,White_15,686
188,White_16,680
189,White_17,684
190,White_18,688
191,White_19,681
192,White_20,681
193,White_21,686
194,White_22,690
195,White_23,674
196,White_24,687
197,White_25,686
198,White_26,686
199,White_27,682
200,White_28,684
201,White_29,687
202,Red_1,686
203,Red_2,260
204,Red_3,266
205,Red_4,265
206,Red_5,269
207,Red_6,268
208,Red_7,270
209,Red_8,262
210,Red_9,265
211,Red_10,268
212,Red_11,263
213,Red_12,260
214,Red_13,267
215,Red_14,263
216,Red_15,260
217,Red_16,264
218,Red_17,264
219,Red_18,262
220,Red_19,262
221,Red_20,264
222,Red_21,268
223,Red_22,262
224,Red_23,268
225,Red_24,264
226,Red_25,267
227,Red_26,261
228,Red_27,266
229,Red_28,262
230,Red_29,267
231,Green_1,267
232,Green_2,149
233,Green_3,147
234,Green_4,152
235,Green_5,153
236,Green_6,154
237,Green_7,152
238,Green_8,155
239,Green_9,154
240,Green_10,152
241,Green_11,152
242,Green_12,149
243,Green_13,149
244,Green_14,154
245,Green_15,151
246,Green_16,148
247,Green_17,150
248,Green_18,151
249,Green_19,155
250,Green_20,149
251,Green_21,149
252,Green_22,148
253,Green_23,150
254,Green_24,153
255,Green_25,147
256,Green_26,151
257,Green_27,152
258,Green_28,147
259,Blue_1,154
260,Blue_2,305
261,Blue_3,296
262,Blue_4,306
263,Blue_5,302
264,Blue_6,302
265,Blue_7,306
266,Blue_8,297
267,Blue_9,300
268,Blue_10,301
269,Blue_11,304
270,Blue_12,303
271,Blue_13,304
272,Blue_14,300
273,Blue_15,301
274,Blue_16,301
275,Blue_17,301
276,Blue_18,300
277,Blue_19,300
278,Blue_20,302
279,Blue_21,298
280,Blue_22,297
281,Blue_23,306
282,Blue_24,300
283,Blue_25,302
284,Blue_26,297
285,Blue_27,300
286,Blue_28,301
287,Blue_29,302
288,Black_1,299
289,Black_2,6
290,Black_3,4
291,Black_4,5
292,Black_5,5
293,Black_6,5
294,Black_7,6
295,Black_8,5
296,Black_9,6
297,Black_10,5
298,Black_11,6
299,Black_12,5
300,Black_13,6
301,Black_14,5
302,Black_15,5
303,Black_16,5
304,Black_17,6
305,Black_18,6
306,Black_19,5
307,Black_20,6
308,Black_21,5
309,Black_22,4
310,Black_23,5
311,Black_24,5
