P10_KH_2_PO_4 concentrate 10 mg/L rum time 30s/color 3 loops :NPKautoT:
09/09/2023,14:55:11
1,White_1,5
2,White_2,484
3,White_3,476
4,White_4,476
5,White_5,480
6,White_6,480
7,White_7,484
8,White_8,475
9,White_9,482
10,White_10,485
11,White_11,477
12,White_12,476
13,White_13,481
14,White_14,481
15,White_15,478
16,White_16,478
17,White_17,483
18,White_18,478
19,White_19,477
20,White_20,480
21,White_21,481
22,White_22,474
23,White_23,483
24,White_24,478
25,White_25,481
26,White_26,484
27,White_27,478
28,White_28,479
29,Red_1,475
30,Red_2,206
31,Red_3,208
32,Red_4,209
33,Red_5,213
34,Red_6,205
35,Red_7,212
36,Red_8,214
37,Red_9,207
38,Red_10,203
39,Red_11,207
40,Red_12,209
41,Red_13,209
42,Red_14,210
43,Red_15,207
44,Red_16,205
45,Red_17,210
46,Red_18,208
47,Red_19,206
48,Red_20,209
49,Red_21,209
50,Red_22,209
51,Red_23,215
52,Red_24,214
53,Red_25,211
54,Red_26,214
55,Red_27,214
56,Red_28,213
57,Red_29,214
58,Green_1,208
59,Green_2,149
60,Green_3,156
61,Green_4,151
62,Green_5,151
63,Green_6,152
64,Green_7,148
65,Green_8,150
66,Green_9,156
67,Green_10,152
68,Green_11,151
69,Green_12,154
70,Green_13,149
71,Green_14,157
72,Green_15,153
73,Green_16,152
74,Green_17,151
75,Green_18,150
76,Green_19,152
77,Green_20,156
78,Green_21,153
79,Green_22,150
80,Green_23,154
81,Green_24,151
82,Green_25,153
83,Green_26,149
84,Green_27,150
85,Green_28,154
86,Green_29,153
87,Blue_1,150
88,Blue_2,131
89,Blue_3,132
90,Blue_4,136
91,Blue_5,133
92,Blue_6,134
93,Blue_7,131
94,Blue_8,132
95,Blue_9,131
96,Blue_10,133
97,Blue_11,129
98,Blue_12,136
99,Blue_13,129
100,Blue_14,131
101,Blue_15,130
102,Blue_16,133
103,Blue_17,135
104,Blue_18,131
105,Blue_19,134
106,Blue_20,132
107,Blue_21,131
108,Blue_22,134
109,Blue_23,132
110,Blue_24,132
111,Blue_25,131
112,Blue_26,131
113,Blue_27,131
114,Blue_28,129
115,Black_1,130
116,Black_2,5
117,Black_3,4
118,Black_4,5
119,Black_5,3
120,Black_6,5
121,Black_7,4
122,Black_8,4
123,Black_9,4
124,Black_10,4
125,Black_11,4
126,Black_12,5
127,Black_13,5
128,Black_14,5
129,Black_15,5
130,Black_16,4
131,Black_17,5
132,Black_18,5
133,Black_19,4
134,Black_20,4
135,Black_21,5
136,Black_22,4
137,Black_23,5
138,Black_24,3
139,Black_25,4
140,Black_26,4
141,Black_27,5
142,Black_28,4
143,Black_29,5
144,Black_0,6
145,Black_0,4
146,Black_0,5
147,Black_0,4
148,Black_0,4
149,Black_0,4
150,Black_0,4
151,Black_0,5
152,Black_0,4
153,Black_0,6
154,Black_0,5
155,Black_0,5
156,Black_0,4
157,Black_0,4
158,Black_0,4
159,Black_0,5
160,Black_0,4
161,Black_0,5
162,Black_0,4
163,Black_0,4
164,Black_0,4
165,Black_0,4
166,Black_0,6
167,Black_0,4
168,Black_0,4
169,Black_0,4
170,Black_0,5
171,Black_0,4
172,Black_0,4
173,White_1,5
174,White_2,468
175,White_3,472
176,White_4,468
177,White_5,470
178,White_6,471
179,White_7,470
180,White_8,469
181,White_9,467
182,White_10,476
183,White_11,476
184,White_12,469
185,White_13,468
186,White_14,471
187,White_15,476
188,White_16,470
189,White_17,472
190,White_18,475
191,White_19,468
192,White_20,472
193,White_21,465
194,White_22,470
195,White_23,472
196,White_24,473
197,White_25,467
198,White_26,470
199,White_27,466
200,White_28,468
201,Red_1,473
202,Red_2,210
203,Red_3,203
204,Red_4,208
205,Red_5,205
206,Red_6,211
207,Red_7,205
208,Red_8,205
209,Red_9,208
210,Red_10,205
211,Red_11,202
212,Red_12,201
213,Red_13,207
214,Red_14,212
215,Red_15,205
216,Red_16,208
217,Red_17,203
218,Red_18,204
219,Red_19,206
220,Red_20,201
221,Red_21,201
222,Red_22,204
223,Red_23,205
224,Red_24,203
225,Red_25,211
226,Red_26,204
227,Red_27,204
228,Red_28,208
229,Red_29,211
230,Green_1,203
231,Green_2,148
232,Green_3,151
233,Green_4,155
234,Green_5,149
235,Green_6,150
236,Green_7,149
237,Green_8,150
238,Green_9,152
239,Green_10,156
240,Green_11,150
241,Green_12,152
242,Green_13,148
243,Green_14,150
244,Green_15,153
245,Green_16,151
246,Green_17,154
247,Green_18,146
248,Green_19,149
249,Green_20,147
250,Green_21,152
251,Green_22,148
252,Green_23,153
253,Green_24,147
254,Green_25,148
255,Green_26,153
256,Green_27,152
257,Green_28,155
258,Blue_1,149
259,Blue_2,127
260,Blue_3,136
261,Blue_4,129
262,Blue_5,134
263,Blue_6,133
264,Blue_7,131
265,Blue_8,134
266,Blue_9,135
267,Blue_10,134
268,Blue_11,133
269,Blue_12,131
270,Blue_13,127
