P10_2D_concentrate 10 mg/L -2 Day of Solution time 9,000s
1,White_1,5
2,White_2,279
3,White_3,282
4,White_4,279
5,White_5,278
6,White_6,277
7,White_7,279
8,White_8,280
9,White_9,283
10,White_10,274
11,Red_1,278
12,Red_2,115
13,Red_3,115
14,Red_4,113
15,Red_5,118
16,Red_6,115
17,Red_7,116
18,Red_8,116
19,Red_9,118
20,Green_1,120
21,Green_2,112
22,Green_3,111
23,Green_4,110
24,Green_5,106
25,Green_6,113
26,Green_7,110
27,Green_8,107
28,Green_9,108
29,Green_10,108
30,Blue_1,113
31,Blue_2,68
32,Blue_3,63
33,Blue_4,66
34,Blue_5,66
35,Blue_6,65
36,Blue_7,63
37,Blue_8,64
