P10_No_Reagent_ concentrate 10 mg/L No Reagent//-1Day of Solution time 9,000s
1,White_1,4
2,White_2,753
3,White_3,758
4,White_4,757
5,White_5,760
6,White_6,761
7,White_7,750
8,White_8,756
9,White_9,762
10,White_10,752
11,White_11,762
12,White_12,752
13,White_13,763
14,White_14,760
15,Red_1,764
16,Red_2,307
17,Red_3,307
18,Red_4,306
19,Red_5,308
20,Red_6,309
21,Red_7,307
22,Red_8,302
23,Red_9,307
24,Red_10,309
25,Red_11,308
26,Red_12,306
27,Red_13,303
28,Red_14,307
29,Red_15,309
30,Green_1,310
31,Green_2,169
32,Green_3,167
33,Green_4,170
34,Green_5,168
35,Green_6,172
36,Green_7,174
37,Green_8,170
38,Green_9,174
39,Green_10,171
40,Green_11,173
41,Green_12,174
42,Green_13,169
43,Green_14,175
44,Green_15,172
45,Blue_1,171
46,Blue_2,321
47,Blue_3,321
48,Blue_4,317
49,Blue_5,321
50,Blue_6,320
51,Blue_7,316
52,Blue_8,319
53,Blue_9,315
54,Blue_10,318
55,Blue_11,323
56,Blue_12,324
57,Blue_13,316
58,Blue_14,321
59,Black_1,320
60,Black_2,6
61,Black_3,4
62,Black_4,5
63,Black_5,5
64,Black_6,6
65,Black_7,6
66,Black_8,5
67,Black_9,5
68,Black_10,5
69,Black_11,6
70,Black_12,5
71,Black_13,6
72,Black_14,5
73,Black_15,4
74,Black_0,6
75,Black_0,6
76,Black_0,6
77,Black_0,6
78,Black_0,5
79,Black_0,5
80,Black_0,5
81,Black_0,6
82,Black_0,5
83,Black_0,6
84,Black_0,5
85,Black_0,5
86,Black_0,6
87,Black_0,5
88,White_1,5
89,White_2,765
90,White_3,757
91,White_4,763
92,White_5,763
93,White_6,763
94,White_7,758
95,White_8,760
96,White_9,760
97,White_10,764
98,White_11,763
99,White_12,760
100,White_13,760
101,White_14,755
102,White_15,752
103,Red_1,755
104,Red_2,306
105,Red_3,309
106,Red_4,306
107,Red_5,305
108,Red_6,307
109,Red_7,305
110,Red_8,305
111,Red_9,306
112,Red_10,308
113,Red_11,307
114,Red_12,305
115,Red_13,306
116,Red_14,304
117,Green_1,307
118,Green_2,172
119,Green_3,167
120,Green_4,175
121,Green_5,171
122,Green_6,173
123,Green_7,170
124,Green_8,169
125,Green_9,174
126,Green_10,173
127,Green_11,169
128,Green_12,171
129,Green_13,171
130,Green_14,169
131,Green_15,171
132,Blue_1,169
133,Blue_2,319
134,Blue_3,320
135,Blue_4,324
136,Blue_5,323
137,Blue_6,317
138,Blue_7,321
139,Blue_8,320
140,Blue_9,318
141,Blue_10,321
142,Blue_11,323
143,Blue_12,321
144,Blue_13,319
145,Blue_14,319
146,Blue_15,318
147,Black_1,317
148,Black_2,6
149,Black_3,5
150,Black_4,4
151,Black_5,6
152,Black_6,5
153,Black_7,5
154,Black_8,5
155,Black_9,5
156,Black_10,5
157,Black_11,6
158,Black_12,5
159,Black_13,4
160,Black_14,5
161,Black_0,5
162,Black_0,5
163,Black_0,6
164,Black_0,5
165,Black_0,6
166,Black_0,5
167,Black_0,4
168,Black_0,5
169,Black_0,6
170,Black_0,5
171,Black_0,4
172,Black_0,5
173,Black_0,5
174,Black_0,5
175,Black_0,6
176,White_1,7
177,White_2,758
178,White_3,765
179,White_4,757
180,White_5,764
181,White_6,763
182,White_7,757
183,White_8,763
184,White_9,751
185,White_10,750
186,White_11,748
187,White_12,764
188,White_13,761
189,White_14,763
190,Red_1,759
191,Red_2,308
192,Red_3,308
193,Red_4,312
194,Red_5,308
195,Red_6,304
196,Red_7,304
197,Red_8,309
198,Red_9,303
199,Red_10,301
200,Red_11,309
201,Red_12,305
202,Red_13,306
203,Red_14,309
204,Red_15,312
205,Green_1,305
206,Green_2,167
207,Green_3,172
208,Green_4,167
209,Green_5,168
210,Green_6,172
211,Green_7,170
212,Green_8,170
213,Green_9,172
214,Green_10,167
215,Green_11,173
216,Green_12,172
217,Green_13,167
218,Green_14,169
219,Blue_1,170
220,Blue_2,324
221,Blue_3,319
222,Blue_4,324
223,Blue_5,321
224,Blue_6,322
225,Blue_7,322
226,Blue_8,323
227,Blue_9,318
228,Blue_10,322
229,Blue_11,317
230,Blue_12,319
231,Blue_13,315
232,Blue_14,318
233,Blue_15,317
234,Black_1,320
235,Black_2,5
236,Black_3,4
237,Black_4,5
238,Black_5,5
239,Black_6,6
240,Black_7,5
241,Black_8,5
242,Black_9,5
243,Black_10,5
244,Black_11,4
245,Black_12,5
246,Black_13,5
247,Black_14,5
248,Black_15,4
249,Black_0,5
250,Black_0,5
251,Black_0,4
252,Black_0,5
253,Black_0,6
254,Black_0,5
255,Black_0,4
256,Black_0,6
257,Black_0,4
258,Black_0,6
259,Black_0,5
260,Black_0,5
261,Black_0,6
262,Black_0,6
263,White_1,6
264,White_2,755
265,White_3,755
266,White_4,755
267,White_5,757
268,White_6,754
269,White_7,757
270,White_8,756
271,White_9,756
272,White_10,757
273,White_11,755
274,White_12,756
275,White_13,754
276,White_14,761
277,White_15,756
278,Red_1,758
279,Red_2,307
280,Red_3,306
281,Red_4,303
282,Red_5,305
283,Red_6,303
284,Red_7,306
285,Red_8,304
286,Red_9,306
287,Red_10,306
288,Red_11,305
289,Red_12,309
290,Red_13,310
291,Red_14,309
292,Green_1,307
293,Green_2,173
294,Green_3,165
295,Green_4,170
296,Green_5,169
297,Green_6,172
298,Green_7,171
299,Green_8,174
300,Green_9,170
301,Green_10,169
302,Green_11,171
303,Green_12,172
304,Green_13,169
305,Green_14,171
306,Green_15,171
307,Blue_1,167
308,Blue_2,319
309,Blue_3,316
310,Blue_4,320
311,Blue_5,317
312,Blue_6,319
313,Blue_7,316
314,Blue_8,314
315,Blue_9,312
316,Blue_10,314
317,Blue_11,318
318,Blue_12,322
319,Blue_13,318
320,Blue_14,321
321,Black_1,320
322,Black_2,6
323,Black_3,5
324,Black_4,6
325,Black_5,6
326,Black_6,5
327,Black_7,5
328,Black_8,5
329,Black_9,5
330,Black_10,4
331,Black_11,5
332,Black_12,5
333,Black_13,5
334,Black_14,5
335,Black_15,5
336,Black_0,5
337,Black_0,6
338,Black_0,5
339,Black_0,4
340,Black_0,6
341,Black_0,6
342,Black_0,4
343,Black_0,6
344,Black_0,5
345,Black_0,4
346,Black_0,5
347,Black_0,6
348,Black_0,4
349,Black_0,6
350,Black_0,5
351,White_1,5
352,White_2,755
353,White_3,760
354,White_4,755
355,White_5,758
356,White_6,753
357,White_7,756
358,White_8,758
359,White_9,753
360,White_10,751
