P10_No_Reagent_KH_2_PO_4 concentrate 10 mg/L rum time 30s/color 3 loops :NPKautoT:
09/09/2023,14:44:26
1,White_1,6
2,White_2,469
3,White_3,466
4,White_4,466
5,White_5,466
6,White_6,466
7,White_7,456
8,White_8,463
9,White_9,467
10,White_10,465
11,White_11,461
12,White_12,470
13,White_13,466
14,White_14,463
15,White_15,464
16,White_16,459
17,White_17,468
18,White_18,471
19,White_19,466
20,White_20,468
21,White_21,467
22,White_22,466
23,White_23,463
24,White_24,462
25,White_25,466
26,White_26,459
27,White_27,470
28,White_28,466
29,Red_1,463
30,Red_2,194
31,Red_3,197
32,Red_4,197
33,Red_5,200
34,Red_6,199
35,Red_7,196
36,Red_8,191
37,Red_9,200
38,Red_10,197
39,Red_11,200
40,Red_12,200
41,Red_13,194
42,Red_14,194
43,Red_15,200
44,Red_16,194
45,Red_17,191
46,Red_18,198
47,Red_19,196
48,Red_20,194
49,Red_21,200
50,Red_22,200
51,Red_23,195
52,Red_24,198
53,Red_25,196
54,Red_26,195
55,Red_27,195
56,Red_28,196
57,Red_29,200
58,Green_1,195
59,Green_2,149
60,Green_3,149
61,Green_4,147
62,Green_5,142
63,Green_6,146
64,Green_7,148
65,Green_8,149
66,Green_9,146
67,Green_10,146
68,Green_11,146
69,Green_12,146
70,Green_13,145
71,Green_14,146
72,Green_15,142
73,Green_16,143
74,Green_17,142
75,Green_18,145
76,Green_19,144
77,Green_20,147
78,Green_21,145
79,Green_22,150
80,Green_23,146
81,Green_24,142
82,Green_25,145
83,Green_26,147
84,Green_27,149
85,Green_28,145
86,Green_29,142
87,Blue_1,145
88,Blue_2,137
89,Blue_3,139
90,Blue_4,141
91,Blue_5,135
92,Blue_6,144
93,Blue_7,138
94,Blue_8,138
95,Blue_9,140
96,Blue_10,141
97,Blue_11,142
98,Blue_12,140
99,Blue_13,139
100,Blue_14,135
101,Blue_15,139
102,Blue_16,137
103,Blue_17,138
104,Blue_18,138
105,Blue_19,143
106,Blue_20,135
107,Blue_21,141
108,Blue_22,137
109,Blue_23,138
110,Blue_24,140
111,Blue_25,136
112,Blue_26,142
113,Blue_27,137
114,Blue_28,137
115,Black_1,137
116,Black_2,5
117,Black_3,5
118,Black_4,5
119,Black_5,5
120,Black_6,5
121,Black_7,4
122,Black_8,5
123,Black_9,5
124,Black_10,5
125,Black_11,5
126,Black_12,4
127,Black_13,5
128,Black_14,4
129,Black_15,5
130,Black_16,4
131,Black_17,5
132,Black_18,6
133,Black_19,4
134,Black_20,4
135,Black_21,5
136,Black_22,4
137,Black_23,5
138,Black_24,6
139,Black_25,6
140,Black_26,5
141,Black_27,6
142,Black_28,4
143,Black_29,5
144,Black_0,5
145,Black_0,5
146,Black_0,5
147,Black_0,6
148,Black_0,4
149,Black_0,4
150,Black_0,5
151,Black_0,4
152,Black_0,5
153,Black_0,5
154,Black_0,4
155,Black_0,4
156,Black_0,5
157,Black_0,5
158,Black_0,6
159,Black_0,4
160,Black_0,5
161,Black_0,5
162,Black_0,4
163,Black_0,6
164,Black_0,5
165,Black_0,4
166,Black_0,5
167,Black_0,5
168,Black_0,5
169,Black_0,5
170,Black_0,5
171,Black_0,5
172,White_1,5
173,White_2,459
174,White_3,460
175,White_4,458
176,White_5,461
177,White_6,457
178,White_7,464
179,White_8,461
180,White_9,461
181,White_10,459
182,White_11,461
183,White_12,455
184,White_13,466
185,White_14,458
186,White_15,463
187,White_16,459
188,White_17,459
189,White_18,463
190,White_19,453
191,White_20,459
192,White_21,458
193,White_22,459
194,White_23,458
195,White_24,456
196,White_25,459
197,White_26,460
198,White_27,458
199,White_28,461
200,White_29,458
201,Red_1,459
202,Red_2,196
203,Red_3,196
204,Red_4,193
205,Red_5,192
206,Red_6,194
207,Red_7,200
208,Red_8,193
209,Red_9,196
210,Red_10,195
211,Red_11,194
212,Red_12,197
213,Red_13,195
214,Red_14,199
215,Red_15,193
216,Red_16,193
217,Red_17,191
218,Red_18,193
219,Red_19,197
220,Red_20,198
221,Red_21,197
222,Red_22,193
223,Red_23,196
224,Red_24,197
225,Red_25,193
226,Red_26,194
227,Red_27,196
228,Red_28,195
229,Red_29,193
230,Green_1,197
231,Green_2,142
232,Green_3,146
233,Green_4,143
234,Green_5,143
235,Green_6,145
236,Green_7,142
237,Green_8,141
238,Green_9,141
239,Green_10,141
240,Green_11,143
241,Green_12,142
242,Green_13,148
243,Green_14,141
244,Green_15,144
245,Green_16,147
246,Green_17,141
247,Green_18,143
248,Green_19,149
249,Green_20,143
250,Green_21,143
251,Green_22,144
252,Green_23,141
253,Green_24,142
254,Green_25,145
255,Green_26,148
256,Green_27,146
257,Green_28,142
258,Blue_1,146
259,Blue_2,135
260,Blue_3,136
261,Blue_4,135
262,Blue_5,134
263,Blue_6,134
264,Blue_7,136
265,Blue_8,137
266,Blue_9,137
267,Blue_10,139
268,Blue_11,138
269,Blue_12,133
270,Blue_13,137
271,Blue_14,136
272,Blue_15,136
273,Blue_16,135
274,Blue_17,134
275,Blue_18,132
276,Blue_19,136
277,Blue_20,133
278,Blue_21,140
279,Blue_22,137
280,Blue_23,133
281,Blue_24,135
282,Blue_25,137
283,Blue_26,135
284,Blue_27,137
285,Blue_28,135
286,Blue_29,137
287,Black_1,137
288,Black_2,5
289,Black_3,5
290,Black_4,5
291,Black_5,5
292,Black_6,4
293,Black_7,6
294,Black_8,5
295,Black_9,5
296,Black_10,6
297,Black_11,5
298,Black_12,4
299,Black_13,5
300,Black_14,4
301,Black_15,5
302,Black_16,5
303,Black_17,4
304,Black_18,5
305,Black_19,6
306,Black_20,5
307,Black_21,5
308,Black_22,5
309,Black_23,4
310,Black_24,5
311,Black_25,5
312,Black_26,4
313,Black_27,6
314,Black_28,5
315,Black_0,5
316,Black_0,4
317,Black_0,4
318,Black_0,4
319,Black_0,5
320,Black_0,5
321,Black_0,5
322,Black_0,5
323,Black_0,5
324,Black_0,4
325,Black_0,5
326,Black_0,4
327,Black_0,6
328,Black_0,4
329,Black_0,4
330,Black_0,5
331,Black_0,5
332,Black_0,5
333,Black_0,5
334,Black_0,4
335,Black_0,5
336,Black_0,4
337,Black_0,5
338,Black_0,5
339,Black_0,4
340,Black_0,4
341,Black_0,5
342,Black_0,5
343,Black_0,5
344,White_1,5
345,White_2,456
346,White_3,450
347,White_4,451
348,White_5,460
349,White_6,455
350,White_7,454
351,White_8,457
352,White_9,460
353,White_10,462
354,White_11,453
355,White_12,452
356,White_13,458
357,White_14,454
358,White_15,455
359,White_16,454
360,White_17,452
361,White_18,453
362,White_19,455
363,White_20,453
364,White_21,452
365,White_22,455
366,White_23,460
367,White_24,453
368,White_25,459
369,White_26,454
370,White_27,459
371,White_28,459
372,White_29,451
373,Red_1,454
374,Red_2,194
375,Red_3,191
376,Red_4,195
377,Red_5,192
378,Red_6,193
379,Red_7,195
380,Red_8,197
381,Red_9,197
382,Red_10,198
383,Red_11,196
384,Red_12,196
385,Red_13,198
386,Red_14,194
387,Red_15,194
388,Red_16,196
389,Red_17,194
390,Red_18,194
391,Red_19,196
392,Red_20,196
393,Red_21,190
394,Red_22,191
395,Red_23,193
396,Red_24,197
397,Red_25,196
398,Red_26,191
399,Red_27,188
400,Red_28,189
401,Green_1,195
402,Green_2,142
403,Green_3,144
404,Green_4,146
405,Green_5,145
406,Green_6,146
407,Green_7,142
408,Green_8,143
409,Green_9,143
410,Green_10,141
411,Green_11,141
412,Green_12,142
413,Green_13,141
414,Green_14,139
415,Green_15,143
416,Green_16,143
417,Green_17,143
418,Green_18,143
419,Green_19,147
420,Green_20,142
421,Green_21,141
422,Green_22,143
423,Green_23,145
424,Green_24,143
425,Green_25,143
426,Green_26,142
427,Green_27,146
428,Green_28,146
429,Green_29,145
430,Blue_1,141
431,Blue_2,132
432,Blue_3,138
433,Blue_4,134
434,Blue_5,135
435,Blue_6,132
436,Blue_7,138
437,Blue_8,136
438,Blue_9,137
439,Blue_10,131
440,Blue_11,137
441,Blue_12,133
442,Blue_13,137
443,Blue_14,137
444,Blue_15,136
445,Blue_16,135
446,Blue_17,132
447,Blue_18,135
448,Blue_19,133
449,Blue_20,138
450,Blue_21,135
451,Blue_22,133
452,Blue_23,137
453,Blue_24,138
454,Blue_25,138
455,Blue_26,138
456,Blue_27,134
457,Blue_28,134
458,Black_1,135
459,Black_2,5
460,Black_3,5
461,Black_4,4
462,Black_5,5
463,Black_6,5
464,Black_7,5
465,Black_8,5
466,Black_9,4
467,Black_10,4
468,Black_11,4
469,Black_12,4
470,Black_13,5
471,Black_14,4
472,Black_15,4
473,Black_16,5
474,Black_17,5
475,Black_18,5
476,Black_19,6
477,Black_20,4
478,Black_21,4
479,Black_22,6
480,Black_23,5
481,Black_24,5
482,Black_25,4
483,Black_26,4
484,Black_27,4
485,Black_28,4
486,Black_29,5
487,Black_0,4
488,Black_0,6
489,Black_0,4
490,Black_0,4
491,Black_0,5
492,Black_0,4
493,Black_0,4
494,Black_0,5
495,Black_0,5
496,Black_0,4
497,Black_0,4
498,Black_0,4
499,Black_0,4
500,Black_0,4
501,Black_0,4
502,Black_0,4
503,Black_0,4
504,Black_0,5
505,Black_0,4
506,Black_0,5
507,Black_0,4
508,Black_0,5
509,Black_0,4
510,Black_0,4
511,Black_0,4
512,Black_0,5
513,Black_0,5
514,Black_0,6
515,Black_0,5
516,White_1,5
517,White_2,450
518,White_3,453
519,White_4,453
520,White_5,453
521,White_6,452
522,White_7,453
523,White_8,453
524,White_9,446
525,White_10,450
526,White_11,451
527,White_12,451
528,White_13,451
529,White_14,450
530,White_15,443
531,White_16,453
532,White_17,453
533,White_18,453
534,White_19,446
535,White_20,456
536,White_21,456
537,White_22,451
538,White_23,447
539,White_24,454
540,White_25,450
