No.,Order,Color,Intensity
1,1,White,183
2,2,White,180
3,3,White,182
4,4,White,182
5,5,White,181
6,6,White,178
7,7,White,177
8,8,White,177
9,9,White,175
10,10,White,180
11,11,White,176
12,12,White,175
13,13,White,175
14,14,White,175
15,1,Red,80
16,2,Red,76
17,3,Red,76
18,4,Red,74
19,5,Red,80
20,6,Red,75
21,7,Red,77
22,8,Red,74
23,9,Red,75
24,10,Red,78
25,11,Red,75
26,12,Red,75
27,13,Red,73
28,14,Red,72
29,15,Red,78
30,1,Green,72
31,2,Green,69
32,3,Green,72
33,4,Green,69
34,5,Green,69
35,6,Green,71
36,7,Green,68
37,8,Green,68
38,9,Green,69
39,10,Green,72
40,11,Green,70
41,12,Green,67
42,13,Green,67
43,14,Green,71
44,1,Blue,36
45,2,Blue,34
46,3,Blue,30
47,4,Blue,30
48,5,Blue,33
49,6,Blue,34
50,7,Blue,35
51,8,Blue,34
52,9,Blue,34
53,10,Blue,32
54,11,Blue,31
55,12,Blue,33
56,13,Blue,30
57,14,Blue,34
58,15,Blue,31
59,1,Black,4
60,2,Black,3
61,3,Black,5
62,4,Black,4
63,5,Black,4
64,6,Black,3
65,7,Black,4
66,8,Black,3
67,9,Black,4
68,10,Black,4
69,11,Black,4
70,12,Black,4
71,13,Black,4
72,14,Black,5
73,15,Black,5
88,1,White,163
89,2,White,157
90,3,White,158
91,4,White,161
92,5,White,162
93,6,White,164
94,7,White,159
95,8,White,158
96,9,White,160
97,10,White,158
98,11,White,158
99,12,White,158
100,13,White,157
101,14,White,158
102,15,White,163
103,1,Red,71
104,2,Red,72
105,3,Red,68
106,4,Red,69
107,5,Red,73
108,6,Red,68
109,7,Red,68
110,8,Red,67
111,9,Red,68
112,10,Red,71
113,11,Red,71
114,12,Red,68
115,13,Red,71
116,14,Red,70
117,1,Green,67
118,2,Green,64
119,3,Green,66
120,4,Green,69
121,5,Green,64
122,6,Green,67
123,7,Green,64
124,8,Green,65
125,9,Green,69
126,10,Green,64
127,11,Green,68
128,12,Green,64
129,13,Green,67
130,14,Green,64
131,15,Green,68
132,1,Blue,32
133,2,Blue,31
134,3,Blue,33
135,4,Blue,34
136,5,Blue,29
137,6,Blue,31
138,7,Blue,33
139,8,Blue,32
140,9,Blue,31
141,10,Blue,31
142,11,Blue,33
143,12,Blue,33
144,13,Blue,30
145,14,Blue,32
146,15,Blue,34
147,1,Black,3
148,2,Black,4
149,3,Black,3
150,4,Black,4
151,5,Black,5
152,6,Black,4
153,7,Black,4
154,8,Black,4
155,9,Black,4
156,10,Black,4
157,11,Black,3
158,12,Black,4
159,13,Black,4
160,14,Black,5
176,1,White,159
177,2,White,157
178,3,White,156
179,4,White,153
180,5,White,155
181,6,White,154
182,7,White,156
183,8,White,156
184,9,White,154
185,10,White,158
186,11,White,153
187,12,White,155
188,13,White,153
189,14,White,153
190,15,White,157
191,1,Red,65
192,2,Red,66
193,3,Red,66
194,4,Red,68
195,5,Red,66
196,6,Red,66
197,7,Red,67
198,8,Red,64
199,9,Red,66
200,10,Red,65
201,11,Red,67
202,12,Red,64
203,13,Red,65
204,14,Red,70
205,1,Green,66
206,2,Green,64
207,3,Green,66
208,4,Green,61
209,5,Green,67
210,6,Green,62
211,7,Green,65
212,8,Green,64
213,9,Green,66
214,10,Green,62
215,11,Green,65
216,12,Green,67
217,13,Green,65
218,14,Green,62
219,15,Green,66
220,1,Blue,32
221,2,Blue,33
222,3,Blue,36
223,4,Blue,32
224,5,Blue,34
225,6,Blue,31
226,7,Blue,34
227,8,Blue,35
228,9,Blue,35
229,10,Blue,36
230,11,Blue,32
231,12,Blue,31
232,13,Blue,32
233,14,Blue,30
234,1,Black,5
235,2,Black,4
236,3,Black,5
237,4,Black,4
238,5,Black,4
239,6,Black,4
240,7,Black,4
241,8,Black,4
242,9,Black,4
243,10,Black,4
244,11,Black,4
245,12,Black,4
246,13,Black,3
247,14,Black,4
248,15,Black,4
264,1,White,154
265,2,White,156
266,3,White,153
267,4,White,157
268,5,White,157
269,6,White,159
270,7,White,153
271,8,White,155
272,9,White,155
273,10,White,153
274,11,White,153
275,12,White,154
276,13,White,156
277,14,White,158
