No.,Order,Color,Intensity
1,1,White,845
2,2,White,842
3,3,White,837
4,4,White,842
5,5,White,833
6,6,White,840
7,7,White,841
8,8,White,843
9,9,White,842
10,10,White,842
11,11,White,839
12,12,White,837
13,13,White,832
14,14,White,847
15,15,White,841
16,16,White,843
17,17,White,842
18,18,White,847
19,19,White,848
20,20,White,844
21,21,White,844
22,22,White,840
23,23,White,842
24,24,White,849
25,25,White,841
26,26,White,842
27,27,White,849
28,28,White,850
29,29,White,838
30,1,Red,349
31,2,Red,350
32,3,Red,346
33,4,Red,347
34,5,Red,355
35,6,Red,347
36,7,Red,348
37,8,Red,355
38,9,Red,352
39,10,Red,350
40,11,Red,346
41,12,Red,347
42,13,Red,345
43,14,Red,346
44,15,Red,346
45,16,Red,347
46,17,Red,349
47,18,Red,349
48,19,Red,349
49,20,Red,348
50,21,Red,351
51,22,Red,349
52,23,Red,353
53,24,Red,353
54,25,Red,346
55,26,Red,351
56,27,Red,350
57,28,Red,352
58,29,Red,353
59,1,Green,234
60,2,Green,229
61,3,Green,229
62,4,Green,229
63,5,Green,234
64,6,Green,225
65,7,Green,228
66,8,Green,231
67,9,Green,227
68,10,Green,232
69,11,Green,228
70,12,Green,231
71,13,Green,227
72,14,Green,228
73,15,Green,230
74,16,Green,230
75,17,Green,229
76,18,Green,226
77,19,Green,229
78,20,Green,227
79,21,Green,232
80,22,Green,226
81,23,Green,230
82,24,Green,231
83,25,Green,231
84,26,Green,232
85,27,Green,229
86,28,Green,227
87,29,Green,231
88,1,Blue,326
89,2,Blue,316
90,3,Blue,316
91,4,Blue,316
92,5,Blue,318
93,6,Blue,323
94,7,Blue,317
95,8,Blue,317
96,9,Blue,318
97,10,Blue,322
98,11,Blue,313
99,12,Blue,323
100,13,Blue,318
101,14,Blue,321
102,15,Blue,324
103,16,Blue,320
104,17,Blue,316
105,18,Blue,319
106,19,Blue,317
107,20,Blue,311
108,21,Blue,324
109,22,Blue,320
110,23,Blue,318
111,24,Blue,317
112,25,Blue,317
113,26,Blue,320
114,27,Blue,318
115,28,Blue,318
116,29,Blue,316
117,1,Black,8
118,2,Black,8
119,3,Black,6
120,4,Black,7
121,5,Black,9
122,6,Black,7
123,7,Black,8
124,8,Black,8
125,9,Black,8
126,10,Black,8
127,11,Black,7
128,12,Black,7
129,13,Black,9
130,14,Black,7
131,15,Black,7
132,16,Black,7
133,17,Black,7
134,18,Black,7
135,19,Black,9
136,20,Black,8
137,21,Black,7
138,22,Black,7
139,23,Black,7
140,24,Black,8
141,25,Black,8
142,26,Black,8
143,27,Black,9
144,28,Black,6
145,29,Black,8
176,1,White,840
177,2,White,843
178,3,White,842
179,4,White,835
180,5,White,849
181,6,White,843
182,7,White,836
183,8,White,843
184,9,White,841
185,10,White,835
186,11,White,850
187,12,White,841
188,13,White,834
189,14,White,844
190,15,White,843
191,16,White,842
192,17,White,843
193,18,White,843
194,19,White,847
195,20,White,840
196,21,White,850
197,22,White,844
198,23,White,837
199,24,White,845
200,25,White,846
201,26,White,841
202,27,White,850
203,28,White,843
204,29,White,840
205,1,Red,353
206,2,Red,353
207,3,Red,356
208,4,Red,344
209,5,Red,350
210,6,Red,352
211,7,Red,351
212,8,Red,357
213,9,Red,348
214,10,Red,350
215,11,Red,347
216,12,Red,354
217,13,Red,348
218,14,Red,348
219,15,Red,351
220,16,Red,352
221,17,Red,356
222,18,Red,348
223,19,Red,351
224,20,Red,350
225,21,Red,351
226,22,Red,348
227,23,Red,352
228,24,Red,348
229,25,Red,342
230,26,Red,349
231,27,Red,349
232,28,Red,343
233,29,Red,350
234,1,Green,226
235,2,Green,228
236,3,Green,229
237,4,Green,231
238,5,Green,232
239,6,Green,226
240,7,Green,222
241,8,Green,231
242,9,Green,231
243,10,Green,221
244,11,Green,229
245,12,Green,232
246,13,Green,229
247,14,Green,229
248,15,Green,230
249,16,Green,229
250,17,Green,233
251,18,Green,227
252,19,Green,227
253,20,Green,227
254,21,Green,229
255,22,Green,228
256,23,Green,229
257,24,Green,222
258,25,Green,231
259,26,Green,229
260,27,Green,225
261,28,Green,227
262,29,Green,225
263,1,Blue,319
264,2,Blue,319
265,3,Blue,317
266,4,Blue,315
267,5,Blue,322
268,6,Blue,321
269,7,Blue,321
270,8,Blue,318
271,9,Blue,318
272,10,Blue,314
273,11,Blue,318
274,12,Blue,317
275,13,Blue,322
276,14,Blue,316
277,15,Blue,322
278,16,Blue,325
279,17,Blue,319
280,18,Blue,315
281,19,Blue,322
282,20,Blue,318
283,21,Blue,322
284,22,Blue,317
285,23,Blue,313
286,24,Blue,320
287,25,Blue,319
288,26,Blue,319
289,27,Blue,319
290,28,Blue,316
291,29,Blue,321
292,1,Black,9
293,2,Black,6
294,3,Black,7
295,4,Black,7
296,5,Black,8
297,6,Black,7
298,7,Black,7
299,8,Black,9
300,9,Black,6
301,10,Black,7
302,11,Black,9
303,12,Black,9
304,13,Black,7
305,14,Black,7
306,15,Black,7
307,16,Black,6
308,17,Black,8
309,18,Black,8
310,19,Black,8
311,20,Black,7
312,21,Black,8
313,22,Black,6
314,23,Black,7
315,24,Black,8
316,25,Black,6
317,26,Black,8
318,27,Black,8
319,28,Black,8
320,29,Black,6
350,1,White,844
351,2,White,837
352,3,White,842
353,4,White,841
354,5,White,845
355,6,White,846
356,7,White,845
357,8,White,831
358,9,White,845
359,10,White,837
360,11,White,851
361,12,White,841
362,13,White,840
363,14,White,845
364,15,White,841
365,16,White,836
366,17,White,842
367,18,White,846
368,19,White,838
369,20,White,846
370,21,White,842
371,22,White,842
372,23,White,842
373,24,White,844
374,25,White,845
375,26,White,844
376,27,White,840
377,28,White,843
378,29,White,842
379,30,White,836
380,1,Red,350
381,2,Red,351
382,3,Red,347
383,4,Red,352
384,5,Red,351
385,6,Red,347
386,7,Red,347
387,8,Red,354
388,9,Red,348
389,10,Red,350
390,11,Red,348
391,12,Red,350
392,13,Red,346
393,14,Red,348
394,15,Red,350
395,16,Red,346
396,17,Red,351
397,18,Red,348
398,19,Red,346
399,20,Red,350
400,21,Red,354
401,22,Red,351
402,23,Red,350
403,24,Red,352
404,25,Red,347
405,26,Red,349
406,27,Red,354
407,28,Red,343
408,29,Red,347
409,1,Green,229
410,2,Green,227
411,3,Green,226
412,4,Green,232
413,5,Green,229
414,6,Green,225
415,7,Green,226
416,8,Green,225
417,9,Green,228
418,10,Green,228
419,11,Green,229
420,12,Green,224
421,13,Green,227
422,14,Green,233
423,15,Green,230
424,16,Green,228
425,17,Green,226
426,18,Green,225
427,19,Green,232
428,20,Green,228
429,21,Green,229
430,22,Green,228
431,23,Green,225
432,24,Green,226
433,25,Green,230
434,26,Green,225
435,27,Green,233
436,28,Green,224
437,29,Green,230
438,1,Blue,319
439,2,Blue,318
440,3,Blue,314
441,4,Blue,321
442,5,Blue,321
443,6,Blue,321
444,7,Blue,319
445,8,Blue,321
446,9,Blue,316
447,10,Blue,325
448,11,Blue,316
449,12,Blue,314
450,13,Blue,323
451,14,Blue,322
452,15,Blue,317
453,16,Blue,323
454,17,Blue,318
455,18,Blue,317
456,19,Blue,318
457,20,Blue,317
458,21,Blue,322
459,22,Blue,317
460,23,Blue,315
461,24,Blue,318
462,25,Blue,317
463,26,Blue,320
464,27,Blue,320
465,28,Blue,316
466,29,Blue,320
467,1,Black,8
