Order,Color,P1000.csv,P1000_NRe.csv,P0.csv,P_soil.csv,P100_NRe.csv,P_emp.csv,P10_NRe.csv,P100.csv,P10.csv,P_urea.csv,P_water.csv
1,Black,3.9,5.2,6.333333333333333,4.0,6.1,5.0,5.15,3.95,4.55,8.333333333333334,6.333333333333333
1,Blue,27.19047619047619,338.42857142857144,291.0,133.66666666666666,330.7,277.0,326.0952380952381,36.95,56.75,321.3333333333333,291.0
1,Green,56.095238095238095,200.85714285714286,216.66666666666666,74.66666666666667,197.95238095238096,199.66666666666666,189.52380952380952,65.80952380952381,89.55,229.66666666666666,216.66666666666666
1,Red,59.57142857142857,343.7142857142857,353.3333333333333,124.66666666666667,339.6666666666667,331.3333333333333,322.3809523809524,73.33333333333333,106.38095238095238,350.6666666666667,353.3333333333333
1,White,136.47619047619048,836.3333333333334,810.5,321.5,821.6666666666666,767.75,793.8571428571429,169.04761904761904,241.66666666666666,843.75,810.5
2,Black,3.9,4.9,7.333333333333333,5.0,6.25,6.0,5.05,4.0,4.65,7.0,7.333333333333333
2,Blue,27.4,336.6,289.0,133.0,332.1,277.0,324.6666666666667,35.8,57.15,317.6666666666667,289.0
2,Green,56.285714285714285,201.66666666666666,217.66666666666666,73.0,197.76190476190476,199.33333333333334,190.14285714285714,66.61904761904762,89.45,228.0,217.66666666666666
2,Red,59.142857142857146,343.42857142857144,349.3333333333333,123.0,339.3333333333333,332.0,322.57142857142856,73.9047619047619,107.33333333333333,351.3333333333333,349.3333333333333
2,White,134.85714285714286,837.952380952381,807.5,324.0,819.9047619047619,769.0,793.1904761904761,169.52380952380952,243.04761904761904,841.25,807.5
3,Black,4.15,5.25,7.0,3.6666666666666665,5.8,5.666666666666667,5.2,4.1,4.65,7.0,7.0
3,Blue,27.95,337.15,287.6666666666667,135.66666666666666,332.75,276.3333333333333,324.85714285714283,36.4,56.4,315.6666666666667,287.6666666666667
3,Green,56.38095238095238,201.1904761904762,217.66666666666666,72.66666666666667,197.47619047619048,198.66666666666666,190.0952380952381,66.52380952380952,90.2,228.0,217.66666666666666
3,Red,59.57142857142857,343.1904761904762,355.3333333333333,122.33333333333333,340.0,334.3333333333333,323.1904761904762,73.42857142857143,106.76190476190476,349.6666666666667,355.3333333333333
3,White,135.47619047619048,836.047619047619,812.75,321.0,822.0952380952381,769.0,793.952380952381,169.66666666666666,243.04761904761904,842.5,812.75
4,Black,3.75,4.95,5.666666666666667,3.6666666666666665,5.85,5.333333333333333,5.15,3.85,4.6,7.0,5.666666666666667
