No.,Order,Color,Intensity
1,1,White,839
2,2,White,840
3,3,White,841
4,4,White,842
5,5,White,836
6,6,White,844
7,7,White,848
8,8,White,841
9,9,White,839
10,10,White,839
11,11,White,837
12,12,White,846
13,13,White,847
14,14,White,837
15,1,Red,346
16,2,Red,348
17,3,Red,345
18,4,Red,353
19,5,Red,342
20,6,Red,348
21,7,Red,350
22,8,Red,350
23,9,Red,352
24,10,Red,354
25,11,Red,348
26,12,Red,349
27,13,Red,350
28,14,Red,349
29,15,Red,349
30,1,Green,204
31,2,Green,200
32,3,Green,200
33,4,Green,200
34,5,Green,204
35,6,Green,204
36,7,Green,199
37,8,Green,200
38,9,Green,203
39,10,Green,200
40,11,Green,202
41,12,Green,201
42,13,Green,204
43,14,Green,200
44,1,Blue,341
45,2,Blue,337
46,3,Blue,339
47,4,Blue,337
48,5,Blue,343
49,6,Blue,335
50,7,Blue,333
51,8,Blue,340
52,9,Blue,339
53,10,Blue,338
54,11,Blue,335
55,12,Blue,338
56,13,Blue,333
57,14,Blue,341
58,15,Blue,341
59,1,Black,4
60,2,Black,5
61,3,Black,5
62,4,Black,5
63,5,Black,4
64,6,Black,6
65,7,Black,6
66,8,Black,6
67,9,Black,5
68,10,Black,5
69,11,Black,6
70,12,Black,5
71,13,Black,4
72,14,Black,5
73,15,Black,5
88,1,White,846
89,2,White,840
90,3,White,840
91,4,White,841
92,5,White,837
93,6,White,835
94,7,White,832
95,8,White,837
96,9,White,841
97,10,White,833
98,11,White,837
99,12,White,843
100,13,White,844
101,14,White,843
102,15,White,841
103,1,Red,343
104,2,Red,346
105,3,Red,350
106,4,Red,345
107,5,Red,346
108,6,Red,351
109,7,Red,343
110,8,Red,339
111,9,Red,338
112,10,Red,338
113,11,Red,341
114,12,Red,340
115,13,Red,343
116,14,Red,351
117,1,Green,203
118,2,Green,201
119,3,Green,204
120,4,Green,199
121,5,Green,204
122,6,Green,201
123,7,Green,197
124,8,Green,201
125,9,Green,201
126,10,Green,203
127,11,Green,200
128,12,Green,204
129,13,Green,200
130,14,Green,201
131,15,Green,200
132,1,Blue,338
133,2,Blue,335
134,3,Blue,340
135,4,Blue,343
136,5,Blue,338
137,6,Blue,335
138,7,Blue,336
139,8,Blue,340
140,9,Blue,334
141,10,Blue,338
142,11,Blue,337
143,12,Blue,339
144,13,Blue,338
145,14,Blue,337
146,15,Blue,336
147,1,Black,6
148,2,Black,6
149,3,Black,5
150,4,Black,4
151,5,Black,6
152,6,Black,6
153,7,Black,5
154,8,Black,5
155,9,Black,5
156,10,Black,6
157,11,Black,5
158,12,Black,5
159,13,Black,5
