No.,Order,Color,Intensity
1,1,White,830
2,2,White,822
3,3,White,832
4,4,White,832
5,5,White,823
6,6,White,833
7,7,White,826
8,8,White,828
9,9,White,831
10,10,White,818
11,11,White,834
12,12,White,829
13,13,White,831
14,14,White,832
15,1,Red,343
16,2,Red,343
17,3,Red,343
18,4,Red,336
19,5,Red,343
20,6,Red,343
21,7,Red,345
22,8,Red,346
23,9,Red,348
24,10,Red,345
25,11,Red,341
26,12,Red,347
27,13,Red,339
28,14,Red,342
29,15,Red,338
30,1,Green,197
31,2,Green,198
32,3,Green,195
33,4,Green,197
34,5,Green,202
35,6,Green,198
36,7,Green,199
37,8,Green,199
38,9,Green,201
39,10,Green,201
40,11,Green,201
41,12,Green,201
42,13,Green,202
43,14,Green,197
44,15,Green,202
45,1,Blue,336
46,2,Blue,335
47,3,Blue,337
48,4,Blue,337
49,5,Blue,337
50,6,Blue,337
51,7,Blue,333
52,8,Blue,331
53,9,Blue,337
54,10,Blue,332
55,11,Blue,336
56,12,Blue,334
57,13,Blue,331
58,14,Blue,335
59,1,Black,6
60,2,Black,7
61,3,Black,5
62,4,Black,5
63,5,Black,5
64,6,Black,6
65,7,Black,5
66,8,Black,6
67,9,Black,6
68,10,Black,7
69,11,Black,5
70,12,Black,8
71,13,Black,7
72,14,Black,5
73,15,Black,5
89,1,White,825
90,2,White,827
91,3,White,826
92,4,White,819
93,5,White,826
94,6,White,823
95,7,White,832
96,8,White,821
97,9,White,822
98,10,White,823
99,11,White,827
100,12,White,820
101,13,White,828
102,14,White,821
103,1,Red,341
104,2,Red,342
105,3,Red,341
106,4,Red,339
107,5,Red,346
108,6,Red,336
109,7,Red,343
110,8,Red,340
111,9,Red,341
112,10,Red,344
113,11,Red,338
114,12,Red,341
115,13,Red,343
116,14,Red,343
117,15,Red,335
118,1,Green,196
119,2,Green,195
120,3,Green,196
121,4,Green,200
122,5,Green,200
123,6,Green,196
124,7,Green,199
125,8,Green,198
126,9,Green,197
127,10,Green,200
128,11,Green,196
129,12,Green,198
130,13,Green,198
131,14,Green,199
132,15,Green,196
133,1,Blue,326
134,2,Blue,332
135,3,Blue,338
136,4,Blue,335
137,5,Blue,333
138,6,Blue,328
139,7,Blue,335
140,8,Blue,337
141,9,Blue,334
142,10,Blue,330
143,11,Blue,335
144,12,Blue,334
145,13,Blue,332
146,14,Blue,335
147,1,Black,6
148,2,Black,7
149,3,Black,6
150,4,Black,5
151,5,Black,5
152,6,Black,6
153,7,Black,7
154,8,Black,5
155,9,Black,5
156,10,Black,5
157,11,Black,5
158,12,Black,5
159,13,Black,5
160,14,Black,4
161,15,Black,6
177,1,White,825
178,2,White,818
179,3,White,821
180,4,White,822
181,5,White,823
182,6,White,827
183,7,White,814
184,8,White,823
185,9,White,820
186,10,White,822
187,11,White,823
188,12,White,815
189,13,White,824
190,14,White,827
191,1,Red,342
192,2,Red,336
193,3,Red,333
194,4,Red,337
195,5,Red,343
196,6,Red,344
197,7,Red,342
198,8,Red,346
199,9,Red,334
200,10,Red,337
201,11,Red,339
202,12,Red,340
203,13,Red,339
204,14,Red,339
205,15,Red,343
206,1,Green,197
207,2,Green,197
208,3,Green,194
209,4,Green,198
210,5,Green,202
211,6,Green,195
212,7,Green,197
213,8,Green,200
214,9,Green,196
215,10,Green,197
216,11,Green,195
217,12,Green,196
218,13,Green,197
219,14,Green,200
220,15,Green,194
221,1,Blue,335
222,2,Blue,335
223,3,Blue,330
224,4,Blue,337
225,5,Blue,329
226,6,Blue,331
227,7,Blue,335
228,8,Blue,333
229,9,Blue,332
230,10,Blue,338
231,11,Blue,336
232,12,Blue,334
233,13,Blue,330
234,14,Blue,328
235,15,Blue,329
236,1,Black,7
237,2,Black,6
238,3,Black,7
239,4,Black,5
240,5,Black,6
241,6,Black,5
242,7,Black,5
243,8,Black,6
244,9,Black,8
245,10,Black,8
246,11,Black,6
247,12,Black,7
248,13,Black,8
249,14,Black,6
265,1,White,824
266,2,White,821
267,3,White,818
268,4,White,828
269,5,White,821
270,6,White,828
271,7,White,821
272,8,White,817
273,9,White,822
274,10,White,823
275,11,White,820
276,12,White,821
277,13,White,821
278,14,White,831
279,15,White,823
280,1,Red,342
281,2,Red,334
282,3,Red,345
283,4,Red,346
284,5,Red,340
285,6,Red,344
286,7,Red,336
287,8,Red,344
288,9,Red,339
289,10,Red,337
290,11,Red,338
291,12,Red,339
292,13,Red,341
293,14,Red,343
294,1,Green,195
295,2,Green,195
296,3,Green,198
297,4,Green,204
298,5,Green,198
299,6,Green,203
300,7,Green,197
301,8,Green,199
302,9,Green,198
303,10,Green,198
304,11,Green,192
305,12,Green,201
306,13,Green,198
