Order,Color,P1000.csv,P1000_NRe.csv,P100_NRe.csv,P10_NRe.csv,P100.csv,P10.csv
1,Black,3.9,5.2,6.1,5.15,3.95,4.55
1,Blue,27.19047619047619,338.42857142857144,330.7,326.0952380952381,36.95,56.75
1,Green,56.095238095238095,200.85714285714286,197.95238095238096,189.52380952380952,65.80952380952381,89.55
1,Red,59.57142857142857,343.7142857142857,339.6666666666667,322.3809523809524,73.33333333333333,106.38095238095238
1,White,136.47619047619048,836.3333333333334,821.6666666666666,793.8571428571429,169.04761904761904,241.66666666666666
2,Black,3.9,4.9,6.25,5.05,4.0,4.65
2,Blue,27.4,336.6,332.1,324.6666666666667,35.8,57.15
2,Green,56.285714285714285,201.66666666666666,197.76190476190476,190.14285714285714,66.61904761904762,89.45
2,Red,59.142857142857146,343.42857142857144,339.3333333333333,322.57142857142856,73.9047619047619,107.33333333333333
2,White,134.85714285714286,837.952380952381,819.9047619047619,793.1904761904761,169.52380952380952,243.04761904761904
3,Black,4.15,5.25,5.8,5.2,4.1,4.65
3,Blue,27.95,337.15,332.75,324.85714285714283,36.4,56.4
3,Green,56.38095238095238,201.1904761904762,197.47619047619048,190.0952380952381,66.52380952380952,90.2
3,Red,59.57142857142857,343.1904761904762,340.0,323.1904761904762,73.42857142857143,106.76190476190476
3,White,135.47619047619048,836.047619047619,822.0952380952381,793.952380952381,169.66666666666666,243.04761904761904
4,Black,3.75,4.95,5.85,5.15,3.85,4.6
4,Blue,27.5,337.65,332.7,325.8,36.85,57.3
4,Green,55.476190476190474,201.23809523809524,197.33333333333334,189.0,66.76190476190476,89.95
4,Red,59.714285714285715,344.6190476190476,338.6666666666667,322.2857142857143,73.52380952380952,106.33333333333333
4,White,135.52380952380952,835.3809523809524,821.6190476190476,794.8571428571429,168.61904761904762,242.9047619047619
5,Black,3.7,4.85,6.05,5.05,3.8,4.25
5,Blue,27.15,337.9,331.85,326.05,36.45,56.4
5,Green,56.38095238095238,201.76190476190476,198.0952380952381,189.14285714285714,66.42857142857143,89.7
5,Red,59.285714285714285,343.5238095238095,341.1904761904762,321.23809523809524,73.80952380952381,106.28571428571429
5,White,135.0,836.5714285714286,821.0952380952381,794.2380952380952,168.38095238095238,242.1904761904762
6,Black,3.95,5.3,6.15,5.25,3.8,4.6
6,Blue,27.0,337.5,331.55,326.4,36.25,56.65
6,Green,55.76190476190476,201.33333333333334,196.71428571428572,189.66666666666666,65.95238095238095,88.95
6,Red,58.76190476190476,343.9047619047619,340.5238095238095,321.3333333333333,73.85714285714286,106.52380952380952
6,White,135.9047619047619,836.2380952380952,822.047619047619,793.5714285714286,169.71428571428572,242.47619047619048
7,Black,3.7,5.25,6.45,4.8,3.8,4.45
7,Blue,26.95,337.65,333.5,324.15,36.75,56.7
