No.,Order,Color,Intensity
1,1,White,268
2,2,White,262
3,3,White,264
4,4,White,267
5,5,White,263
6,6,White,261
7,7,White,257
8,8,White,257
9,9,White,256
10,1,Red,117
11,2,Red,119
12,3,Red,117
13,4,Red,115
14,5,Red,119
15,6,Red,111
16,7,Red,119
17,8,Red,113
18,9,Red,116
19,10,Red,112
20,1,Green,98
21,2,Green,95
22,3,Green,95
23,4,Green,90
24,5,Green,94
25,6,Green,91
26,7,Green,91
27,8,Green,95
28,9,Green,94
29,10,Green,95
30,1,Blue,61
31,2,Blue,64
32,3,Blue,62
33,4,Blue,64
34,5,Blue,62
35,6,Blue,64
36,7,Blue,65
37,8,Blue,60
38,9,Blue,65
39,10,Blue,62
40,1,Black,4
41,2,Black,5
42,3,Black,5
43,4,Black,5
44,5,Black,4
45,6,Black,5
46,7,Black,5
47,8,Black,5
48,9,Black,5
49,10,Black,5
60,1,White,250
61,2,White,250
62,3,White,252
63,4,White,256
64,5,White,259
65,6,White,255
66,7,White,251
67,8,White,251
68,9,White,252
69,10,White,246
70,1,Red,113
71,2,Red,110
72,3,Red,110
73,4,Red,110
74,5,Red,113
75,6,Red,109
76,7,Red,109
77,8,Red,114
78,9,Red,110
79,1,Green,92
80,2,Green,89
81,3,Green,95
82,4,Green,93
83,5,Green,96
84,6,Green,93
85,7,Green,96
86,8,Green,94
87,9,Green,91
88,10,Green,93
89,1,Blue,62
90,2,Blue,64
91,3,Blue,63
92,4,Blue,61
93,5,Blue,64
94,6,Blue,60
95,7,Blue,61
96,8,Blue,59
97,9,Blue,59
98,10,Blue,59
99,1,Black,6
100,2,Black,5
101,3,Black,6
102,4,Black,4
103,5,Black,5
104,6,Black,5
105,7,Black,6
106,8,Black,5
107,9,Black,4
108,10,Black,6
119,1,White,250
120,2,White,253
121,3,White,258
122,4,White,251
123,5,White,254
124,6,White,251
125,7,White,256
126,8,White,251
127,9,White,254
128,10,White,253
129,1,Red,112
130,2,Red,111
131,3,Red,116
132,4,Red,109
133,5,Red,111
134,6,Red,109
135,7,Red,109
136,8,Red,110
137,9,Red,111
