No.,Order,Color,Intensity
1,1,White,947
2,2,White,950
3,3,White,952
4,4,White,947
5,5,White,952
6,6,White,952
7,7,White,951
8,8,White,947
9,9,White,942
10,10,White,949
11,11,White,954
12,12,White,955
13,13,White,950
14,14,White,945
15,15,White,950
16,16,White,950
17,17,White,954
18,18,White,954
19,19,White,955
20,20,White,952
21,21,White,953
22,22,White,948
23,23,White,952
24,24,White,949
30,1,Red,337
31,2,Red,344
32,3,Red,348
33,4,Red,340
34,5,Red,344
35,6,Red,345
36,7,Red,335
37,8,Red,340
38,9,Red,339
39,10,Red,346
40,11,Red,337
41,12,Red,344
42,13,Red,335
43,14,Red,342
44,15,Red,340
45,16,Red,338
46,17,Red,347
47,18,Red,346
48,19,Red,346
49,20,Red,347
50,21,Red,344
51,22,Red,344
52,23,Red,342
53,24,Red,339
59,1,Green,433
60,2,Green,431
61,3,Green,437
62,4,Green,426
63,5,Green,432
64,6,Green,437
65,7,Green,428
66,8,Green,435
67,9,Green,440
68,10,Green,434
69,11,Green,437
70,12,Green,434
71,13,Green,433
72,14,Green,432
73,15,Green,437
74,16,Green,434
75,17,Green,435
76,18,Green,439
77,19,Green,426
78,20,Green,431
79,21,Green,439
80,22,Green,435
81,23,Green,432
82,24,Green,439
89,1,Blue,286
90,2,Blue,281
91,3,Blue,286
92,4,Blue,283
93,5,Blue,287
94,6,Blue,288
95,7,Blue,277
96,8,Blue,284
97,9,Blue,282
98,10,Blue,282
99,11,Blue,281
100,12,Blue,281
101,13,Blue,283
102,14,Blue,279
103,15,Blue,289
104,16,Blue,282
105,17,Blue,285
106,18,Blue,286
107,19,Blue,285
108,20,Blue,283
109,21,Blue,285
110,22,Blue,279
111,23,Blue,283
112,24,Blue,284
118,1,Black,4
119,2,Black,4
120,3,Black,5
121,4,Black,5
122,5,Black,4
123,6,Black,4
124,7,Black,4
125,8,Black,4
126,9,Black,4
127,10,Black,4
128,11,Black,4
129,12,Black,4
130,13,Black,5
131,14,Black,4
132,15,Black,4
133,16,Black,5
134,17,Black,4
135,18,Black,4
136,19,Black,4
137,20,Black,4
138,21,Black,5
139,22,Black,4
140,23,Black,4
141,24,Black,4
176,1,White,950
177,2,White,955
178,3,White,948
179,4,White,955
180,5,White,946
181,6,White,954
182,7,White,955
183,8,White,947
184,9,White,942
185,10,White,950
186,11,White,953
187,12,White,952
188,13,White,952
189,14,White,948
190,15,White,953
191,16,White,948
192,17,White,946
193,18,White,947
194,19,White,947
195,20,White,949
196,21,White,954
197,22,White,948
198,23,White,947
199,24,White,954
205,1,Red,340
206,2,Red,338
207,3,Red,342
208,4,Red,342
209,5,Red,347
210,6,Red,347
211,7,Red,336
212,8,Red,348
213,9,Red,343
214,10,Red,340
215,11,Red,345
216,12,Red,340
217,13,Red,342
218,14,Red,345
219,15,Red,341
220,16,Red,343
221,17,Red,344
222,18,Red,342
223,19,Red,340
224,20,Red,341
225,21,Red,345
226,22,Red,342
227,23,Red,343
228,24,Red,343
235,1,Green,428
236,2,Green,434
237,3,Green,436
238,4,Green,432
239,5,Green,434
240,6,Green,437
241,7,Green,426
242,8,Green,437
243,9,Green,429
244,10,Green,436
245,11,Green,434
246,12,Green,432
247,13,Green,437
248,14,Green,433
249,15,Green,437
250,16,Green,434
251,17,Green,430
252,18,Green,441
253,19,Green,437
254,20,Green,434
255,21,Green,433
256,22,Green,439
257,23,Green,435
258,24,Green,431
264,1,Blue,286
265,2,Blue,283
266,3,Blue,284
267,4,Blue,281
268,5,Blue,281
269,6,Blue,283
270,7,Blue,285
271,8,Blue,283
272,9,Blue,287
273,10,Blue,286
274,11,Blue,288
275,12,Blue,287
276,13,Blue,289
277,14,Blue,285
278,15,Blue,290
279,16,Blue,283
280,17,Blue,288
281,18,Blue,285
282,19,Blue,285
283,20,Blue,287
284,21,Blue,283
285,22,Blue,285
286,23,Blue,286
287,24,Blue,282
293,1,Black,4
294,2,Black,4
295,3,Black,4
296,4,Black,4
297,5,Black,5
298,6,Black,5
299,7,Black,5
300,8,Black,4
301,9,Black,4
302,10,Black,4
303,11,Black,4
304,12,Black,4
305,13,Black,4
306,14,Black,4
307,15,Black,4
308,16,Black,4
309,17,Black,4
310,18,Black,4
311,19,Black,4
312,20,Black,4
313,21,Black,4
314,22,Black,4
315,23,Black,4
316,24,Black,4
352,1,White,948
353,2,White,949
354,3,White,949
355,4,White,953
356,5,White,949
357,6,White,953
358,7,White,955
359,8,White,954
360,9,White,952
361,10,White,946
362,11,White,948
363,12,White,943
364,13,White,948
365,14,White,946
366,15,White,948
367,16,White,949
368,17,White,953
369,18,White,950
370,19,White,948
371,20,White,955
372,21,White,949
373,22,White,946
374,23,White,948
375,24,White,953
381,1,Red,338
382,2,Red,342
383,3,Red,343
384,4,Red,345
385,5,Red,340
386,6,Red,345
387,7,Red,343
388,8,Red,342
389,9,Red,340
390,10,Red,340
391,11,Red,342
392,12,Red,343
393,13,Red,342
394,14,Red,346
395,15,Red,342
396,16,Red,339
397,17,Red,340
398,18,Red,341
399,19,Red,339
400,20,Red,336
401,21,Red,341
402,22,Red,343
403,23,Red,345
404,24,Red,348
410,1,Green,438
411,2,Green,438
412,3,Green,436
413,4,Green,439
414,5,Green,439
415,6,Green,435
416,7,Green,437
417,8,Green,433
418,9,Green,430
419,10,Green,437
420,11,Green,436
421,12,Green,438
422,13,Green,436
423,14,Green,439
424,15,Green,436
425,16,Green,437
426,17,Green,438
427,18,Green,435
428,19,Green,432
429,20,Green,435
430,21,Green,433
431,22,Green,434
432,23,Green,431
433,24,Green,434
439,1,Blue,282
440,2,Blue,281
441,3,Blue,286
442,4,Blue,281
443,5,Blue,282
444,6,Blue,282
445,7,Blue,285
