No.,Order,Color,Intensity
1,1,White,847
2,2,White,851
3,3,White,843
4,4,White,849
5,5,White,851
6,6,White,846
7,7,White,847
8,8,White,846
9,9,White,850
10,10,White,849
11,11,White,852
12,12,White,844
13,13,White,845
14,14,White,849
15,15,White,850
16,16,White,848
17,17,White,844
18,18,White,850
19,19,White,849
20,20,White,843
21,21,White,843
22,22,White,847
23,23,White,843
24,24,White,848
30,1,Red,324
31,2,Red,321
32,3,Red,325
33,4,Red,327
34,5,Red,324
35,6,Red,320
36,7,Red,320
37,8,Red,326
38,9,Red,324
39,10,Red,325
40,11,Red,323
41,12,Red,323
42,13,Red,321
43,14,Red,316
44,15,Red,321
45,16,Red,326
46,17,Red,321
47,18,Red,315
48,19,Red,326
49,20,Red,317
50,21,Red,326
51,22,Red,319
52,23,Red,325
53,24,Red,314
60,1,Green,356
61,2,Green,356
62,3,Green,355
63,4,Green,350
64,5,Green,340
65,6,Green,348
66,7,Green,348
67,8,Green,351
68,9,Green,348
69,10,Green,350
70,11,Green,350
71,12,Green,355
72,13,Green,351
73,14,Green,352
74,15,Green,353
75,16,Green,356
76,17,Green,356
77,18,Green,352
78,19,Green,351
79,20,Green,352
80,21,Green,356
81,22,Green,355
82,23,Green,353
83,24,Green,358
90,1,Blue,229
91,2,Blue,223
92,3,Blue,231
93,4,Blue,224
94,5,Blue,229
95,6,Blue,224
96,7,Blue,232
97,8,Blue,229
98,9,Blue,229
99,10,Blue,231
100,11,Blue,232
101,12,Blue,226
102,13,Blue,225
103,14,Blue,229
104,15,Blue,226
105,16,Blue,231
106,17,Blue,230
107,18,Blue,226
108,19,Blue,228
109,20,Blue,227
110,21,Blue,230
111,22,Blue,229
112,23,Blue,225
113,24,Blue,228
119,1,Black,5
120,2,Black,4
121,3,Black,4
122,4,Black,4
123,5,Black,4
124,6,Black,5
125,7,Black,4
126,8,Black,4
127,9,Black,4
128,10,Black,4
129,11,Black,4
130,12,Black,4
131,13,Black,5
132,14,Black,4
133,15,Black,4
134,16,Black,4
135,17,Black,5
136,18,Black,5
137,19,Black,4
138,20,Black,5
139,21,Black,4
140,22,Black,4
141,23,Black,4
142,24,Black,5
179,1,White,847
180,2,White,852
181,3,White,850
182,4,White,847
183,5,White,845
184,6,White,844
185,7,White,852
186,8,White,858
187,9,White,855
188,10,White,857
189,11,White,855
190,12,White,845
191,13,White,859
192,14,White,859
193,15,White,853
194,16,White,851
195,17,White,850
196,18,White,858
197,19,White,856
198,20,White,857
199,21,White,851
200,22,White,855
201,23,White,853
202,24,White,850
208,1,Red,318
209,2,Red,321
210,3,Red,316
211,4,Red,321
212,5,Red,318
213,6,Red,318
214,7,Red,317
215,8,Red,320
216,9,Red,321
217,10,Red,324
218,11,Red,326
219,12,Red,327
220,13,Red,319
221,14,Red,326
222,15,Red,321
223,16,Red,324
224,17,Red,324
225,18,Red,327
226,19,Red,317
227,20,Red,322
228,21,Red,326
229,22,Red,324
230,23,Red,322
231,24,Red,322
238,1,Green,354
239,2,Green,352
240,3,Green,359
241,4,Green,355
242,5,Green,359
243,6,Green,351
244,7,Green,357
245,8,Green,354
246,9,Green,354
247,10,Green,357
248,11,Green,353
249,12,Green,351
250,13,Green,354
251,14,Green,355
252,15,Green,354
253,16,Green,353
254,17,Green,351
255,18,Green,354
256,19,Green,356
257,20,Green,349
258,21,Green,351
259,22,Green,356
260,23,Green,353
261,24,Green,355
268,1,Blue,225
269,2,Blue,226
270,3,Blue,227
271,4,Blue,224
272,5,Blue,224
273,6,Blue,226
274,7,Blue,224
275,8,Blue,233
276,9,Blue,233
277,10,Blue,225
278,11,Blue,225
279,12,Blue,233
280,13,Blue,228
281,14,Blue,223
282,15,Blue,231
283,16,Blue,231
284,17,Blue,231
285,18,Blue,225
286,19,Blue,224
287,20,Blue,229
288,21,Blue,220
289,22,Blue,225
290,23,Blue,224
291,24,Blue,227
297,1,Black,5
298,2,Black,4
299,3,Black,4
300,4,Black,4
301,5,Black,4
302,6,Black,4
303,7,Black,4
304,8,Black,4
305,9,Black,4
306,10,Black,4
307,11,Black,4
308,12,Black,4
309,13,Black,5
310,14,Black,5
311,15,Black,3
312,16,Black,5
313,17,Black,4
314,18,Black,5
315,19,Black,4
316,20,Black,5
317,21,Black,4
318,22,Black,4
319,23,Black,4
320,24,Black,4
357,1,White,850
358,2,White,848
359,3,White,854
360,4,White,847
361,5,White,853
362,6,White,845
363,7,White,851
364,8,White,851
365,9,White,851
366,10,White,849
367,11,White,849
368,12,White,853
369,13,White,852
370,14,White,848
371,15,White,841
372,16,White,855
373,17,White,850
374,18,White,850
375,19,White,851
376,20,White,847
377,21,White,851
378,22,White,850
379,23,White,852
380,24,White,849
386,1,Red,323
387,2,Red,322
388,3,Red,323
389,4,Red,323
390,5,Red,319
391,6,Red,325
392,7,Red,325
393,8,Red,325
394,9,Red,324
395,10,Red,325
396,11,Red,319
397,12,Red,323
398,13,Red,325
399,14,Red,327
400,15,Red,326
401,16,Red,321
402,17,Red,319
403,18,Red,319
404,19,Red,320
405,20,Red,317
406,21,Red,322
407,22,Red,326
408,23,Red,319
409,24,Red,321
416,1,Green,349
417,2,Green,353
418,3,Green,354
419,4,Green,353
420,5,Green,348
421,6,Green,348
422,7,Green,351
423,8,Green,345
424,9,Green,358
425,10,Green,349
426,11,Green,349
427,12,Green,356
428,13,Green,354
429,14,Green,352
430,15,Green,351
431,16,Green,357
432,17,Green,350
433,18,Green,356
434,19,Green,353
435,20,Green,357
436,21,Green,352
437,22,Green,352
438,23,Green,352
439,24,Green,348
446,1,Blue,223
447,2,Blue,225
448,3,Blue,227
449,4,Blue,227
450,5,Blue,230
451,6,Blue,231
452,7,Blue,228
453,8,Blue,226
454,9,Blue,225
455,10,Blue,225
456,11,Blue,226
457,12,Blue,225
458,13,Blue,225
459,14,Blue,225
460,15,Blue,233
461,16,Blue,228
462,17,Blue,232
463,18,Blue,225
464,19,Blue,225
465,20,Blue,227
466,21,Blue,231
467,22,Blue,226
468,23,Blue,229
469,24,Blue,226
475,1,Black,4
476,2,Black,5
477,3,Black,5
478,4,Black,5
479,5,Black,4
480,6,Black,5
481,7,Black,5
482,8,Black,4
483,9,Black,4
484,10,Black,4
485,11,Black,4
486,12,Black,4
487,13,Black,5
488,14,Black,4
489,15,Black,5
490,16,Black,5
491,17,Black,4
492,18,Black,5
493,19,Black,5
494,20,Black,4
495,21,Black,4
496,22,Black,4
497,23,Black,5
498,24,Black,5
535,1,White,847
536,2,White,857
537,3,White,844
538,4,White,853
539,5,White,853
540,6,White,849
541,7,White,850
542,8,White,851
543,9,White,853
544,10,White,849
545,11,White,856
546,12,White,849
547,13,White,851
548,14,White,852
549,15,White,854
550,16,White,858
551,17,White,848
552,18,White,855
553,19,White,851
554,20,White,848
555,21,White,856
556,22,White,853
557,23,White,854
558,24,White,852
564,1,Red,325
565,2,Red,320
566,3,Red,318
567,4,Red,321
568,5,Red,322
569,6,Red,322
570,7,Red,326
571,8,Red,327
572,9,Red,319
573,10,Red,321
574,11,Red,322
575,12,Red,314
576,13,Red,321
577,14,Red,324
578,15,Red,320
579,16,Red,323
580,17,Red,321
581,18,Red,320
582,19,Red,324
583,20,Red,325
584,21,Red,323
585,22,Red,324
586,23,Red,323
587,24,Red,324
594,1,Green,357
595,2,Green,351
596,3,Green,355
597,4,Green,348
598,5,Green,356
599,6,Green,354
600,7,Green,351
601,8,Green,352
602,9,Green,359
603,10,Green,355
604,11,Green,354
605,12,Green,346
606,13,Green,350
607,14,Green,350
608,15,Green,350
609,16,Green,355
610,17,Green,358
611,18,Green,358
612,19,Green,352
613,20,Green,354
614,21,Green,357
615,22,Green,354
616,23,Green,351
617,24,Green,356
624,1,Blue,228
625,2,Blue,228
626,3,Blue,230
627,4,Blue,226
628,5,Blue,224
629,6,Blue,223
630,7,Blue,231
631,8,Blue,226
632,9,Blue,230
633,10,Blue,228
634,11,Blue,229
635,12,Blue,229
636,13,Blue,227
637,14,Blue,225
638,15,Blue,225
639,16,Blue,228
640,17,Blue,228
641,18,Blue,228
642,19,Blue,225
643,20,Blue,230
644,21,Blue,229
645,22,Blue,224
646,23,Blue,221
647,24,Blue,225
653,1,Black,3
654,2,Black,4
655,3,Black,4
656,4,Black,4
657,5,Black,4
658,6,Black,4
659,7,Black,4
660,8,Black,5
661,9,Black,4
662,10,Black,4
663,11,Black,4
664,12,Black,5
665,13,Black,4
666,14,Black,4
667,15,Black,5
668,16,Black,4
669,17,Black,4
670,18,Black,4
671,19,Black,5
672,20,Black,4
673,21,Black,4
674,22,Black,4
675,23,Black,4
676,24,Black,4
