Order,Color,N2_NoR,N10_NoR,N20_W,N2_W,N60_W,N8_NoR,N4_W,N60_NoR,N40_W,N80_W,N6_W,N10_W,N8_W,N20_NoR,N4_NoR,N80_NoR,N40_NoR,N6_NoR,N100_NoR,N100_W
1,Black,5.5,3.25,4.5,5.0,4.0,3.0,4.5,4.0,4.75,4.75,4.25,3.25,3.75,4.25,4.75,4.25,3.75,3.5,4.0,4.25
1,Blue,267.25,239.25,228.75,271.0,219.5,263.25,283.0,282.25,269.5,219.75,295.25,196.75,271.25,226.25,273.5,223.75,262.25,273.75,236.0,285.25
1,Green,429.5,381.75,346.5,426.25,333.0,412.0,416.25,442.75,371.5,352.5,412.25,293.5,418.5,354.0,398.75,334.25,376.25,384.5,353.25,432.0
1,Red,327.5,314.75,319.5,333.5,308.75,337.5,330.5,361.75,329.5,299.0,340.25,308.5,339.25,322.5,325.75,300.5,321.25,335.5,317.25,339.0
1,White,941.25,892.25,843.25,944.0,817.75,939.5,944.75,953.5,907.75,826.75,946.0,763.5,944.25,847.75,926.5,813.25,901.0,929.75,848.5,948.5
2,Black,4.75,3.0,4.5,5.5,4.0,3.5,4.25,4.25,4.5,4.5,4.25,3.0,3.5,4.25,4.0,5.0,4.25,3.5,4.25,4.0
2,Blue,264.25,238.5,228.25,270.25,219.25,263.5,285.75,285.0,269.5,221.75,299.5,194.0,269.75,225.5,273.0,223.25,262.75,273.5,238.0,282.75
2,Green,432.75,381.0,349.25,428.0,333.0,410.25,412.25,446.25,368.0,354.25,418.0,296.25,417.25,353.0,397.0,333.25,372.25,384.25,354.25,433.75
2,Red,327.75,316.25,320.75,331.0,309.0,333.75,333.25,360.25,330.75,299.0,337.75,309.25,339.25,321.0,325.0,302.25,324.75,335.0,315.25,341.0
2,White,943.0,889.0,844.0,942.75,816.25,938.5,941.75,954.25,911.25,829.5,949.75,763.5,944.0,852.0,929.5,813.5,894.25,932.75,852.0,950.5
