Order,Color,N2_NoR,N10_NoR,N20_W,N2_W,N60_W,N8_NoR,N4_W,N60_NoR,N40_W,N80_W,N6_W,N10_W,N8_W,N20_NoR,N4_NoR,N80_NoR,N40_NoR,N6_NoR,N100_NoR,N100_W
1,Black,0.5773502691896257,0.5,0.5773502691896257,0.0,0.0,0.0,0.5773502691896257,0.0,0.4999999999999999,0.4999999999999999,0.5,0.5,0.5,0.9574271077563382,0.4999999999999999,0.4999999999999999,0.5,0.5773502691896257,0.0,0.5
1,Blue,4.112987559751022,4.573474244670748,3.403429642777024,0.8164965809277203,1.7320508075688772,1.8929694486000972,2.1602468994692803,3.774917217635374,3.696845502136472,2.2173557826083448,0.5000000000000047,0.9574271077563368,2.2173557826083528,2.7537852736430497,1.7320508075688772,3.685557397916,6.075908711186055,0.5000000000000047,2.160246899469287,2.2173557826083483
1,Green,5.50757054728611,7.041543391425875,10.40832999733067,3.403429642777025,3.366501646120693,2.1602468994692803,4.425306015783917,0.9574271077563404,13.601470508735453,3.1091263510296048,4.193248541803047,6.608075867199663,2.645751311064598,3.559026084010437,3.8622100754188233,5.852349955359813,18.874586088176876,4.725815626252611,2.217355782608345,4.546060565661952
1,Red,2.886751345948134,4.573474244670755,3.1091263510296048,1.914854215512676,4.349329450233297,1.2909944487358056,4.5092497528229005,1.707825127659933,5.066228051190223,2.1602468994692936,2.9860788111948198,1.7320508075688827,2.2173557826083483,3.1091263510296003,2.98607881119482,1.0000000000000049,5.852349955359805,5.066228051190229,3.201562118716424,1.825741858350556
1,White,1.8929694486000788,13.149778198382904,7.088723439378897,0.8164965809277376,5.678908345800284,3.415650255319866,4.031128874149275,2.886751345948129,9.251126057585289,4.5,2.581988897471626,6.350852961085875,2.629955639676589,1.5,4.434711565216692,4.4999999999999885,18.93849694845571,2.0615528128088143,6.952217871538075,1.2909944487358056
2,Black,0.5,0.0,1.0,0.5773502691896258,0.0,0.5773502691896257,0.4999999999999999,0.5,0.5773502691896257,0.5773502691896258,0.4999999999999999,0.0,0.5773502691896257,0.5,0.0,0.0,0.5,0.5773502691896257,0.5,0.816496580927726
2,Blue,3.304037933599828,6.454972243679028,1.8929694486000928,2.753785273643043,3.304037933599839,1.914854215512676,2.8722813232690143,3.366501646120686,2.0816659994661326,2.9860788111948167,3.696845502136465,1.8257418583505536,3.9475730941090057,2.081665999466135,3.55902608401044,1.7078251276599323,5.188127472091127,2.3804761428476167,1.4142135623730951,2.3629078131263013
2,Green,3.304037933599835,6.48074069840786,7.804912982645391,1.632993161855452,3.1622776601683795,2.5,3.593976442141304,5.057996968497838,14.696938456699067,1.8929694486000972,3.4641016151377544,5.3774219349672245,5.188127472091125,2.160246899469291,1.9999999999999951,5.678908345800268,15.58578412100805,4.7871355387816905,4.349329450233305,3.0956959368344554
2,Red,3.30403793359984,4.991659710623983,3.201562118716425,4.082482904638634,2.160246899469287,1.258305739211786,1.2583057392117898,2.499999999999999,4.112987559751022,0.816496580927726,1.4999999999999984,1.5,2.8722813232690143,0.816496580927726,0.816496580927726,1.8929694486000972,5.852349955359808,2.449489742783186,3.500000000000003,2.581988897471611
2,White,4.69041575982343,13.140268896284685,6.377042156569663,5.737304826019502,5.909032633745278,5.916079783099622,3.8622100754188113,2.0615528128088325,11.324751652906125,2.3804761428476167,4.031128874149262,5.446711546122731,0.816496580927726,3.741657386773938,2.3804761428476167,3.785938897200175,20.822663934601017,1.892969448600084,8.04155872120988,3.109126351029617
3,Black,0.4999999999999999,0.0,0.0,0.0,0.0,0.5,0.5773502691896258,0.0,0.4999999999999999,0.5773502691896257,0.5,0.0,0.5773502691896257,0.5,0.4999999999999999,0.5773502691896258,0.4999999999999999,0.5,0.4999999999999999,0.5773502691896257
3,Blue,1.5,6.244997998398396,4.193248541803044,1.7320508075688827,2.6299556396765835,3.7749172176353816,3.8622100754188224,1.4142135623730985,4.500000000000006,2.9439202887759497,3.4156502553198647,1.8257418583505525,2.380476142847623,2.0615528128088307,3.872983346207422,4.272001872658762,4.924428900898052,3.559026084010437,1.2583057392117925,0.9574271077563404
3,Green,1.4999999999999984,4.5,6.946221994724902,3.1091263510296048,6.291528696058957,3.593976442141304,2.7537852736430586,2.629955639676586,16.268579122549912,2.3804761428476167,1.7078251276599372,4.795831523312718,4.349329450233297,2.217355782608345,3.304037933599835,3.0956959368344448,12.84198842339716,4.69041575982343,2.217355782608345,2.21735578260834
3,Red,4.830458915396474,4.856267428111147,1.4142135623730985,2.5,3.3166247903554,1.290994448735802,3.30403793359984,1.4142135623730885,2.309401076758512,2.6299556396765897,3.1091263510296048,2.362907813126307,2.8722813232690143,4.203173404306164,3.8622100754188224,3.403429642777018,5.499999999999993,3.1091263510296048,3.1622776601683795,3.1091263510296003
3,White,2.4999999999999907,13.952299690970914,3.415650255319869,4.795831523312712,4.242640687119287,3.947573094109008,1.914854215512681,2.362907813126298,9.128709291752756,2.943920288775949,2.7080128015453098,2.449489742783178,4.690415759823428,5.188127472091127,4.24264068711929,11.030261405182864,16.91892431568862,4.43471156521668,6.271629240742258,1.892969448600084
