N,P,K
0920,2350,559
0137,213,262
0137,213,262
0137,213,262
0136,213,262
0136,213,262
0136,212,262
0136,212,262
0136,213,262
0136,213,262
0136,212,262
0136,212,261
0136,212,261
0136,212,261
0136,212,261
0136,212,261
0136,212,261
0135,211,260
0135,211,260
0134,210,259
0133,209,257
Light Source Color - WHITE, 27/03/2024,13:12:37
1133,208,257
146929,37595,36638
146803,37461,36332
146739,37389,36199
146689,37333,36105
146652,37292,36032
146687,37289,35999
146656,37256,35938
146619,37222,35881
146594,37199,35832
146563,37170,35785
146595,37170,35760
146579,37150,35715
146553,37125,35671
146530,37104,35627
146508,37085,35586
146489,37064,35544
146520,37065,35525
146500,37046,35487
146476,37027,35450
146454,37008,35410
146433,36989,35375
Light Source Color - OFF, 27/03/2024,13:13:02
244531,35474,33908
2126,201,248
2126,201,248
2126,201,248
2126,201,248
2126,201,248
2127,202,249
2127,202,249
2127,202,249
2127,202,249
2127,202,249
2127,202,249
2127,202,249
2127,202,249
2127,202,249
2127,202,249
2127,202,249
2127,202,248
2126,201,248
2126,201,248
2126,201,248
2126,201,248
Light Source Color - RED, 27/03/2024,13:13:26
3126,201,248
33761,1897,33326
33753,1890,33193
33750,1887,33149
33749,1887,33137
33748,1886,33116
33747,1885,33100
33746,1884,33088
33745,1883,33076
33745,1883,33072
33744,1883,33064
33744,1882,33053
33743,1882,33044
33742,1881,33035
33742,1881,33030
33741,1880,33021
33741,1880,33015
33740,1880,33007
33740,1879,32998
33740,1879,32994
33739,1879,32985
33738,1878,32979
33738,1878,32971
Light Source Color - OFF, 27/03/2024,13:13:51
43738,1877,32963
4198,234,902
4126,201,247
4126,201,247
4125,200,247
4125,200,247
4126,201,247
4125,200,247
4125,200,247
4125,200,247
4125,200,247
4125,200,247
4125,200,247
4125,200,247
4125,200,247
4125,200,247
4125,200,247
4125,200,247
4125,200,247
4125,200,247
4125,200,247
4125,200,247
Light Source Color - GREEN, 27/03/2024,13:14:15
5125,200,247
510035,26334,3792
510002,26267,3788
59984,26232,3787
59978,26220,3786
59968,26200,3785
59961,26187,3784
59956,26176,3784
59952,26167,3783
59950,26165,3783
59947,26158,3783
59944,26151,3782
59940,26145,3782
59937,26139,3781
59936,26137,3781
59934,26132,3781
59931,26128,3780
59928,26122,3780
59927,26118,3780
59926,26118,3780
59924,26113,3780
59922,26109,3779
59920,26106,3779
Light Source Color - OFF, 27/03/2024,13:14:40
69919,26102,3779
6639,1560,432
6125,200,247
6125,200,247
6125,200,247
6125,200,247
6125,200,247
6125,200,247
6125,200,247
6125,200,247
6125,200,246
6125,200,247
6125,200,247
6125,200,247
6125,200,246
6125,200,246
6125,200,247
6125,200,247
6125,200,247
6125,200,246
6125,200,246
6125,200,246
Light Source Color - BLUE, 27/03/2024,13:15:04
7125,200,246
734666,10502,670
734666,10507,670
734662,10508,670
734662,10509,670
734677,10514,670
734673,10514,670
734667,10513,670
734666,10513,670
734662,10512,670
734669,10514,670
734663,10513,670
734665,10514,670
734654,10512,670
734667,10515,670
734668,10515,670
734671,10517,670
734666,10515,670
734664,10515,670
734677,10519,670
734677,10519,670
734670,10517,670
734661,10515,670
Light Source Color - OFF, 27/03/2024,13:15:29
834657,10514,670
83626,1245,289
8125,200,246
8125,200,246
8125,200,246
8125,200,246
8125,200,246
8125,200,246
8125,200,246
8125,200,246
8125,200,246
8125,200,246
8125,200,246
8125,200,246
8125,200,246
8125,200,246
8125,200,246
8125,200,246
8125,200,246
8125,200,246
8125,200,246
8125,200,246
Light Source Color - WHITE, 27/03/2024,13:15:53
9125,200,246
946761,37395,36134
946628,37259,35845
946566,37186,35717
946520,37133,35629
946536,37120,35591
946516,37088,35527
946485,37058,35470
946457,37029,35419
946430,37004,35374
946400,36979,35327
946433,36979,35306
946413,36960,35265
946384,36937,35223
946360,36917,35186
946335,36897,35146
946363,36900,35128
946354,36885,35092
946332,36866,35056
946310,36849,35020
946286,36830,34985
946263,36813,34952
Light Source Color - OFF, 27/03/2024,13:16:17
1046303,36819,34936
10125,200,246
10125,200,246
10125,200,246
10125,200,246
10125,200,246
10125,200,246
10125,200,246
10125,200,246
10125,199,246
10125,199,246
10125,200,246
10125,200,246
10125,199,246
10125,199,246
10125,199,246
10125,200,246
