Blank_Tube8
N,P,K
0, 607,1511,430
0, 1286,3362,687
0, 1283,3355,686
0, 1282,3354,686
0, 1281,3353,686
0, 1281,3353,686
0, 1280,3351,685
0, 1280,3350,685
0, 1280,3350,685
0, 1280,3350,685
0, 1279,3349,685
0, 1279,3348,685
0, 1279,3350,685
0, 1279,3349,685
0, 1278,3346,685
0, 1278,3347,685
0, 1279,3348,685
0, 1279,3349,685
0, 1278,3347,685
0, 1278,3346,685
0, 1278,3346,685
0, 1278,3345,685
0, 1278,3345,685
0, 1278,3345,685
0, 1278,3346,685
0, 1278,3346,685
0, 1277,3345,685
0, 1277,3345,685
0, 1277,3345,685
0, 1277,3345,685
0, 1277,3345,685
0, 1278,3345,685
Blank_Tube8Light Source Color - WHITE,27/03/2024,13:42:54
1, 1277,3345,685
1, 46785,37510,36376
1, 46694,37413,36158
1, 46710,37395,36095
1, 46668,37343,36001
1, 46625,37298,35928
1, 46590,37263,35863
1, 46565,37234,35806
1, 46534,37204,35755
1, 46569,37206,35731
1, 46558,37187,35685
1, 46528,37159,35637
1, 46505,37138,35593
1, 46485,37119,35551
1, 46509,37118,35531
1, 46498,37100,35489
1, 46473,37077,35451
1, 46450,37058,35409
1, 46429,37039,35372
1, 46402,37020,35337
1, 46437,37024,35321
1, 46419,37006,35282
1, 46393,36986,35247
1, 46369,36968,35211
1, 46352,36952,35178
1, 46331,36934,35144
1, 46372,36939,35127
1, 46363,36927,35094
1, 46342,36911,35062
1, 46322,36895,35032
1, 46296,36877,34998
1, 46328,36883,34984
1, 46321,36870,34957
Blank_Tube8Light Source Color - OFF,27/03/2024,13:43:31
2, 46300,36855,34925
2, 126,201,247
2, 126,201,247
2, 126,201,247
2, 126,201,248
2, 126,201,248
2, 126,201,248
2, 126,201,248
2, 126,201,248
2, 126,201,248
2, 126,201,248
2, 126,201,248
2, 126,201,248
2, 126,201,247
2, 126,201,248
2, 126,201,248
2, 126,201,248
2, 126,201,248
2, 126,201,247
2, 126,201,247
2, 126,201,248
2, 126,201,248
2, 126,201,248
2, 126,201,248
2, 126,201,247
2, 126,201,248
2, 126,201,248
2, 126,201,247
2, 126,201,248
2, 126,201,247
2, 126,201,248
2, 126,201,248
2, 126,201,248
Blank_Tube8Light Source Color - RED,27/03/2024,13:44:07
3, 126,201,248
3, 3750,1887,33130
3, 3745,1884,33067
3, 3742,1881,33008
3, 3740,1880,32981
3, 3739,1878,32961
3, 3737,1878,32944
3, 3737,1877,32937
3, 3737,1877,32929
3, 3736,1876,32917
3, 3735,1876,32908
3, 3734,1875,32899
3, 3734,1875,32896
3, 3734,1875,32887
3, 3733,1874,32878
3, 3732,1874,32868
3, 3732,1873,32862
3, 3732,1873,32860
3, 3731,1873,32851
3, 3731,1873,32845
3, 3730,1872,32837
3, 3730,1872,32831
3, 3730,1872,32829
3, 3730,1871,32824
3, 3729,1871,32817
3, 3729,1871,32811
3, 3728,1870,32805
3, 3728,1870,32802
3, 3728,1870,32797
3, 3727,1870,32791
3, 3727,1869,32787
3, 3727,1869,32781
3, 3727,1869,32778
Blank_Tube8Light Source Color - OFF,27/03/2024,13:44:43
4, 3726,1869,32775
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
4, 126,201,247
Blank_Tube8Light Source Color - GREEN,27/03/2024,13:45:19
5, 126,201,247
5, 10020,26322,3792
5, 9993,26266,3790
5, 9984,26250,3789
5, 9970,26222,3788
5, 9961,26204,3787
5, 9954,26190,3786
5, 9949,26179,3785
5, 9947,26174,3785
5, 9942,26166,3784
5, 9939,26160,3784
5, 9935,26151,3784
5, 9933,26147,3783
5, 9933,26148,3784
5, 9930,26140,3783
5, 9927,26136,3783
5, 9925,26133,3783
5, 9925,26132,3783
5, 9922,26127,3782
5, 9920,26122,3782
5, 9918,26119,3782
5, 9916,26115,3782
5, 9915,26112,3782
5, 9914,26111,3781
5, 9912,26106,3781
5, 9910,26103,3781
5, 9908,26100,3781
5, 9908,26099,3781
5, 9906,26094,3781
5, 9904,26090,3780
5, 9903,26090,3780
5, 9901,26084,3780
5, 9900,26083,3780
Blank_Tube8Light Source Color - OFF,27/03/2024,13:45:55
6, 9899,26080,3779
6, 126,201,247
6, 126,201,247
6, 126,201,247
6, 126,201,247
6, 126,201,247
6, 126,201,247
6, 126,201,247
6, 126,201,247
6, 126,201,247
6, 126,201,247
6, 126,201,247
6, 126,201,247
6, 126,201,247
6, 126,201,247
6, 126,201,248
6, 126,201,248
6, 126,201,248
6, 127,201,248
6, 127,201,248
6, 127,202,248
6, 127,202,248
6, 127,202,248
6, 127,202,248
6, 127,202,248
6, 127,202,249
6, 127,202,249
6, 127,202,249
6, 128,203,249
6, 128,203,249
6, 128,203,250
6, 128,203,250
6, 128,203,250
Blank_Tube8Light Source Color - BLUE,27/03/2024,13:46:31
7, 129,204,251
7, 34654,10517,674
7, 34655,10522,675
7, 34670,10528,675
7, 34675,10531,676
7, 34672,10531,676
7, 34667,10531,677
7, 34660,10530,677
7, 34675,10534,677
