NPK_PO4_0_8mgL_newทดสอบระบบ 30 :27/03/2024,17:20:44
0,1,White,2
1,2,White,985
2,3,White,989
3,4,White,985
4,5,White,986
5,6,White,985
6,7,White,985
7,8,White,990
8,9,White,987
9,10,White,989
10,11,White,987
11,12,White,985
12,13,White,986
13,14,White,988
14,15,White,987
15,16,White,989
16,17,White,988
17,18,White,987
18,19,White,987
19,20,White,986
20,21,White,985
21,22,White,988
22,23,White,987
23,24,White,987
24,25,White,986
25,26,White,984
26,27,White,985
27,28,White,990
28,1,Red,985
29,2,Red,973
30,3,Red,973
31,4,Red,970
32,5,Red,974
33,6,Red,971
34,7,Red,974
35,8,Red,971
36,9,Red,974
37,10,Red,977
38,11,Red,976
39,12,Red,973
40,13,Red,977
41,14,Red,971
42,15,Red,972
43,16,Red,973
44,17,Red,974
45,18,Red,974
46,19,Red,974
47,20,Red,972
48,21,Red,977
49,22,Red,974
50,23,Red,970
51,24,Red,971
52,25,Red,971
53,26,Red,971
54,27,Red,972
55,28,Red,977
56,1,Green,977
57,2,Green,970
58,3,Green,976
59,4,Green,970
60,5,Green,976
61,6,Green,969
62,7,Green,970
63,8,Green,973
64,9,Green,976
65,10,Green,975
66,11,Green,971
67,12,Green,970
68,13,Green,970
69,14,Green,973
70,15,Green,974
71,16,Green,973
72,17,Green,970
73,18,Green,976
74,19,Green,976
75,20,Green,970
76,21,Green,973
77,22,Green,970
78,23,Green,976
79,24,Green,974
80,25,Green,971
81,26,Green,976
82,27,Green,974
83,28,Green,973
84,1,Blue,970
85,2,Blue,976
86,3,Blue,971
87,4,Blue,974
88,5,Blue,978
89,6,Blue,974
90,7,Blue,972
91,8,Blue,972
92,9,Blue,977
93,10,Blue,975
94,11,Blue,973
95,12,Blue,974
96,13,Blue,975
97,14,Blue,975
98,15,Blue,976
99,16,Blue,972
100,17,Blue,974
101,18,Blue,977
102,19,Blue,973
103,20,Blue,974
104,21,Blue,972
105,22,Blue,973
106,23,Blue,972
107,24,Blue,973
108,25,Blue,975
109,26,Blue,972
110,27,Blue,977
111,28,Blue,973
112,1,Black,973
113,2,Black,3
114,3,Black,4
115,4,Black,3
116,5,Black,3
117,6,Black,3
118,7,Black,3
119,8,Black,3
120,9,Black,3
121,10,Black,3
122,11,Black,3
123,12,Black,4
124,13,Black,3
125,14,Black,3
126,15,Black,3
127,16,Black,3
128,17,Black,3
129,18,Black,3
130,19,Black,3
131,20,Black,3
132,21,Black,3
133,22,Black,3
134,23,Black,3
135,24,Black,3
136,25,Black,3
137,26,Black,3
138,27,Black,4
139,28,Black,3
140,0,Black,3
141,0,Black,3
142,0,Black,4
143,0,Black,4
144,0,Black,3
145,0,Black,4
146,0,Black,3
147,0,Black,3
148,0,Black,3
149,0,Black,3
150,0,Black,3
151,0,Black,3
152,0,Black,3
153,0,Black,3
154,0,Black,3
155,0,Black,3
156,0,Black,3
157,0,Black,4
158,0,Black,3
