Ferti 3-3-6 0  :  
Light Source Color - OFF
N,P,K
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
Light Source Color - WHITE	 , 28/03/2024,18:33:41
1,1,1,0
1,45,33,38
1,45,33,38
1,45,33,38
1,45,33,38
1,45,33,38
1,45,33,38
1,45,33,38
1,45,33,38
1,45,33,38
1,44,33,38
1,44,33,38
1,44,33,38
1,44,33,38
1,44,33,38
1,44,33,38
Light Source Color - OFF	 , 28/03/2024,18:33:53
2,44,33,38
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
2,1,1,0
Light Source Color - RED	 , 28/03/2024,18:34:05
3,9,1,1
3,41,3,5
3,41,3,5
3,41,3,5
3,41,3,5
3,41,3,5
3,41,3,5
3,41,3,5
3,41,3,5
3,41,3,5
3,41,3,5
3,41,3,5
3,41,3,5
3,41,3,5
3,41,3,5
3,41,3,5
Light Source Color - OFF	 , 28/03/2024,18:34:17
4,41,3,5
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
4,1,1,0
Light Source Color - GREEN	 , 28/03/2024,18:34:30
5,1,1,0
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
5,4,24,9
Light Source Color - OFF	 , 28/03/2024,18:34:42
6,4,21,8
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
6,1,1,0
Light Source Color - BLUE	 , 28/03/2024,18:34:54
7,1,1,0
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
7,1,10,28
Light Source Color - OFF	 , 28/03/2024,18:35:06
8,1,10,28
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
8,1,1,0
Light Source Color - WHITE	 , 28/03/2024,18:35:18
9,3,2,2
9,44,34,38
9,44,33,38
9,44,33,38
9,44,33,38
9,44,33,38
9,44,33,38
9,44,33,38
9,44,33,38
9,43,33,38
9,43,33,38
9,43,33,38
9,43,33,38
9,43,33,38
9,43,33,38
9,43,33,38
Light Source Color - OFF	 , 28/03/2024,18:35:30
10,30,23,26
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
10,1,1,0
Light Source Color - RED	 , 28/03/2024,18:35:43
11,1,1,0
11,41,3,4
11,40,3,4
11,40,3,4
11,40,3,4
11,40,3,4
11,40,3,4
11,40,3,4
11,40,3,4
11,40,3,4
11,40,3,4
11,40,3,4
11,40,3,4
11,40,3,4
11,40,3,4
11,40,3,4
Light Source Color - OFF	 , 28/03/2024,18:35:55
12,40,3,4
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
12,1,1,0
Light Source Color - GREEN	 , 28/03/2024,18:36:07
13,1,5,2
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
13,4,24,9
Light Source Color - OFF	 , 28/03/2024,18:36:19
14,4,24,9
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
14,1,1,0
Light Source Color - BLUE	 , 28/03/2024,18:36:31
15,1,1,0
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
15,1,10,28
Light Source Color - OFF	 , 28/03/2024,18:36:43
